Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,8480,8480,8220,8310,207520,0.008495145631068013,,
2020-10-06,8360,8370,8060,8130,259520,-0.02166064981949456,,
2020-10-07,8130,8130,7920,8030,256395,-0.012300123001230068,,
2020-10-08,8060,8120,7900,7920,240795,-0.013698630136986356,,
2020-10-12,8050,8330,7870,8000,439402,0.010101010101010166,,
2020-10-13,8040,8150,7940,8080,222316,0.010000000000000009,,
2020-10-14,8160,8700,8080,8570,671004,0.060643564356435586,,
2020-10-15,8590,9350,8580,8880,761961,0.03617269544924162,,
2020-10-16,9030,9190,8310,8490,330965,-0.04391891891891897,,
2020-10-19,8500,8770,8180,8270,182092,-0.025912838633686652,,
2020-10-20,8190,8250,7920,8100,151150,-0.02055622732769047,,
2020-10-21,8100,8280,7980,8220,107410,0.014814814814814836,,
2020-10-22,8200,8220,8020,8070,88040,-0.018248175182481785,,
2020-10-23,8110,8160,8030,8140,66336,0.00867410161090465,,
2020-10-26,8050,8340,8050,8090,100204,-0.00614250614250611,,
2020-10-27,8060,8130,7990,8040,93434,-0.006180469715698411,,
2020-10-28,7950,8060,7950,8040,63903,0.0,,
2020-10-29,7920,8000,7870,7970,112840,-0.008706467661691586,,
2020-10-30,7930,7950,7600,7760,123705,-0.02634880803011297,,
2020-11-02,7760,7850,7650,7790,73649,0.0038659793814432852,8145.0,
2020-11-03,7910,8110,7820,8070,149735,0.03594351732991008,8133.0,
2020-11-04,8160,8460,8030,8310,203566,0.029739776951672958,8142.0,
2020-11-05,8320,8430,8200,8360,94946,0.006016847172081841,8158.5,
2020-11-06,8360,8670,8300,8370,168611,0.0011961722488038617,8181.0,
2020-11-09,8390,8810,8390,8450,225430,0.009557945041815952,8203.5,
2020-11-10,8510,8820,8490,8650,254863,0.023668639053254337,8232.0,
2020-11-11,8680,9080,8670,8990,364254,0.03930635838150298,8253.0,
2020-11-12,9120,9120,8790,9030,284512,0.004449388209121219,8260.5,
2020-11-13,8920,9000,8550,8570,207883,-0.05094130675526021,8264.5,
2020-11-16,8610,8860,8480,8670,228346,0.011668611435239118,8284.5,
2020-11-17,8760,8780,8390,8470,176487,-0.023068050749711633,8303.0,
2020-11-18,8440,8610,8360,8510,132952,0.0047225501770955525,8317.5,
2020-11-19,8500,8570,8330,8390,111625,-0.014101057579318454,8333.5,
2020-11-20,8410,8500,8340,8410,108450,0.0023837902264600697,8347.0,
2020-11-23,8490,9200,8340,8660,508186,0.029726516052318575,8375.5,
2020-11-24,8710,9130,8710,9000,330133,0.03926096997690531,8423.5,
2020-11-25,9150,9360,8720,8850,316005,-0.01666666666666672,8464.0,
2020-11-26,8850,8900,8650,8740,141359,-0.012429378531073398,8502.5,
2020-11-27,8740,8830,8660,8750,108153,0.0011441647597254523,8552.0,
2020-11-30,8760,8850,8600,8750,129896,0.0,8600.0,
2020-12-01,8950,11350,8900,11350,6219710,0.29714285714285715,8764.0,
2020-12-02,11150,11200,10450,10800,1895772,-0.048458149779735726,8888.5,
2020-12-03,10800,11950,10600,11350,2046023,0.05092592592592582,9038.0,
2020-12-04,11300,12400,11200,12200,1664221,0.07488986784140961,9229.5,
2020-12-07,12250,12300,11400,11750,616640,-0.03688524590163933,9394.5,
2020-12-08,11700,12200,11050,11200,460951,-0.04680851063829783,9522.0,
2020-12-09,11300,12100,11200,11800,567694,0.0535714285714286,9662.5,
2020-12-10,11500,12350,11250,12350,854048,0.04661016949152552,9828.5,
2020-12-11,12300,12800,11950,12500,706869,0.012145748987854255,10025.0,
2020-12-14,12500,12500,11800,12000,463608,-0.040000000000000036,10191.5,
2020-12-15,12000,12050,11400,11500,358059,-0.04166666666666663,10343.0,
2020-12-16,11700,11850,11500,11800,218492,0.026086956521739202,10507.5,
2020-12-17,11800,11800,11400,11750,240713,-0.004237288135593209,10675.5,
2020-12-18,11850,11950,11500,11750,236850,0.0,10842.5,
2020-12-21,11800,11850,11400,11450,191169,-0.025531914893617058,10982.0,
2020-12-22,11300,11400,10600,10750,307638,-0.06113537117903933,11069.5,
2020-12-23,10900,10950,10300,10650,227908,-0.009302325581395321,11159.5,
2020-12-24,10650,11500,10650,11250,293499,0.05633802816901401,11285.0,
2020-12-28,11250,11400,11050,11250,170111,0.0,11410.0,
2020-12-29,11100,11600,10900,11300,174554,0.004444444444444473,11537.5,9427.5
2020-12-30,11600,11850,11400,11600,296599,0.026548672566371723,11550.0,9482.333333333334
2021-01-04,11950,12300,11850,12150,607266,0.047413793103448176,11617.5,9549.333333333334
