Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,15600,15600,15350,15350,154345,-0.006472491909385147,,
2020-10-06,15400,15900,15250,15450,329181,0.006514657980456029,,
2020-10-07,15400,15550,15200,15500,105726,0.003236245954692629,,
2020-10-08,15500,15600,15300,15300,251528,-0.012903225806451646,,
2020-10-12,15350,15450,15200,15250,167022,-0.0032679738562091387,,
2020-10-13,15450,15450,15150,15150,152944,-0.006557377049180357,,
2020-10-14,15150,15350,15150,15200,131895,0.0033003300330032292,,
2020-10-15,15200,15300,15100,15150,150478,-0.003289473684210509,,
2020-10-16,15150,15250,15050,15150,180212,0.0,,
2020-10-19,15250,15500,15200,15400,201822,0.01650165016501659,,
2020-10-20,15250,15500,15100,15350,186274,-0.0032467532467532756,,
2020-10-21,15400,15450,15200,15450,138507,0.006514657980456029,,
2020-10-22,15400,15600,15250,15600,186895,0.009708737864077666,,
2020-10-23,15750,15750,15400,15700,199953,0.0064102564102563875,,
2020-10-26,15650,15650,15400,15500,129525,-0.01273885350318471,,
2020-10-27,15350,15750,15250,15600,179477,0.006451612903225712,,
2020-10-28,15500,15800,15350,15500,226591,-0.0064102564102563875,,
2020-10-29,15250,15500,15200,15500,165734,0.0,,
2020-10-30,15500,15900,15250,15450,286374,-0.003225806451612856,,
2020-11-02,15500,16300,15500,16150,460748,0.0453074433656957,15435.0,
2020-11-03,16300,16300,15950,16300,265001,0.009287925696594534,15482.5,
2020-11-04,16400,16450,16100,16350,198846,0.0030674846625766694,15527.5,
2020-11-05,16400,16700,16350,16700,233886,0.021406727828746197,15587.5,
2020-11-06,16650,16800,16500,16650,179315,-0.0029940119760478723,15655.0,
2020-11-09,16800,17250,16750,16950,457445,0.018018018018018056,15740.0,
2020-11-10,17200,18900,17100,18200,1551904,0.07374631268436582,15892.5,
2020-11-11,18250,18750,17850,18350,714029,0.008241758241758212,16050.0,
2020-11-12,18500,19050,18150,19000,540206,0.03542234332425065,16242.5,
2020-11-13,19000,19150,18300,18450,419545,-0.02894736842105261,16407.5,
2020-11-16,18600,20350,18600,19200,1262163,0.04065040650406515,16597.5,
2020-11-17,19200,19400,18550,18800,399401,-0.02083333333333337,16770.0,
2020-11-18,18600,18850,18300,18400,313844,-0.021276595744680882,16917.5,
2020-11-19,18400,19000,18200,18900,263422,0.02717391304347827,17082.5,
2020-11-20,18750,19000,18400,18650,188943,-0.013227513227513255,17230.0,
2020-11-23,18600,19100,18500,18950,243005,0.01608579088471851,17402.5,
2020-11-24,19100,19550,18900,19450,295416,0.02638522427440626,17595.0,
2020-11-25,19600,20700,19200,20400,695417,0.04884318766066831,17840.0,
2020-11-26,20200,20550,19500,19750,350763,-0.031862745098039214,18052.5,
2020-11-27,19750,19750,18400,18750,636026,-0.05063291139240511,18217.5,
2020-11-30,18950,19250,18750,19100,339428,0.01866666666666661,18365.0,
2020-12-01,19200,19500,18800,19350,252584,0.01308900523560208,18517.5,
2020-12-02,19450,19550,19200,19500,212458,0.007751937984496138,18675.0,
2020-12-03,19500,19750,19150,19550,237460,0.002564102564102555,18817.5,
2020-12-04,19400,19800,19350,19650,214646,0.005115089514066584,18967.5,
2020-12-07,19700,19750,19450,19600,182165,-0.0025445292620864812,19100.0,
2020-12-08,19600,19750,19500,19650,172368,0.0025510204081633514,19172.5,
2020-12-09,19700,20250,19500,20200,242864,0.027989821882951738,19265.0,
2020-12-10,20200,23750,19950,22300,1276726,0.10396039603960405,19430.0,
2020-12-11,22700,27300,22550,25000,3094235,0.12107623318385641,19757.5,
2020-12-14,25450,26800,24500,24750,1478287,-0.010000000000000009,20035.0,
2020-12-15,24850,25700,24700,25100,555243,0.014141414141414232,20350.0,
2020-12-16,25100,26550,24700,26400,737172,0.05179282868525892,20750.0,
2020-12-17,26450,26600,25350,26250,457695,-0.005681818181818232,21117.5,
2020-12-18,26050,26050,25100,25100,509196,-0.043809523809523854,21440.0,
2020-12-21,25150,25200,24450,24950,300889,-0.005976095617529875,21740.0,
2020-12-22,24800,25350,24250,24550,408937,-0.01603206412825653,21995.0,
2020-12-23,24550,30000,24150,25100,3645909,0.022403258655804503,22230.0,
2020-12-24,25450,25450,23900,24200,703811,-0.03585657370517925,22452.5,
2020-12-28,24300,24850,23950,24050,435437,-0.006198347107438051,22717.5,
2020-12-29,24050,24450,23850,24450,308053,0.016632016632016633,22985.0,18928.333333333332
2020-12-30,24450,25050,24400,24700,269214,0.010224948875255713,23252.5,19084.166666666668
2021-01-04,25200,28900,25100,26750,1573513,0.082995951417004,23615.0,19272.5
