Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,8040,8180,8010,8110,1987602,0.012484394506866447,,
2020-10-06,8120,8180,8100,8110,1300691,0.0,,
2020-10-07,8090,8180,8040,8160,1317017,0.006165228113440113,,
2020-10-08,8180,8190,8120,8150,1579611,-0.001225490196078427,,
2020-10-12,8150,8160,8080,8140,1719441,-0.0012269938650306678,,
2020-10-13,8150,8170,8100,8160,1118700,0.002457002457002533,,
2020-10-14,8150,8160,8080,8090,1399974,-0.008578431372548989,,
2020-10-15,8090,8100,8040,8080,1058721,-0.0012360939431397266,,
2020-10-16,8120,8120,8050,8080,785022,0.0,,
2020-10-19,8090,8280,8090,8220,2782966,0.017326732673267342,,
2020-10-20,8190,8250,8130,8210,1558266,-0.0012165450121655041,,
2020-10-21,8220,8290,8180,8280,1816679,0.008526187576126665,,
2020-10-22,8270,8460,8250,8450,3325898,0.020531400966183666,,
2020-10-23,8530,8760,8500,8720,4742543,0.031952662721893565,,
2020-10-26,8750,8790,8510,8520,3362915,-0.022935779816513735,,
2020-10-27,8430,8440,8310,8340,2512353,-0.021126760563380254,,
2020-10-28,8270,8460,8260,8430,1518408,0.010791366906474753,,
2020-10-29,8270,8350,8240,8320,2293721,-0.013048635824436494,,
2020-10-30,8320,8370,8170,8170,2257045,-0.018028846153846145,,
2020-11-02,8170,8480,8170,8440,2430609,0.03304773561811514,8259.0,
2020-11-03,8490,8560,8430,8500,1886873,0.007109004739336511,8278.5,
2020-11-04,8590,8600,8390,8450,1881407,-0.00588235294117645,8295.5,
2020-11-05,8510,8560,8450,8550,1639658,0.01183431952662728,8315.0,
2020-11-06,8590,8600,8540,8570,1412805,0.002339181286549641,8336.0,
2020-11-09,8600,8660,8570,8630,1855408,0.007001166861143604,8360.5,
2020-11-10,8900,8950,8740,8860,4772839,0.02665121668597914,8395.5,
2020-11-11,8880,9260,8870,9250,5795663,0.04401805869074482,8453.5,
2020-11-12,9200,9220,9040,9060,3504609,-0.020540540540540553,8502.5,
2020-11-13,8980,9120,8930,9020,2652282,-0.004415011037527616,8549.5,
2020-11-16,9060,9250,9030,9150,2834554,0.014412416851441234,8596.0,
2020-11-17,9200,9290,9060,9100,2427691,-0.005464480874316946,8640.5,
2020-11-18,9100,9130,9060,9120,1613090,0.00219780219780219,8682.5,
2020-11-19,9110,9110,9020,9080,1729711,-0.004385964912280715,8714.0,
2020-11-20,9200,9330,9170,9330,3667645,0.02753303964757703,8744.5,
2020-11-23,9360,9520,9270,9510,3113168,0.019292604501607746,8794.0,
2020-11-24,9550,9590,9480,9570,2629660,0.006309148264984188,8855.5,
2020-11-25,9630,9790,9490,9680,3803371,0.011494252873563315,8918.0,
2020-11-26,9680,9680,9540,9630,2118519,-0.005165289256198302,8983.5,
2020-11-27,9630,9660,9550,9620,1387506,-0.0010384215991692258,9056.0,
2020-11-30,9630,9670,9300,9300,4127886,-0.033264033264033266,9099.0,
2020-12-01,9390,9520,9380,9500,1546795,0.021505376344086002,9149.0,
2020-12-02,9560,9590,9450,9560,2012130,0.006315789473684275,9204.5,
2020-12-03,9590,9600,9510,9580,1471859,0.0020920502092049986,9256.0,
2020-12-04,9550,9620,9510,9590,2096022,0.0010438413361169019,9307.0,
2020-12-07,9560,9590,9380,9460,2426097,-0.013555787278414999,9348.5,
2020-12-08,9420,9430,9300,9350,2452593,-0.011627906976744207,9373.0,
2020-12-09,9320,9490,9310,9420,1856373,0.007486631016042855,9381.5,
2020-12-10,9440,9470,9340,9420,4130688,0.0,9399.5,
2020-12-11,9470,9570,9450,9520,2609850,0.010615711252653925,9424.5,
2020-12-14,9530,9540,9420,9420,2243696,-0.010504201680672232,9438.0,
2020-12-15,9420,9430,9320,9350,2053875,-0.007430997876857748,9450.5,
2020-12-16,9410,9480,9380,9450,1995011,0.010695187165775444,9467.0,
2020-12-17,9430,9450,9350,9440,1752607,-0.0010582010582010914,9485.0,
2020-12-18,9440,9450,9360,9360,2285719,-0.008474576271186418,9486.5,
2020-12-21,9390,9420,9320,9410,1855041,0.005341880341880323,9481.5,
2020-12-22,9410,9420,9330,9330,1714044,-0.008501594048884176,9469.5,
2020-12-23,9330,9380,9310,9350,1536206,0.002143622722400762,9453.0,
2020-12-24,9390,9500,9360,9450,3301952,0.010695187165775444,9444.0,
2020-12-28,9500,9530,9450,9480,6854351,0.0031746031746031633,9437.0,
2020-12-29,9000,9030,8850,8880,6722586,-0.06329113924050633,9416.0,8924.666666666666
2020-12-30,8850,8860,8650,8840,3840409,-0.0045045045045044585,9383.0,8936.833333333334
2021-01-04,8860,8860,8610,8620,4120038,-0.02488687782805432,9336.0,8945.333333333334
2021-01-05,8580,8710,8550,8710,2863048,0.010440835266821269,9292.5,8954.5
