Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,21550,21650,21250,21350,255905,0.004705882352941115,,
2020-10-06,21650,21750,21000,21150,312474,-0.00936768149882905,,
2020-10-07,21100,22450,20950,22350,814249,0.05673758865248235,,
2020-10-08,22900,22900,22000,22650,832125,0.01342281879194629,,
2020-10-12,22950,23000,22300,22400,496980,-0.01103752759381893,,
2020-10-13,23200,23200,22300,22800,957094,0.017857142857142794,,
2020-10-14,22650,22650,21150,21200,1634647,-0.07017543859649122,,
2020-10-15,21050,21350,20400,21350,1054261,0.007075471698113178,,
2020-10-16,21300,22500,21200,22000,1841037,0.030444964871194413,,
2020-10-19,21700,22100,21200,21300,617533,-0.03181818181818186,,
2020-10-20,20850,22900,20650,22900,1329625,0.07511737089201875,,
2020-10-21,22900,23250,22400,22750,1448252,-0.0065502183406113135,,
2020-10-22,22550,22600,21650,22200,778867,-0.0241758241758242,,
2020-10-23,22300,22500,21800,22250,596809,0.0022522522522523403,,
2020-10-26,22050,22100,20800,20950,715035,-0.05842696629213484,,
2020-10-27,20600,21150,20250,20550,774428,-0.019093078758949833,,
2020-10-28,20600,21200,20300,21050,494968,0.024330900243308973,,
2020-10-29,20450,21100,20350,21100,422573,0.002375296912114022,,
2020-10-30,20900,20900,20250,20300,535566,-0.03791469194312791,,
2020-11-02,20400,20650,19950,20400,334731,0.0049261083743843415,21650.0,
2020-11-03,21050,21600,20900,21350,826079,0.04656862745098045,21650.0,
2020-11-04,21450,21700,20900,21650,567913,0.014051522248243575,21675.0,
2020-11-05,21650,22200,21600,21650,561994,0.0,21640.0,
2020-11-06,21850,22000,21000,21200,506018,-0.020785219399538146,21567.5,
2020-11-09,21350,21600,21250,21400,366203,0.009433962264151052,21517.5,
2020-11-10,21100,21600,21000,21500,420272,0.004672897196261738,21452.5,
2020-11-11,21450,21550,21150,21400,258907,-0.0046511627906976605,21462.5,
2020-11-12,21700,21700,21100,21100,394732,-0.014018691588784993,21450.0,
2020-11-13,21300,21800,20950,21800,583735,0.033175355450236976,21440.0,
2020-11-16,22000,22650,21800,22250,1278033,0.020642201834862428,21487.5,
2020-11-17,22350,22450,21800,21850,415007,-0.017977528089887618,21435.0,
2020-11-18,22450,22700,22150,22450,1002561,0.027459954233409523,21420.0,
2020-11-19,22350,22400,21900,22100,532379,-0.015590200445434244,21415.0,
2020-11-20,22200,22250,21700,22050,471516,-0.002262443438914019,21405.0,
2020-11-23,22300,22300,21800,22050,479822,0.0,21460.0,
2020-11-24,22250,22450,21950,22300,686263,0.01133786848072571,21547.5,
2020-11-25,22400,22700,21850,22050,784051,-0.011210762331838597,21597.5,
2020-11-26,22150,22150,21650,22100,514328,0.0022675736961450532,21647.5,
2020-11-27,22100,23000,21900,22800,1287027,0.03167420814479649,21772.5,
2020-11-30,23000,23150,22200,22300,813886,-0.021929824561403466,21867.5,
2020-12-01,22400,22600,21900,22100,590139,-0.008968609865470878,21905.0,
2020-12-02,22200,22350,21750,22050,801243,-0.002262443438914019,21925.0,
2020-12-03,22050,22050,21650,21650,640607,-0.01814058956916098,21925.0,
2020-12-04,21150,21300,20800,21150,1410441,-0.023094688221709014,21922.5,
2020-12-07,21000,21050,20650,20900,571554,-0.011820330969267157,21897.5,
2020-12-08,20850,21300,20800,21000,529453,0.004784688995215225,21872.5,
2020-12-09,21500,21700,21300,21600,767511,0.02857142857142847,21882.5,
2020-12-10,21400,21750,21300,21550,542719,-0.0023148148148147696,21905.0,
2020-12-11,21600,21650,21250,21400,400024,-0.00696055684454755,21885.0,
2020-12-14,21250,21250,20900,21000,509965,-0.01869158878504673,21822.5,
2020-12-15,21100,21150,20800,20900,437974,-0.004761904761904745,21775.0,
2020-12-16,21550,22300,21250,21300,1939315,0.019138755980861344,21717.5,
2020-12-17,21300,21700,21250,21650,581427,0.016431924882629012,21695.0,
2020-12-18,21900,22250,21750,21750,1210713,0.004618937644341736,21680.0,
2020-12-21,21900,21950,21600,21850,473350,0.0045977011494253706,21670.0,
2020-12-22,22100,22150,21050,21100,628834,-0.034324942791762014,21610.0,
2020-12-23,21250,21550,20700,21200,666370,0.004739336492890933,21567.5,
2020-12-24,21200,21400,21050,21200,429543,0.0,21522.5,
2020-12-28,21200,21550,21050,21550,555778,0.01650943396226423,21460.0,
2020-12-29,21650,21700,21150,21500,599292,-0.002320185614849146,21420.0,21645.833333333332
2020-12-30,21800,22300,21600,21950,1199960,0.020930232558139528,21412.5,21655.833333333332
2021-01-04,22050,22600,21900,22500,1206153,0.02505694760820054,21435.0,21678.333333333332
2021-01-05,22350,22400,21750,22100,910968,-0.01777777777777778,21457.5,21674.166666666668
2021-01-06,22700,23050,22050,22150,1795915,0.002262443438914019,21507.5,21665.833333333332
2021-01-07,22350,22600,22000,22200,1070515,0.0022573363431150906,21572.5,21662.5
2021-01-08,22600,22600,22100,22350,933335,0.006756756756756799,21640.0,21655.0
2021-01-11,22450,22650,21400,21900,1521935,-0.020134228187919434,21655.0,21666.666666666668
2021-01-12,21950,22050,21050,21550,877996,-0.01598173515981738,21655.0,21670.0
2021-01-13,21650,22800,21350,22750,1800512,0.05568445475638062,21722.5,21682.5
2021-01-14,23100,24200,22750,23600,4668409,0.03736263736263745,21852.5,21720.833333333332
2021-01-15,23550,23700,22250,22650,1978048,-0.0402542372881356,21940.0,21716.666666666668
2021-01-18,22450,22600,21600,21700,1085065,-0.04194260485651213,21960.0,21699.166666666668
2021-01-19,21800,22250,21700,22000,892486,0.01382488479262678,21977.5,21695.833333333332
2021-01-20,22300,23250,22150,22900,1843723,0.040909090909091006,22035.0,21706.666666666668
2021-01-21,23500,23800,23150,23300,2031242,0.017467248908296984,22107.5,21745.833333333332
2021-01-22,23400,23550,22600,22850,1035769,-0.01931330472102999,22195.0,21784.166666666668
2021-01-25,23000,23400,22750,22950,868732,0.004376367614879584,22282.5,21815.833333333332
2021-01-26,23200,24600,23150,24450,4577292,0.065359477124183,22445.0,21871.666666666668
2021-01-27,24600,24600,23600,23700,1638173,-0.030674846625766916,22552.5,21928.333333333332
2021-01-28,22950,23150,22350,22400,1448999,-0.05485232067510548,22597.5,21961.666666666668
2021-01-29,22700,22800,21450,22000,1127965,-0.017857142857142905,22600.0,21972.5
2021-02-01,21800,22300,21350,22200,909103,0.009090909090909038,22585.0,21981.666666666668
2021-02-02,22350,22700,21850,22050,861059,-0.006756756756756799,22582.5,21988.333333333332
2021-02-03,22400,23100,22300,22750,1291320,0.031746031746031855,22612.5,22014.166666666668
2021-02-04,22700,22700,21700,22050,1010061,-0.03076923076923077,22605.0,22025.0
2021-02-05,22150,22200,21650,22200,585883,0.006802721088435382,22597.5,22036.666666666668
2021-02-08,22150,22300,21000,21100,1752945,-0.0495495495495496,22557.5,22031.666666666668
2021-02-09,20800,20850,20050,20050,2062915,-0.049763033175355464,22482.5,22014.166666666668
2021-02-10,20050,20150,19200,19200,1919380,-0.04239401496259354,22305.0,21970.833333333332
2021-02-15,19300,19800,18900,19750,1054478,0.02864583333333326,22112.5,21929.166666666668
2021-02-16,19950,20350,19850,19950,818677,0.010126582278481067,21977.5,21897.5
2021-02-17,20000,20050,19600,19850,548751,-0.005012531328320802,21885.0,21854.166666666668
2021-02-18,19850,19850,19400,19500,458903,-0.017632241813602012,21760.0,21810.833333333332
2021-02-19,19500,19650,19050,19500,472939,0.0,21590.0,21768.333333333332
2021-02-22,19450,19500,19000,19050,477672,-0.023076923076923106,21377.5,21718.333333333332
2021-02-23,18800,18950,18500,18850,473007,-0.01049868766404205,21177.5,21660.833333333332
2021-02-24,18750,18850,17900,18000,710743,-0.04509283819628651,20930.0,21593.333333333332
2021-02-25,18350,18400,18000,18350,426120,0.019444444444444375,20625.0,21530.833333333332
2021-02-26,17700,18100,17650,18050,485745,-0.016348773841961872,20342.5,21451.666666666668
2021-03-02,18350,18600,17900,18100,385229,0.0027700831024930483,20127.5,21381.666666666668
2021-03-03,17900,18250,17850,18200,214162,0.005524861878453136,19937.5,21316.666666666668
2021-03-04,17950,18050,17750,17950,233056,-0.013736263736263687,19725.0,21248.333333333332
2021-03-05,17650,17800,17400,17750,294106,-0.011142061281337101,19510.0,21183.333333333332
2021-03-08,18000,18100,17700,17700,265999,-0.0028169014084507005,19257.5,21125.833333333332
2021-03-09,17750,17950,17200,17950,438184,0.01412429378531077,19052.5,21076.666666666668
2021-03-10,19050,19050,17950,17950,690702,0.0,18840.0,21025.833333333332
2021-03-11,18100,18400,17950,18400,306564,0.025069637883008422,18705.0,20972.5
2021-03-12,18450,18500,18250,18400,316404,0.0,18622.5,20920.0
2021-03-15,18400,18400,18050,18250,166414,-0.008152173913043459,18575.0,20867.5
2021-03-16,18300,18650,18250,18650,250684,0.021917808219177992,18520.0,20828.333333333332
2021-03-17,18650,18750,18450,18750,246168,0.00536193029490617,18460.0,20792.5
2021-03-18,18900,18900,18600,18700,208908,-0.002666666666666706,18402.5,20749.166666666668
2021-03-19,18400,18750,18300,18500,189840,-0.010695187165775444,18352.5,20696.666666666668
2021-03-22,18550,18700,18400,18550,142035,0.002702702702702675,18305.0,20643.333333333332
2021-03-23,18600,18700,18300,18300,188540,-0.013477088948787075,18267.5,20584.166666666668
2021-03-24,18150,18300,18000,18100,195615,-0.010928961748633892,18230.0,20534.166666666668
2021-03-25,18000,18150,17900,18150,156522,0.0027624309392264568,18237.5,20483.333333333332
2021-03-26,18200,18250,17900,18000,190014,-0.008264462809917328,18220.0,20430.0
2021-03-29,18000,18050,17750,17800,231973,-0.011111111111111072,18207.5,20367.5
2021-03-30,17850,18200,17850,18100,164269,0.016853932584269593,18207.5,20310.833333333332
2021-03-31,18150,18150,17900,17950,184302,-0.008287292817679592,18195.0,20244.166666666668
2021-04-01,17950,18100,17900,18000,179563,0.0027855153203342198,18197.5,20169.166666666668
2021-04-02,18100,18300,18000,18200,225356,0.011111111111111072,18220.0,20104.166666666668
2021-04-05,18250,18250,17950,18050,202246,-0.008241758241758212,18237.5,20035.833333333332
2021-04-06,18200,18250,17900,17950,261284,-0.005540166204986097,18237.5,19965.0
