Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,5610,5860,5600,5790,268863,0.03208556149732611,,
2020-10-06,5810,5870,5690,5790,151405,0.0,,
2020-10-07,5750,5780,5660,5770,138805,-0.003454231433506094,,
2020-10-08,5790,5810,5680,5730,139641,-0.006932409012131768,,
2020-10-12,5730,5810,5670,5750,145450,0.003490401396160525,,
2020-10-13,5800,5820,5680,5720,99975,-0.00521739130434784,,
2020-10-14,5750,5750,5590,5610,219381,-0.019230769230769273,,
2020-10-15,5600,5850,5550,5730,274337,0.021390374331550888,,
2020-10-16,5730,5820,5550,5690,237627,-0.006980802792321161,,
2020-10-19,5670,5890,5640,5770,290914,0.014059753954305698,,
2020-10-20,5760,5830,5600,5750,216133,-0.0034662045060658286,,
2020-10-21,5720,5890,5650,5880,240557,0.022608695652173827,,
2020-10-22,5810,6100,5780,5990,568684,0.018707482993197244,,
2020-10-23,5920,6030,5870,5980,264071,-0.0016694490818029983,,
2020-10-26,6020,6020,5740,5800,204006,-0.030100334448160515,,
2020-10-27,5760,5840,5660,5730,203523,-0.012068965517241348,,
2020-10-28,5710,5820,5620,5820,185523,0.015706806282722585,,
2020-10-29,5690,5970,5680,5950,252553,0.022336769759450092,,
2020-10-30,6000,6090,5800,5830,291397,-0.020168067226890796,,
2020-11-02,5830,6050,5760,5960,179004,0.022298456260720467,5802.0,
2020-11-03,5960,6070,5930,6010,159230,0.008389261744966348,5813.0,
2020-11-04,6020,6100,5880,6010,365245,0.0,5824.0,
2020-11-05,6060,6340,6060,6250,599690,0.03993344425956735,5848.0,
2020-11-06,6260,6260,6000,6070,324060,-0.028800000000000048,5865.0,
2020-11-09,6120,6280,6070,6170,199055,0.016474464579901094,5886.0,
2020-11-10,6200,6490,6150,6490,460243,0.05186385737439214,5924.5,
2020-11-11,6450,6500,6290,6480,239358,-0.0015408320493066618,5968.0,
2020-11-12,6460,6680,6380,6460,330156,-0.0030864197530864335,6004.5,
2020-11-13,6480,6590,6360,6570,182096,0.017027863777089758,6048.5,
2020-11-16,6600,6840,6450,6750,456740,0.027397260273972712,6097.5,
2020-11-17,6690,6800,6380,6410,558735,-0.0503703703703704,6130.5,
2020-11-18,6350,6590,6340,6450,186695,0.006240249609984483,6159.0,
2020-11-19,6420,6600,6270,6540,290013,0.013953488372093092,6186.5,
2020-11-20,6590,6710,6430,6560,209963,0.003058103975535076,6215.5,
2020-11-23,6540,6670,6450,6530,194415,-0.004573170731707266,6252.0,
2020-11-24,6520,6880,6460,6770,1287141,0.03675344563552829,6304.0,
2020-11-25,6810,6850,6550,6590,485096,-0.026587887740029514,6342.5,
2020-11-26,6610,6770,6540,6730,264694,0.02124430955993928,6381.5,
2020-11-27,6660,6840,6660,6770,194319,0.005943536404160454,6428.5,
2020-11-30,6800,6840,6470,6470,536701,-0.04431314623338256,6454.0,
2020-12-01,6580,6660,6470,6550,278405,0.012364760432766575,6481.0,
2020-12-02,6520,6620,6480,6530,261395,-0.003053435114503844,6507.0,
2020-12-03,6520,6540,6370,6380,279246,-0.02297090352220521,6513.5,
2020-12-04,6360,6500,6360,6450,149031,0.01097178683385569,6532.5,
2020-12-07,6520,6540,6280,6480,237492,0.0046511627906977715,6548.0,
2020-12-08,6410,6520,6320,6320,241625,-0.024691358024691357,6539.5,
2020-12-09,6400,6490,6280,6400,269809,0.012658227848101333,6535.5,
2020-12-10,6400,6490,6320,6440,215868,0.006250000000000089,6534.5,
2020-12-11,6420,6630,6370,6440,231852,0.0,6528.0,
2020-12-14,6440,6660,6380,6630,396590,0.029503105590062084,6522.0,
2020-12-15,6820,6890,6610,6660,624724,0.004524886877828038,6534.5,
2020-12-16,6680,6700,6550,6620,151785,-0.006006006006005982,6543.0,
2020-12-17,6600,6720,6560,6620,178450,0.0,6547.0,
2020-12-18,6580,6680,6580,6590,216182,-0.004531722054380682,6548.5,
2020-12-21,6570,6650,6480,6630,175623,0.006069802731411222,6553.5,
2020-12-22,6580,6620,6350,6360,275405,-0.040723981900452455,6533.0,
2020-12-23,6380,6470,6300,6350,207672,-0.0015723270440252124,6521.0,
2020-12-24,6350,6480,6300,6460,188426,0.017322834645669305,6507.5,
2020-12-28,6480,6570,6350,6560,349305,0.015479876160990669,6497.0,
2020-12-29,6460,6520,6300,6390,316345,-0.02591463414634143,6493.0,6249.666666666667
2020-12-30,6460,6460,6310,6420,152997,0.0046948356807512415,6486.5,6260.166666666667
2021-01-04,6390,6470,6330,6390,331692,-0.004672897196261627,6479.5,6270.166666666667
2021-01-05,6320,6440,6320,6370,344971,-0.003129890453834161,6479.0,6280.166666666667
2021-01-06,6380,6850,6370,6740,1239274,0.058084772370486704,6493.5,6297.0
2021-01-07,6910,7210,6800,6800,1145358,0.008902077151335286,6509.5,6314.5
2021-01-08,6790,7100,6790,6890,1004802,0.013235294117647012,6538.0,6334.0
2021-01-11,6850,7060,6700,6910,647341,0.002902757619738683,6563.5,6355.666666666667
2021-01-12,7030,7040,6750,6870,561776,-0.005788712011577379,6585.0,6374.666666666667
2021-01-13,6920,7500,6870,7090,2504761,0.03202328966521106,6617.5,6398.0
2021-01-14,7330,7900,7130,7140,2360527,0.007052186177715081,6643.0,6420.833333333333
2021-01-15,7140,7140,6840,6850,637004,-0.040616246498599407,6652.5,6439.166666666667
2021-01-18,6750,6840,6600,6810,432312,-0.005839416058394109,6662.0,6454.666666666667
2021-01-19,6760,7030,6750,6920,381446,0.01615271659324513,6677.0,6470.166666666667
2021-01-20,7020,7220,6960,7190,492557,0.039017341040462394,6707.0,6490.333333333333
2021-01-21,7290,7290,7100,7100,289885,-0.012517385257301838,6730.5,6512.0
2021-01-22,7080,7160,6900,7080,281095,-0.0028169014084507005,6766.5,6534.5
2021-01-25,7070,7250,6860,7160,194230,0.011299435028248483,6807.0,6556.833333333333
2021-01-26,7160,7210,6950,7040,235061,-0.016759776536312887,6836.0,6575.0
2021-01-27,7070,7070,6880,6900,341999,-0.019886363636363646,6853.0,6592.833333333333
2021-01-28,6730,7080,6650,6800,407805,-0.01449275362318836,6873.5,6606.833333333333
2021-01-29,6820,6930,6580,6670,327561,-0.019117647058823573,6886.0,6617.833333333333
2021-02-01,6600,6800,6580,6680,144896,0.0014992503748125774,6900.5,6629.0
2021-02-02,6730,6850,6670,6720,147217,0.0059880239520957446,6918.0,6636.833333333333
2021-02-03,6740,6780,6660,6750,116770,0.0044642857142858094,6918.5,6648.166666666667
2021-02-04,6720,6780,6620,6660,128876,-0.013333333333333308,6911.5,6656.333333333333
