Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,18250,18800,18000,18550,586170,0.016438356164383494,,
2020-10-06,18750,19100,18200,18550,504143,0.0,,
2020-10-07,18200,18900,18150,18750,519887,0.010781671159029615,,
2020-10-08,19100,19700,18950,19250,1346145,0.026666666666666616,,
2020-10-12,19300,19400,18800,19050,524792,-0.010389610389610393,,
2020-10-13,19200,19400,18700,18800,455177,-0.013123359580052507,,
2020-10-14,18900,19150,18150,18300,547005,-0.02659574468085102,,
2020-10-15,18300,18300,17600,18050,647509,-0.013661202185792365,,
2020-10-16,18000,18300,17450,17900,479286,-0.008310249307479256,,
2020-10-19,17850,18100,17350,17350,362735,-0.030726256983240274,,
2020-10-20,17100,17550,16800,17550,367584,0.011527377521613813,,
2020-10-21,17500,17800,17300,17700,248572,0.008547008547008517,,
2020-10-22,17550,17800,17200,17300,225993,-0.02259887005649719,,
2020-10-23,17400,17550,17000,17000,261597,-0.017341040462427793,,
2020-10-26,16800,17000,15750,15850,794178,-0.0676470588235294,,
2020-10-27,15700,16700,15700,16500,548506,0.04100946372239744,,
2020-10-28,16300,17450,16300,17350,401459,0.051515151515151514,,
2020-10-29,16850,17300,16700,17300,426897,-0.0028818443804035088,,
2020-10-30,17300,17450,16650,16850,312692,-0.026011560693641633,,
2020-11-02,16850,17200,16650,17000,215634,0.008902077151335286,17747.5,
2020-11-03,17150,17900,17100,17900,492133,0.05294117647058827,17715.0,
2020-11-04,18000,18200,17300,17900,821794,0.0,17682.5,
2020-11-05,18700,18850,18000,18100,1292265,0.011173184357541999,17650.0,
2020-11-06,18100,18300,17150,17300,967278,-0.04419889502762431,17552.5,
2020-11-09,17500,17700,17300,17350,574088,0.0028901734104045396,17467.5,
2020-11-10,17800,17900,17500,17800,609905,0.025936599423631135,17417.5,
2020-11-11,18200,18450,17850,17950,618494,0.008426966292134797,17400.0,
2020-11-12,18050,18100,17650,17850,265638,-0.005571030640668551,17390.0,
2020-11-13,17750,17950,17450,17950,292083,0.0056022408963585235,17392.5,
2020-11-16,18150,18750,18000,18400,865946,0.025069637883008422,17445.0,
2020-11-17,18400,18400,17750,18000,391694,-0.021739130434782594,17467.5,
2020-11-18,18150,18400,17850,18000,558264,0.0,17482.5,
2020-11-19,18000,18350,17800,18200,547201,0.011111111111111072,17527.5,
2020-11-20,18250,18550,18150,18350,446716,0.008241758241758212,17595.0,
2020-11-23,18400,18550,18200,18400,449834,0.0027247956403269047,17722.5,
2020-11-24,18550,18650,18400,18450,492633,0.0027173913043478937,17820.0,
2020-11-25,19150,19600,18550,18950,1510744,0.027100271002709952,17900.0,
2020-11-26,19050,20150,18800,20100,2304385,0.06068601583113464,18040.0,
2020-11-27,20350,20700,19900,20450,1422817,0.017412935323383172,18220.0,
2020-11-30,20600,20650,19900,19900,937115,-0.02689486552567233,18365.0,
2020-12-01,19950,20300,19600,19650,582578,-0.012562814070351758,18452.5,
2020-12-02,19800,20550,19750,19900,815302,0.012722646310432628,18552.5,
2020-12-03,20100,20150,19350,19650,643633,-0.012562814070351758,18630.0,
2020-12-04,19650,19650,18950,19200,788998,-0.022900763358778664,18725.0,
2020-12-07,19300,19800,18900,19800,639618,0.03125,18847.5,
2020-12-08,19850,20300,19400,19800,854252,0.0,18947.5,
2020-12-09,19800,20100,19550,19850,445078,0.002525252525252597,19042.5,
2020-12-10,19750,20500,19600,20000,761708,0.007556675062972307,19150.0,
2020-12-11,20250,20400,20000,20100,407618,0.004999999999999893,19257.5,
2020-12-14,20750,21050,20400,20400,966457,0.014925373134328401,19357.5,
2020-12-15,20700,21250,20500,20800,826071,0.019607843137254832,19497.5,
2020-12-16,21000,21250,20550,21000,624887,0.009615384615384581,19647.5,
2020-12-17,21250,22300,21200,21950,1408987,0.0452380952380953,19835.0,
2020-12-18,22150,22200,21400,21700,639688,-0.011389521640091105,20002.5,
2020-12-21,21750,21800,21050,21550,455772,-0.00691244239631339,20160.0,
2020-12-22,21400,22000,20750,20950,748502,-0.02784222737819031,20285.0,
2020-12-23,21050,21500,20500,21350,558467,0.019093078758949833,20405.0,
2020-12-24,21400,21600,21150,21400,366702,0.0023419203747072626,20470.0,
2020-12-28,21450,22100,21300,21350,683691,-0.002336448598130869,20515.0,
2020-12-29,21550,22050,21450,21950,443585,0.02810304449648715,20617.5,18910.0
2020-12-30,21800,23200,21750,22850,817522,0.04100227790432798,20777.5,18981.666666666668
2021-01-04,23100,24250,23050,23950,1001446,0.04814004376367609,20980.0,19071.666666666668
2021-01-05,23500,24100,22850,23350,716983,-0.025052192066805867,21165.0,19148.333333333332
2021-01-06,23500,23950,23000,23450,714338,0.004282655246252709,21377.5,19218.333333333332
2021-01-07,23550,23800,23200,23350,415930,-0.004264392324093813,21555.0,19290.0
2021-01-08,23700,23700,22700,23450,690849,0.004282655246252709,21737.5,19367.5
2021-01-11,23450,24700,22700,23650,1356009,0.008528784648187626,21927.5,19456.666666666668
2021-01-12,23300,24400,22850,23900,703520,0.010570824524312794,22122.5,19554.166666666668
2021-01-13,23900,24750,23550,24050,596242,0.006276150627614996,22320.0,19656.666666666668
2021-01-14,24050,24100,23600,23750,282652,-0.012474012474012475,22487.5,19763.333333333332
2021-01-15,23950,24250,23100,23150,581850,-0.025263157894736876,22605.0,19856.666666666668
2021-01-18,22650,23400,22550,22750,483722,-0.017278617710583144,22692.5,19940.833333333332
2021-01-19,22750,23200,22600,23100,385731,0.01538461538461533,22750.0,20037.5
2021-01-20,23450,24550,23100,24550,1060292,0.06277056277056281,22892.5,20163.333333333332
2021-01-21,24750,25200,23700,24150,881633,-0.016293279022403295,23022.5,20301.666666666668
2021-01-22,24400,24550,23600,23700,489378,-0.018633540372670843,23160.0,20421.666666666668
2021-01-25,23850,24250,23450,24100,385120,0.016877637130801704,23297.5,20534.166666666668
2021-01-26,23950,24250,23600,23650,321149,-0.018672199170124526,23410.0,20640.0
2021-01-27,23750,23850,22900,23100,372875,-0.023255813953488413,23497.5,20744.166666666668
2021-01-28,22500,23050,22050,22400,607884,-0.030303030303030276,23520.0,20834.166666666668
2021-01-29,22600,22750,21050,21650,645540,-0.033482142857142905,23460.0,20896.666666666668
2021-02-01,21700,23050,21650,23000,450081,0.06235565819861422,23412.5,20981.666666666668
2021-02-02,23100,23300,22450,22750,372479,-0.010869565217391353,23382.5,21059.166666666668
2021-02-03,22850,23200,22650,23050,264000,0.01318681318681314,23362.5,21155.0
2021-02-04,23350,24050,22500,23500,672635,0.01952277657266821,23370.0,21257.5
2021-02-05,23900,23950,23000,23150,298255,-0.014893617021276562,23355.0,21346.666666666668
2021-02-08,23050,23100,22450,22450,259292,-0.030237580993520474,23295.0,21421.666666666668
2021-02-09,22500,23350,22500,22900,613615,0.020044543429844186,23245.0,21505.833333333332
2021-02-10,22950,23050,22500,22900,215109,0.0,23187.5,21588.333333333332
2021-02-15,23400,24300,23150,24150,926691,0.05458515283842802,23207.5,21684.166666666668
