Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,5710,5950,5710,5940,69960,0.020618556701030855,,
2020-10-06,5910,6049,5910,5940,72760,0.0,,
2020-10-07,5940,6020,5860,5960,22210,0.0033670033670034627,,
2020-10-08,5960,5960,5800,5920,94040,-0.006711409395973145,,
2020-10-12,6000,6000,5850,5920,68750,0.0,,
2020-10-13,6000,6000,5860,5910,120890,-0.0016891891891891442,,
2020-10-14,5910,5950,5850,5850,54190,-0.010152284263959421,,
2020-10-15,5800,5880,5740,5820,57730,-0.00512820512820511,,
2020-10-16,5789,5840,5669,5740,87670,-0.013745704467353903,,
2020-10-19,5750,5790,5720,5760,56930,0.0034843205574912606,,
2020-10-20,5760,5830,5659,5750,69270,-0.0017361111111111605,,
2020-10-21,5750,5990,5750,5810,115080,0.01043478260869568,,
2020-10-22,5820,5930,5770,5850,120620,0.0068846815834766595,,
2020-10-23,5930,5930,5770,5900,72080,0.008547008547008517,,
2020-10-26,5900,5970,5770,5770,74740,-0.02203389830508473,,
2020-10-27,5740,5810,5619,5770,55790,0.0,,
2020-10-28,5749,5880,5720,5820,83810,0.008665511265164572,,
2020-10-29,5739,5770,5579,5670,199470,-0.02577319587628868,,
2020-10-30,5720,5720,5540,5560,79010,-0.01940035273368612,,
2020-11-02,5660,5660,5539,5610,48740,0.008992805755395628,5813.5,
2020-11-03,5610,5750,5610,5730,58210,0.021390374331550888,5803.0,
2020-11-04,5750,5890,5710,5870,93520,0.024432809773123898,5799.5,
2020-11-05,5810,6020,5760,6000,160050,0.022146507666098714,5801.5,
2020-11-06,6000,6000,5760,5820,44250,-0.030000000000000027,5796.5,
2020-11-09,5840,6080,5840,6050,170470,0.03951890034364269,5803.0,
2020-11-10,6130,6130,5980,6060,107380,0.0016528925619834212,5810.5,
2020-11-11,6060,6260,5980,6240,134630,0.02970297029702973,5830.0,
2020-11-12,6300,6300,6179,6250,54620,0.0016025641025640969,5851.5,
2020-11-13,6250,6250,6050,6110,60960,-0.022399999999999975,5870.0,
2020-11-16,6139,6170,6070,6110,154120,0.0,5887.5,
2020-11-17,6149,6669,6130,6460,377090,0.05728314238952548,5923.0,
2020-11-18,6480,6740,6480,6690,275310,0.035603715170278605,5967.0,
2020-11-19,6670,6680,6510,6620,79270,-0.010463378176382654,6005.5,
2020-11-20,6630,6630,6400,6510,122430,-0.0166163141993958,6036.0,
2020-11-23,6500,6610,6320,6570,90600,0.009216589861751112,6076.0,
2020-11-24,6590,6640,6480,6520,103880,-0.007610350076103556,6113.5,
2020-11-25,6520,6600,6310,6440,149450,-0.012269938650306789,6144.5,
2020-11-26,6480,6550,6360,6440,57040,0.0,6183.0,
2020-11-27,6440,6560,6360,6470,54620,0.004658385093167627,6228.5,
2020-11-30,6480,6580,6470,6570,96150,0.015455950540958163,6276.5,
2020-12-01,6580,6760,6530,6710,122720,0.021308980213089912,6325.5,
