Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,45700,47400,45033,47000,91145,0.0291895679593579,,
2020-10-06,47233,51866,47100,51867,332186,0.1035531914893617,,
2020-10-07,51166,51400,48666,48867,210241,-0.057840245242639865,,
2020-10-08,49666,50366,47500,47700,165712,-0.0238811467861747,,
2020-10-12,50300,51300,47350,48750,208062,0.022012578616352307,,
2020-10-13,48650,49450,47000,47400,114842,-0.027692307692307683,,
2020-10-14,46500,48550,45950,46800,93353,-0.012658227848101222,,
2020-10-15,46750,46800,44550,46000,98667,-0.017094017094017144,,
2020-10-16,45800,46800,44400,46750,65895,0.016304347826086918,,
2020-10-19,45300,47000,43700,44350,90586,-0.051336898395721975,,
2020-10-20,44300,44400,41850,43950,111287,-0.009019165727170209,,
2020-10-21,44200,44200,42800,42900,44226,-0.023890784982935176,,
2020-10-22,42600,44650,42050,42750,64942,-0.0034965034965035446,,
2020-10-23,43300,44850,42550,44650,71523,0.04444444444444451,,
2020-10-26,44650,45000,42000,42000,75477,-0.05935050391937291,,
2020-10-27,42000,42850,40650,41250,72429,-0.017857142857142905,,
2020-10-28,40850,43500,40850,43450,67875,0.05333333333333323,,
2020-10-29,42100,43500,41800,43500,57672,0.0011507479861909697,,
2020-10-30,42150,45000,41500,42750,154398,-0.017241379310344862,,
2020-11-02,43000,44250,42450,42900,52600,0.0035087719298245723,45279.2,
2020-11-03,42050,44000,41700,42600,340053,-0.006993006993006978,45059.2,
2020-11-04,42650,43050,40450,40850,288834,-0.04107981220657275,44508.35,
2020-11-05,40900,42200,40850,41200,174619,0.008567931456548328,44125.0,
2020-11-06,41800,41950,37700,39550,422453,-0.040048543689320426,43717.5,
2020-11-09,39600,39650,37050,37950,454933,-0.04045512010113783,43177.5,
2020-11-10,38250,39150,34550,38200,753070,0.006587615283267567,42717.5,
2020-11-11,38200,41450,37400,41400,377195,0.08376963350785349,42447.5,
2020-11-12,41000,42600,39600,40200,246561,-0.02898550724637683,42157.5,
2020-11-13,39800,45100,38600,40400,836492,0.004975124378109541,41840.0,
2020-11-16,40350,40350,38150,38450,305170,-0.04826732673267331,41545.0,
2020-11-17,39000,39400,35950,36700,452243,-0.04551365409622887,41182.5,
2020-11-18,37200,37200,33500,34750,676453,-0.053133514986375974,40775.0,
2020-11-19,34800,36650,33800,36600,341181,0.05323741007194238,40467.5,
2020-11-20,36550,37800,35050,37150,353896,0.015027322404371546,40092.5,
2020-11-23,37050,37850,36300,37700,199691,0.014804845222072593,39877.5,
2020-11-24,37700,37850,36250,36600,228530,-0.02917771883289122,39645.0,
2020-11-25,36550,37700,35000,35750,232421,-0.023224043715846965,39260.0,
2020-11-26,35750,38000,35750,37300,308338,0.043356643356643465,38950.0,
2020-11-27,37500,39900,37350,39700,517855,0.06434316353887404,38797.5,
2020-11-30,40100,40300,37700,38550,361349,-0.028967254408060472,38580.0,
2020-12-01,38550,39400,37700,38000,231724,-0.014267185473411104,38350.0,
2020-12-02,38050,38400,36750,36750,347205,-0.03289473684210531,38145.0,
2020-12-03,37150,37150,34750,35400,544396,-0.03673469387755102,37855.0,
2020-12-04,35750,35750,34000,35400,421292,0.0,37647.5,
2020-12-07,35100,36100,34450,34750,304150,-0.01836158192090398,37487.5,
2020-12-08,34800,35300,33600,34100,353421,-0.018705035971222972,37282.5,
2020-12-09,34200,35800,33900,34650,268418,0.016129032258064502,36945.0,
2020-12-10,34400,36400,34400,35850,688623,0.03463203463203457,36727.5,
2020-12-11,35450,36450,34350,35850,329557,0.0,36500.0,
