Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,37100,37700,36550,37300,3601,0.009472259810554773,,
2020-10-06,37600,37600,36600,36650,1960,-0.017426273458445052,,
2020-10-07,36650,36900,36250,36750,3410,0.0027285129604366354,,
2020-10-08,37300,37300,36150,37300,3714,0.014965986394557929,,
2020-10-12,37100,38000,37050,37550,5211,0.006702412868632601,,
2020-10-13,37500,37750,36200,37100,7230,-0.011984021304926817,,
2020-10-14,37100,37250,36250,36650,5057,-0.0121293800539084,,
2020-10-15,36650,36950,36550,36600,2366,-0.0013642564802183177,,
2020-10-16,36450,36950,35350,36300,5415,-0.008196721311475419,,
2020-10-19,36800,37500,35600,37150,5028,0.023415977961432466,,
2020-10-20,37150,37150,36350,37050,4702,-0.0026917900403768957,,
2020-10-21,36400,38700,36400,38250,12599,0.03238866396761142,,
2020-10-22,38800,39650,38400,39000,9458,0.019607843137254832,,
2020-10-23,39000,39400,38300,38550,5977,-0.011538461538461497,,
2020-10-26,38550,38550,36550,36900,5847,-0.04280155642023342,,
2020-10-27,36350,37550,36300,36600,10283,-0.008130081300813052,,
2020-10-28,36950,37250,36400,37050,3506,0.012295081967213184,,
2020-10-29,36250,37050,36000,36650,3169,-0.010796221322537103,,
2020-10-30,36650,37400,35550,35600,2677,-0.028649386084583894,,
2020-11-02,36350,36350,35400,35450,2783,-0.004213483146067398,37022.5,
2020-11-03,35550,37350,35550,36650,4203,0.03385049365303239,36990.0,
2020-11-04,38000,38000,35950,36850,3335,0.005457025920873049,37000.0,
2020-11-05,36700,38000,36700,37550,3870,0.01899592944369055,37040.0,
2020-11-06,37700,38650,37000,37900,7393,0.009320905459387463,37070.0,
2020-11-09,38000,38850,38000,38600,3599,0.01846965699208436,37122.5,
2020-11-10,39500,39600,38750,39400,8173,0.020725388601036343,37237.5,
2020-11-11,39900,39950,38850,39250,369167,-0.0038071065989847552,37367.5,
2020-11-12,40000,40000,38150,38500,7375,-0.019108280254777066,37462.5,
2020-11-13,38500,39300,37600,38500,8452,0.0,37572.5,
2020-11-16,38500,39500,38300,38900,12080,0.010389610389610393,37660.0,
2020-11-17,40150,40750,39200,39450,37101,0.014138817480719768,37780.0,
2020-11-18,39850,40700,39150,39950,47994,0.012674271229404344,37865.0,
2020-11-19,39900,40000,39550,39700,16849,-0.006257822277847325,37900.0,
2020-11-20,40000,40000,39350,39450,27854,-0.006297229219143552,37945.0,
2020-11-23,39450,40400,39300,39800,29941,0.008871989860582907,38090.0,
2020-11-24,39800,39900,39100,39800,19584,0.0,38250.0,
2020-11-25,39800,39800,38550,38600,31039,-0.03015075376884424,38327.5,
2020-11-26,38300,38500,37800,38000,16965,-0.015544041450777257,38395.0,
2020-11-27,38050,38200,37350,37650,15402,-0.009210526315789447,38497.5,
2020-11-30,38000,38000,37300,37700,14161,0.0013280212483399723,38610.0,
2020-12-01,37700,39100,37700,38900,17579,0.03183023872679036,38722.5,
2020-12-02,38950,39400,38500,39400,21908,0.01285347043701801,38850.0,
