Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,12250,12400,12100,12400,57797,0.012244897959183598,,
2020-10-06,12400,12650,12250,12400,58816,0.0,,
2020-10-07,12250,13250,12150,13000,256188,0.048387096774193505,,
2020-10-08,12800,12900,12550,12650,87699,-0.02692307692307694,,
2020-10-12,12700,12750,12400,12500,49096,-0.011857707509881465,,
2020-10-13,12500,12800,12050,12150,91812,-0.028000000000000025,,
2020-10-14,12050,12150,11800,11950,75548,-0.016460905349794275,,
2020-10-15,11900,12000,11500,11750,68024,-0.01673640167364021,,
2020-10-16,11900,11900,11150,11550,100626,-0.017021276595744705,,
2020-10-19,11550,11600,11100,11150,86575,-0.03463203463203468,,
2020-10-20,10950,11250,10800,11000,111121,-0.013452914798206317,,
2020-10-21,11000,11300,10950,11300,44544,0.027272727272727337,,
2020-10-22,11300,11700,11150,11550,62221,0.022123893805309658,,
2020-10-23,11750,11750,10900,10900,108096,-0.05627705627705626,,
2020-10-26,10900,11000,10400,10500,119632,-0.03669724770642202,,
2020-10-27,10350,10900,10200,10600,108374,0.00952380952380949,,
2020-10-28,10450,10850,10450,10800,24296,0.018867924528301883,,
2020-10-29,10350,10750,10250,10700,64684,-0.0092592592592593,,
2020-10-30,10650,11150,10100,10400,178368,-0.028037383177570097,,
2020-11-02,10400,10650,10250,10450,25511,0.004807692307692291,11485.0,
2020-11-03,10600,11050,10600,10900,50062,0.04306220095693769,11410.0,
2020-11-04,10900,11250,10900,11200,34261,0.02752293577981657,11350.0,
2020-11-05,11400,11900,11000,11700,180986,0.044642857142857206,11285.0,
2020-11-06,11950,12200,11700,11850,212908,0.012820512820512775,11245.0,
2020-11-09,12000,12350,11900,12000,113291,0.012658227848101333,11220.0,
2020-11-10,12000,12200,11700,12000,101933,0.0,11212.5,
2020-11-11,12000,12900,11700,12500,496218,0.04166666666666674,11240.0,
2020-11-12,13000,13100,11900,12100,541863,-0.03200000000000003,11257.5,
2020-11-13,12100,12150,11300,11500,503992,-0.04958677685950408,11255.0,
2020-11-16,11700,11900,11250,11450,227591,-0.004347826086956497,11270.0,
2020-11-17,11700,12050,11450,11850,255573,0.03493449781659397,11312.5,
2020-11-18,11850,11900,11450,11600,193358,-0.021097046413502074,11327.5,
2020-11-19,11450,11600,11300,11600,156980,0.0,11330.0,
2020-11-20,11450,11700,11300,11400,103234,-0.017241379310344862,11355.0,
2020-11-23,11400,11850,11250,11800,142965,0.03508771929824572,11420.0,
2020-11-24,11950,12000,11600,11650,116806,-0.012711864406779627,11472.5,
2020-11-25,11700,11900,11250,11450,94456,-0.01716738197424894,11505.0,
2020-11-26,11450,12600,11250,12500,680996,0.09170305676855905,11595.0,
2020-11-27,12350,12450,11950,12050,241707,-0.03600000000000003,11677.5,
2020-11-30,12100,12500,11950,12200,228646,0.012448132780082943,11765.0,
2020-12-01,12200,12750,12150,12650,398788,0.03688524590163933,11852.5,
2020-12-02,12800,13400,12750,13250,682058,0.04743083003952564,11955.0,
2020-12-03,13300,13500,13250,13400,212510,0.01132075471698113,12040.0,
2020-12-04,13400,13500,12900,13050,220570,-0.026119402985074647,12100.0,
2020-12-07,13200,13200,12500,12750,190304,-0.02298850574712641,12137.5,
2020-12-08,12750,12850,12200,12300,164993,-0.03529411764705881,12152.5,
