Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,16850,17250,16550,17150,56929,0.008823529411764675,,
2020-10-06,17200,17750,16800,16800,93292,-0.020408163265306145,,
2020-10-07,16750,17200,16600,17150,123653,0.02083333333333326,,
2020-10-08,17500,17550,16750,16900,87914,-0.014577259475218707,,
2020-10-12,17100,17200,16450,16900,120759,0.0,,
2020-10-13,17100,17100,16300,16700,118231,-0.011834319526627168,,
2020-10-14,17150,17450,16500,16950,283324,0.014970059880239583,,
2020-10-15,17100,17700,16800,17150,269713,0.01179941002949847,,
2020-10-16,17000,17150,15850,16250,213910,-0.05247813411078717,,
2020-10-19,16350,16350,15650,15850,80493,-0.024615384615384595,,
2020-10-20,15800,16550,15300,16200,184189,0.02208201892744488,,
2020-10-21,16150,16250,15800,16050,82372,-0.0092592592592593,,
2020-10-22,16250,16600,15800,16550,164596,0.031152647975077885,,
2020-10-23,16800,17450,16700,16750,280209,0.012084592145015005,,
2020-10-26,16650,17100,16000,16050,112624,-0.04179104477611939,,
2020-10-27,15800,16300,15600,16050,144922,0.0,,
2020-10-28,15800,16750,15800,16700,76895,0.04049844236760114,,
2020-10-29,16250,16600,16200,16550,59121,-0.008982035928143728,,
2020-10-30,16950,17000,15700,16200,198600,-0.02114803625377648,,
2020-11-02,16150,16200,15450,15800,141457,-0.024691358024691357,16535.0,
2020-11-03,15800,16800,15750,16450,196320,0.04113924050632911,16500.0,
2020-11-04,16850,16950,16050,16900,188656,0.02735562310030404,16505.0,
2020-11-05,17000,17050,16700,17000,91022,0.00591715976331364,16497.5,
2020-11-06,17100,17250,16750,16750,98151,-0.014705882352941124,16490.0,
2020-11-09,16750,17400,16700,17100,145184,0.020895522388059806,16500.0,
2020-11-10,16900,17450,16750,17450,82764,0.020467836257309857,16537.5,
2020-11-11,17450,18900,17200,18850,695246,0.08022922636103158,16632.5,
2020-11-12,18500,18800,17800,18650,262611,-0.010610079575596787,16707.5,
2020-11-13,18400,18800,18150,18800,201427,0.008042895442359255,16835.0,
2020-11-16,18750,19150,17600,19100,225740,0.015957446808510634,16997.5,
2020-11-17,19250,19300,18450,18700,133191,-0.020942408376963373,17122.5,
2020-11-18,18700,19800,18350,19500,410118,0.04278074866310155,17295.0,
2020-11-19,19500,20250,19150,20150,230402,0.03333333333333344,17475.0,
2020-11-20,20100,20600,19600,20400,237564,0.012406947890818865,17657.5,
2020-11-23,20100,21000,19800,20800,157923,0.019607843137254832,17895.0,
2020-11-24,20800,21650,20650,21400,288905,0.028846153846153744,18162.5,
2020-11-25,21800,22600,21400,21900,314388,0.02336448598130847,18422.5,
2020-11-26,22200,23350,22100,23250,227941,0.06164383561643838,18757.5,
2020-11-27,23200,24000,22700,23800,181749,0.023655913978494647,19137.5,
2020-11-30,23650,23700,22250,22500,217356,-0.054621848739495826,19472.5,
2020-12-01,22500,22950,21900,22950,185847,0.020000000000000018,19797.5,
2020-12-02,22700,23100,22050,22400,240581,-0.023965141612200425,20072.5,
2020-12-03,22700,22850,21800,22700,166292,0.013392857142857206,20357.5,
2020-12-04,22400,22950,22250,22350,145043,-0.01541850220264318,20637.5,
2020-12-07,22350,22350,21350,21750,157385,-0.02684563758389258,20870.0,
2020-12-08,21650,22250,21150,21300,115568,-0.020689655172413834,21062.5,
2020-12-09,21500,23250,21500,23100,283475,0.08450704225352124,21275.0,
2020-12-10,23100,23200,22200,22900,124859,-0.008658008658008698,21487.5,
2020-12-11,22900,23350,22450,23300,118275,0.017467248908296984,21712.5,
2020-12-14,23200,23250,22450,22900,168214,-0.01716738197424894,21902.5,
2020-12-15,22900,23150,22300,22800,200942,-0.004366812227074246,22107.5,
2020-12-16,22900,23600,22700,23250,192426,0.019736842105263053,22295.0,
2020-12-17,23300,25100,23300,24850,239297,0.0688172043010753,22530.0,
2020-12-18,24850,26200,23400,26000,433721,0.046277665995975825,22810.0,
2020-12-21,26000,26100,24900,25550,244959,-0.017307692307692357,23047.5,
2020-12-22,25300,25650,24850,24850,110523,-0.0273972602739726,23220.0,
2020-12-23,24900,26350,24100,26350,259522,0.06036217303822933,23442.5,
2020-12-24,26550,29000,26500,26900,404787,0.020872865275142205,23625.0,
2020-12-28,26900,29750,26900,29200,1031109,0.08550185873605942,23895.0,
2020-12-29,29200,30500,28500,30200,226512,0.03424657534246567,24280.0,20095.833333333332
2020-12-30,29850,30800,28550,30150,251447,-0.0016556291390728006,24640.0,20312.5
2021-01-04,30500,30500,28700,29600,216151,-0.018242122719734688,25000.0,20525.833333333332
2021-01-05,29550,29600,27850,29200,302823,-0.013513513513513487,25325.0,20726.666666666668
2021-01-06,28950,29800,28600,29350,279154,0.005136986301369939,25675.0,20934.166666666668
2021-01-07,29050,29300,28650,28700,123678,-0.022146507666098825,26022.5,21130.833333333332
2021-01-08,28700,29050,28050,28300,130195,-0.013937282229965153,26372.5,21324.166666666668
2021-01-11,27850,28300,26950,27750,264372,-0.019434628975265045,26605.0,21504.166666666668
2021-01-12,28300,28900,27600,28250,193360,0.018018018018018056,26872.5,21689.166666666668
2021-01-13,28450,29300,27700,29050,151520,0.02831858407079646,27160.0,21902.5
2021-01-14,29000,29000,27550,27700,170493,-0.04647160068846812,27400.0,22100.0
2021-01-15,28000,28550,27700,28250,112262,0.019855595667870096,27672.5,22300.833333333332
2021-01-18,28300,28850,27600,27750,93292,-0.017699115044247815,27897.5,22495.833333333332
2021-01-19,27450,29650,27100,29400,183338,0.05945945945945952,28125.0,22710.0
2021-01-20,29400,31300,28700,31100,208488,0.05782312925170063,28380.0,22949.166666666668
2021-01-21,30650,31500,30050,30900,155923,-0.006430868167202619,28647.5,23196.666666666668
2021-01-22,31000,31000,29800,30350,83598,-0.017799352750809017,28922.5,23435.0
2021-01-25,30250,30250,29200,29300,79243,-0.034596375617792385,29070.0,23645.0
2021-01-26,29250,29500,28500,28700,70759,-0.020477815699658675,29160.0,23847.5
2021-01-27,28700,29450,28450,29050,64815,0.012195121951219523,29152.5,24061.666666666668
2021-01-28,28950,29050,28250,28300,32478,-0.025817555938037917,29057.5,24270.0
2021-01-29,29700,29900,27300,28800,107194,0.0176678445229681,28990.0,24475.833333333332
2021-02-01,28300,28950,28100,28800,64303,0.0,28950.0,24674.166666666668
2021-02-02,28650,30750,28300,30400,419781,0.05555555555555558,29010.0,24897.5
2021-02-03,30750,33350,30150,33100,334034,0.08881578947368429,29197.5,25170.0
2021-02-04,32750,33400,31750,33000,157661,-0.0030211480362537513,29412.5,25435.0
2021-02-05,32700,33250,31250,32700,183779,-0.009090909090909038,29632.5,25689.166666666668
2021-02-08,32350,33500,31800,32950,106854,0.007645259938837912,29892.5,25924.166666666668
2021-02-09,32750,34900,32750,34400,232309,0.04400606980273136,30200.0,26186.666666666668
2021-02-10,34100,34500,30700,34300,176271,-0.0029069767441860517,30462.5,26445.0
2021-02-15,34400,34500,32700,33500,110167,-0.023323615160349864,30752.5,26685.0
2021-02-16,33600,34450,32400,34450,95840,0.028358208955223896,31062.5,26947.5
2021-02-17,33900,34450,33500,34100,72843,-0.010159651669085612,31380.0,27190.833333333332
2021-02-18,34000,34000,32400,33400,141016,-0.02052785923753664,31580.0,27411.666666666668
2021-02-19,33450,37000,33450,36500,509048,0.09281437125748493,31850.0,27680.0
2021-02-22,35550,36100,34550,34700,154985,-0.049315068493150704,32040.0,27911.666666666668
2021-02-23,34450,34800,32800,34600,169624,-0.0028818443804035088,32252.5,28131.666666666668
2021-02-24,33900,34500,31500,31750,154284,-0.08236994219653182,32375.0,28295.833333333332
2021-02-25,32300,32700,31350,31750,78485,0.0,32527.5,28437.5
2021-02-26,31100,31400,29550,30200,97186,-0.04881889763779523,32585.0,28544.166666666668
2021-03-02,31150,31950,28700,30450,167200,0.008278145695364225,32692.5,28676.666666666668
2021-03-03,30250,30950,29800,30250,150431,-0.006568144499178974,32765.0,28798.333333333332
2021-03-04,29700,30850,28950,30800,112968,0.018181818181818077,32865.0,28938.333333333332
2021-03-05,30200,30800,29700,30700,167970,-0.0032467532467532756,32880.0,29071.666666666668
2021-03-08,30700,30700,28500,29550,229850,-0.037459283387622166,32702.5,29191.666666666668
2021-03-09,29050,30550,28700,29800,642836,0.008460236886632888,32542.5,29325.833333333332
2021-03-10,29950,31500,29550,31500,94896,0.057046979865771785,32482.5,29495.833333333332
2021-03-11,31750,32250,30350,31800,147521,0.00952380952380949,32425.0,29640.833333333332
2021-03-12,31800,33300,31800,32500,92512,0.022012578616352307,32330.0,29800.833333333332
2021-03-15,31850,35700,31850,35400,419561,0.08923076923076922,32385.0,30002.5
2021-03-16,35400,35650,34150,34850,181850,-0.015536723163841804,32452.5,30201.666666666668
2021-03-17,34500,35700,34000,34850,285802,0.0,32472.5,30402.5
2021-03-18,34850,36450,34200,35800,346576,0.027259684361549574,32557.5,30611.666666666668
2021-03-19,34650,35600,34250,34250,411232,-0.04329608938547491,32600.0,30768.333333333332
2021-03-22,34200,34700,31900,33500,396642,-0.021897810218978075,32450.0,30893.333333333332
2021-03-23,33250,34450,31900,32300,303214,-0.035820895522388096,32330.0,31005.833333333332
2021-03-24,32100,32800,31550,31900,270329,-0.012383900928792602,32195.0,31123.333333333332
2021-03-25,31600,31850,29200,30750,391019,-0.036050156739811934,32145.0,31196.666666666668
2021-03-26,30900,32400,30500,32200,247075,0.047154471544715415,32167.5,31285.0
2021-03-29,32200,32200,31200,31400,93817,-0.024844720496894457,32227.5,31321.666666666668
2021-03-30,31400,32250,31200,32100,102821,0.022292993630573354,32310.0,31353.333333333332
2021-03-31,32100,32200,30750,30750,94782,-0.04205607476635509,32335.0,31363.333333333332
2021-04-01,30950,31150,29200,29550,325576,-0.039024390243902474,32272.5,31362.5
2021-04-02,29700,30350,29550,30000,79069,0.015228426395939021,32237.5,31375.833333333332
2021-04-05,29900,30950,29050,29650,186369,-0.011666666666666714,32242.5,31380.833333333332
2021-04-06,29800,30850,29200,30850,126537,0.0404721753794266,32295.0,31416.666666666668
2021-04-07,30800,31050,30000,31050,127076,0.006482982171799101,32272.5,31462.5
2021-04-08,31000,32250,30950,31800,167264,0.024154589371980784,32272.5,31530.0
2021-04-09,31800,32200,31000,31000,74166,-0.02515723270440251,32197.5,31575.833333333332
2021-04-12,30900,31700,30350,30950,102439,-0.001612903225806428,31975.0,31607.5
