Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,24500,24750,23850,24400,256445,-0.006109979633401208,,
2020-10-06,24600,25050,24250,24350,248609,-0.002049180327868827,,
2020-10-07,24400,25900,24050,25250,896348,0.03696098562628336,,
2020-10-08,25250,25250,24500,24550,324863,-0.027722772277227747,,
2020-10-12,24550,24650,23850,24100,161549,-0.018329938900203624,,
2020-10-13,24200,24550,23650,24450,200533,0.014522821576763434,,
2020-10-14,24300,24500,23200,23350,199840,-0.04498977505112478,,
2020-10-15,23400,23500,22650,23050,184433,-0.012847965738758016,,
2020-10-16,22900,23350,22450,22900,165925,-0.006507592190889366,,
2020-10-19,23250,23650,22200,22350,223154,-0.024017467248908297,,
2020-10-20,22250,22800,21350,22100,440824,-0.01118568232662187,,
2020-10-21,22100,22250,21700,22150,151505,0.002262443438914019,,
2020-10-22,22050,22400,21700,21850,135839,-0.013544018058690765,,
2020-10-23,22000,22150,21400,21550,84188,-0.013729977116704761,,
2020-10-26,21550,21550,20050,20500,321438,-0.04872389791183296,,
2020-10-27,20200,21550,20150,21100,197740,0.029268292682926855,,
2020-10-28,20850,22150,20850,21800,241363,0.033175355450236976,,
2020-10-29,21200,22100,21200,22050,112121,0.011467889908256979,,
2020-10-30,21900,22400,21400,21500,144930,-0.024943310657596363,,
2020-11-02,21650,21850,20800,21500,105484,0.0,22742.5,
2020-11-03,22250,22850,22050,22550,251696,0.04883720930232549,22650.0,
2020-11-04,22950,24100,22500,23800,397709,0.055432372505543226,22622.5,
2020-11-05,23800,24500,23500,24100,287551,0.012605042016806678,22565.0,
2020-11-06,24400,24400,23600,24150,228137,0.0020746887966804906,22545.0,
2020-11-09,24700,24700,23750,24150,200705,0.0,22547.5,
2020-11-10,24050,24050,23200,23400,209166,-0.03105590062111796,22495.0,
2020-11-11,23400,23450,22800,22850,163437,-0.023504273504273532,22470.0,
2020-11-12,22850,23400,22400,23200,282171,0.015317286652078765,22477.5,
2020-11-13,23200,23450,22850,23050,130466,-0.006465517241379337,22485.0,
2020-11-16,23300,25250,23250,25150,773195,0.09110629067245113,22625.0,
2020-11-17,25200,25250,24250,24800,415601,-0.013916500994035741,22760.0,
2020-11-18,24700,25400,24450,24900,212782,0.0040322580645162365,22897.5,
2020-11-19,24800,25950,24550,25700,487271,0.032128514056224855,23090.0,
2020-11-20,25650,25850,24950,25150,215127,-0.021400778210116767,23270.0,
2020-11-23,25100,25750,24700,25600,290698,0.017892644135188762,23525.0,
2020-11-24,25750,26200,25250,25350,337963,-0.009765625,23737.5,
2020-11-25,25550,25600,24250,24550,326419,-0.0315581854043393,23875.0,
2020-11-26,24450,25300,24300,25000,169301,0.018329938900203624,24022.5,
2020-11-27,24850,25300,24600,24900,133359,-0.0040000000000000036,24192.5,
2020-11-30,25000,25050,24550,24700,104912,-0.008032128514056214,24352.5,
2020-12-01,24800,25050,24300,24550,155637,-0.006072874493927127,24452.5,
2020-12-02,24550,25950,24400,25600,570787,0.042769857433808456,24542.5,
2020-12-03,25700,25700,24800,24850,237337,-0.029296875,24580.0,
2020-12-04,24950,25150,24600,24700,126828,-0.006036217303822977,24607.5,
2020-12-07,24850,24900,24200,24850,137191,0.006072874493927127,24642.5,
2020-12-08,24800,25450,24550,24600,192450,-0.010060362173038184,24702.5,
2020-12-09,25000,25700,24450,25400,250215,0.03252032520325199,24830.0,
2020-12-10,25000,26050,25000,25700,264955,0.011811023622047223,24955.0,
2020-12-11,25800,25800,25000,25050,224743,-0.02529182879377434,25055.0,
2020-12-14,24950,25050,24500,24800,137129,-0.009980039920159722,25037.5,
2020-12-15,24850,25150,24600,24900,174795,0.0040322580645162365,25042.5,
2020-12-16,25000,25600,24700,25500,324912,0.024096385542168752,25072.5,
2020-12-17,25500,27550,25400,26950,1011814,0.056862745098039236,25135.0,
2020-12-18,27100,27250,26650,27050,257734,0.0037105751391466324,25230.0,
2020-12-21,27200,27250,26250,26750,289057,-0.011090573012939031,25287.5,
2020-12-22,26650,27100,25350,26000,345749,-0.028037383177570097,25320.0,
2020-12-23,25900,26450,25250,26200,241977,0.007692307692307665,25402.5,
2020-12-24,26400,26950,26200,26550,175597,0.013358778625954137,25480.0,
2020-12-28,26700,26800,25850,26500,235641,-0.0018832391713747842,25560.0,
2020-12-29,26750,27250,26450,27150,219038,0.02452830188679256,25682.5,24259.166666666668
2020-12-30,27150,29250,26950,28600,634107,0.05340699815837935,25885.0,24329.166666666668
2021-01-04,28600,31450,28200,30600,815878,0.06993006993007,26135.0,24433.333333333332
2021-01-05,30350,31550,29900,31350,365426,0.02450980392156854,26460.0,24535.0
2021-01-06,31250,31300,29650,30950,508000,-0.012759170653907526,26772.5,24641.666666666668
2021-01-07,30550,31350,30100,30800,288468,-0.004846526655896577,27070.0,24753.333333333332
2021-01-08,31100,31100,29300,29650,360709,-0.037337662337662336,27322.5,24840.0
2021-01-11,29900,30900,28900,29800,361101,0.005059021922428242,27542.5,24947.5
2021-01-12,29600,30350,29000,29750,225219,-0.001677852348993314,27745.0,25059.166666666668
2021-01-13,30000,30050,28950,28950,226850,-0.026890756302521024,27940.0,25160.0
2021-01-14,28950,29250,28750,28950,128063,0.0,28147.5,25270.0
2021-01-15,29550,31400,29450,31200,752450,0.07772020725388606,28462.5,25421.666666666668
2021-01-18,30650,31700,30150,31050,399807,-0.004807692307692291,28740.0,25570.0
2021-01-19,31050,31300,29850,30850,290809,-0.006441223832528209,28935.0,25720.0
2021-01-20,31100,32150,30400,31500,391043,0.021069692058346856,29157.5,25885.833333333332
2021-01-21,31400,32000,30800,31000,258226,-0.015873015873015928,29370.0,26060.833333333332
2021-01-22,31500,31550,30050,30400,237920,-0.01935483870967747,29590.0,26215.833333333332
2021-01-25,30650,30850,30050,30550,220370,0.004934210526315708,29807.5,26361.666666666668
2021-01-26,30700,30850,29700,30000,244955,-0.018003273322422242,29980.0,26494.166666666668
2021-01-27,30000,30100,29100,29150,158893,-0.02833333333333332,30112.5,26621.666666666668
2021-01-28,28300,28700,27500,27950,344607,-0.04116638078902235,30152.5,26729.166666666668
2021-01-29,28350,28600,26150,27000,311811,-0.03398926654740608,30072.5,26803.333333333332
2021-02-01,26900,27950,26300,27900,175312,0.03333333333333344,29937.5,26871.666666666668
2021-02-02,28100,28900,27500,27800,176035,-0.0035842293906810374,29760.0,26933.333333333332
2021-02-03,28450,28450,27450,28000,166112,0.007194244604316502,29612.5,26997.5
2021-02-04,27950,29250,27850,29000,345539,0.03571428571428581,29522.5,27078.333333333332
2021-02-05,30300,30900,29650,29900,527446,0.03103448275862064,29535.0,27186.666666666668
2021-02-08,30200,30200,29150,29600,151059,-0.010033444816053505,29525.0,27299.166666666668
2021-02-09,29800,30750,29400,29850,193267,0.008445945945946054,29530.0,27410.0
2021-02-10,29850,29950,28700,29900,172455,0.0016750418760469454,29577.5,27524.166666666668
2021-02-15,30200,31450,29750,31400,349855,0.050167224080267525,29700.0,27628.333333333332
2021-02-16,31650,32500,31050,32350,292708,0.030254777070063632,29757.5,27754.166666666668
2021-02-17,32000,34750,31850,33550,612070,0.03709428129829995,29882.5,27898.333333333332
2021-02-18,33250,34800,33200,33900,256607,0.010432190760059523,30035.0,28035.0
2021-02-19,33800,39500,33750,38100,1890332,0.12389380530973448,30365.0,28250.833333333332
