Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,22800,22850,22500,22650,272664,0.01342281879194629,,
2020-10-06,22600,23650,22550,23500,418463,0.03752759381898452,,
2020-10-07,23600,24200,23250,24050,339108,0.023404255319148914,,
2020-10-08,24050,24250,23700,23900,278631,-0.006237006237006182,,
2020-10-12,24150,24250,23350,23450,285620,-0.01882845188284521,,
2020-10-13,23400,23600,23000,23150,203723,-0.01279317697228144,,
2020-10-14,23150,23350,22800,22800,256277,-0.015118790496760237,,
2020-10-15,22700,22850,22450,22650,275513,-0.006578947368421018,,
2020-10-16,22800,23450,22800,23200,303843,0.024282560706401668,,
2020-10-19,23400,23850,23250,23850,304763,0.028017241379310276,,
2020-10-20,23600,23800,23400,23600,156148,-0.010482180293501009,,
2020-10-21,23700,23950,23500,23900,197239,0.012711864406779627,,
2020-10-22,24000,25550,23650,25550,677119,0.06903765690376562,,
2020-10-23,25800,26000,25350,25900,389470,0.013698630136986356,,
2020-10-26,26000,26600,25550,26200,406414,0.01158301158301156,,
2020-10-27,25950,26100,24650,24850,410185,-0.05152671755725191,,
2020-10-28,24350,24900,24300,24800,220930,-0.002012072434607659,,
2020-10-29,24150,24700,24000,24600,220162,-0.008064516129032251,,
2020-10-30,24500,24500,23200,23300,366010,-0.05284552845528456,,
2020-11-02,23650,24150,23600,23900,191617,0.025751072961373467,23990.0,
2020-11-03,23850,24950,23800,24950,269716,0.043933054393305415,24105.0,
2020-11-04,25150,25150,23850,24100,305846,-0.034068136272545124,24135.0,
2020-11-05,24300,24700,24050,24200,252300,0.004149377593360981,24142.5,
2020-11-06,24350,24500,24050,24250,175281,0.0020661157024792765,24160.0,
2020-11-09,24400,24500,24200,24400,195891,0.006185567010309256,24207.5,
2020-11-10,24650,25000,24300,24950,399041,0.02254098360655732,24297.5,
2020-11-11,24800,25400,24800,25350,303983,0.01603206412825653,24425.0,
2020-11-12,25350,25350,24500,24700,363837,-0.02564102564102566,24527.5,
2020-11-13,24450,24750,24200,24400,234358,-0.012145748987854255,24587.5,
2020-11-16,24800,24850,24400,24450,399067,0.002049180327868827,24617.5,
2020-11-17,24500,24550,23750,23950,522522,-0.020449897750511203,24635.0,
2020-11-18,24100,24500,24000,24350,457691,0.016701461377870652,24657.5,
2020-11-19,24150,24300,23750,23950,369243,-0.01642710472279263,24577.5,
2020-11-20,23950,24200,23850,24050,247120,0.0041753653444676075,24485.0,
2020-11-23,24000,24350,24000,24300,329584,0.01039501039501034,24390.0,
2020-11-24,24300,24550,23850,24200,4415545,-0.004115226337448541,24357.5,
2020-11-25,24200,24450,23800,23800,637142,-0.016528925619834656,24307.5,
2020-11-26,23850,23950,23450,23700,432426,-0.004201680672268893,24262.5,
2020-11-27,23550,23700,23100,23200,452460,-0.021097046413502074,24257.5,
2020-11-30,23400,23450,22300,22300,999210,-0.03879310344827591,24177.5,
2020-12-01,22600,22850,22500,22750,301826,0.020179372197309364,24067.5,
2020-12-02,22950,23400,22850,23400,607536,0.02857142857142847,24032.5,
2020-12-03,23250,23450,23200,23300,350179,-0.004273504273504258,23987.5,
2020-12-04,23250,23450,23200,23350,393831,0.0021459227467810482,23942.5,
2020-12-07,23350,23400,22800,22950,351882,-0.017130620985010725,23870.0,
2020-12-08,23050,23050,22700,22900,339451,-0.002178649237472796,23767.5,
2020-12-09,22800,22950,22450,22650,626634,-0.01091703056768556,23632.5,
2020-12-10,22750,23000,22350,22600,802151,-0.002207505518763808,23527.5,
2020-12-11,22700,23050,22550,23000,607146,0.017699115044247815,23457.5,
2020-12-14,23150,23800,23000,23500,1027022,0.021739130434782705,23410.0,
2020-12-15,23650,24300,23500,24150,1410606,0.027659574468085202,23420.0,
2020-12-16,24350,24400,24050,24200,491814,0.0020703933747412417,23412.5,
2020-12-17,24000,24050,23600,23800,503549,-0.016528925619834656,23405.0,
2020-12-18,23700,23950,23400,23400,686099,-0.01680672268907568,23372.5,
2020-12-21,23500,23650,23250,23500,307953,0.004273504273504258,23332.5,
2020-12-22,23400,23650,23200,23250,407332,-0.010638297872340385,23285.0,
2020-12-23,23300,23450,23150,23350,287305,0.004301075268817289,23262.5,
2020-12-24,23450,23550,23300,23450,388174,0.004282655246252709,23250.0,
2020-12-28,23550,23650,23300,23500,602870,0.002132196162046851,23265.0,
2020-12-29,22850,22850,22550,22600,625482,-0.03829787234042559,23280.0,23815.833333333332
2020-12-30,22600,22750,22450,22750,388990,0.006637168141592875,23280.0,23817.5
2021-01-04,22600,22650,22300,22400,397341,-0.01538461538461533,23230.0,23799.166666666668
2021-01-05,22500,22550,22100,22500,511965,0.0044642857142858094,23190.0,23773.333333333332
2021-01-06,22400,22700,22150,22400,637499,-0.004444444444444473,23142.5,23748.333333333332
2021-01-07,22550,23150,22450,23050,851317,0.029017857142857206,23147.5,23741.666666666668
2021-01-08,23200,23200,22650,23050,633429,0.0,23155.0,23740.0
2021-01-11,23150,23150,22250,22500,777775,-0.02386117136659438,23147.5,23735.0
2021-01-12,22500,22550,22200,22350,663151,-0.00666666666666671,23135.0,23730.0
2021-01-13,22500,22750,22300,22600,637291,0.01118568232662187,23115.0,23720.0
2021-01-14,22500,22650,22300,22450,724585,-0.006637168141592875,23062.5,23696.666666666668
2021-01-15,22550,22600,22200,22350,782319,-0.0044543429844098315,22972.5,23675.833333333332
2021-01-18,22250,22300,21550,21550,966486,-0.03579418344519014,22840.0,23636.666666666668
2021-01-19,21750,21800,21500,21600,370262,0.002320185614849146,22730.0,23570.833333333332
2021-01-20,21600,21650,21050,21200,821526,-0.01851851851851849,22620.0,23492.5
2021-01-21,21250,21550,21150,21450,570184,0.011792452830188704,22517.5,23413.333333333332
2021-01-22,21350,21400,20900,20950,758734,-0.023310023310023298,22402.5,23348.333333333332
2021-01-25,20950,20950,20450,20650,697072,-0.014319809069212375,22267.5,23279.166666666668
2021-01-26,20750,21000,20600,20800,453941,0.007263922518159882,22135.0,23215.833333333332
2021-01-27,20900,21100,20300,20350,809345,-0.02163461538461542,21977.5,23166.666666666668
2021-01-28,20150,20200,19800,20150,524231,-0.009828009828009798,21855.0,23104.166666666668
2021-01-29,20150,20450,19900,19900,477056,-0.012406947890818865,21712.5,23020.0
2021-02-01,19850,20250,19850,20200,336157,0.015075376884422065,21602.5,22955.0
2021-02-02,20200,20650,20150,20500,450457,0.014851485148514865,21502.5,22893.333333333332
2021-02-03,20600,20700,20300,20350,365750,-0.007317073170731714,21400.0,22828.333333333332
2021-02-04,20400,20400,19900,20100,493020,-0.012285012285012331,21252.5,22756.666666666668
2021-02-05,20050,20200,19950,20100,372804,0.0,21105.0,22675.833333333332
2021-02-08,20150,20450,20150,20450,412010,0.017412935323383172,21002.5,22594.166666666668
2021-02-09,20500,20900,20350,20700,725037,0.012224938875305513,20920.0,22527.5
2021-02-10,20800,20800,20450,20600,468992,-0.004830917874396157,20820.0,22464.166666666668
2021-02-15,20900,21050,20700,20700,489283,0.004854368932038833,20732.5,22401.666666666668
