,bike_id,bus_id,bus_name,경도,위도
0,[1653 1690 1691 4003],11193,온곡중학교노원정보도서관,127.064393,37.659201
1,[1637 1653 1656 1691 4003],11208,상계초등학교,127.065774,37.657587
2,[1637 1653 1656 1657 1662 1673 1674 1690 4003],11210,노원역9번출구,127.061986,37.656087
3,[1636 1637 1657 1661 1662 1673 1674 1697],11244,상계주공3단지,127.060908,37.652096
4,[1636 1661 1668 1673 1678 1697 4026],11245,상계주공2단지,127.06162,37.649637
5,[1636 1661 1668 1669 1678 2921 4026 4039],11246,상계주공1단지,127.06283,37.647128
6,[1650 1668 1669 2919 2921 4039],11366,중계역,127.064435,37.643864
7,[1617 1650 2919 4007 4036],11367,노원구민의전당,127.066418,37.639391
8,[1616 1617 1650 2919 4007 4036],11447,하계역,127.067663,37.636667
9,[1616 1655 4007 4008 4036],11448,하계장미아파트,127.068804,37.634079
10,[1608 1611 1655 2902 4008 4025 4041],11160,서울과학기술대입구,127.071466,37.628291
11,[1608 1640 4025 4041],11162,공릉역4번출구,127.072276,37.62675
12,[1606 1608 1640 1641 2910 4025 4041],11102,공릉시장,127.073621,37.623116
13,[1606 1643 1684 2910 4046],11104,태릉입구역3번출구,127.074841,37.619425
14,[1401 1471 1606 1643 1684],11105,태릉입구역,127.074534,37.617431
15,[1332 1381 1601 2909],11312,한진한화그랑빌아파트,127.069232,37.615805
16,[1332 1381 1601 2909],11284,석계역2번출구,127.066973,37.615274
17,[1332 1334 1381 1601 2909],11481,석계역1번출구.B,127.065038,37.614716
18,[1332 1333 1334 1381 1601 4408],8145,석관동주민센터,127.06158,37.613534
19,[1333 1334 4408],8143,장위동동원베네스트.온누리병원,127.058963,37.612042
20,[1333 1334 4408],8209,돌곶이역,127.057558,37.610205
21,[1333 1390 4408],8211,석관시장,127.05907,37.60869
22,[1333 1390 4408],8213,석관동새마을금고,127.060227,37.607572
23,[1390 4116],8215,한국예술종합학교,127.061829,37.605647
24,[ 647 1390 4116],6130,의릉입구,127.061923,37.603876
25,[634],6128,이문동우체국,127.061746,37.599388
26,[ 634  663  680 4104],6126,외대앞,127.059606,37.595628
27,[ 634  663  670  680 4125],6124,경희중고,127.057905,37.593091
28,[ 670  680 4125],6122,회기시장,127.056639,37.591203
29,[ 635  680 4125],6320,회기동현대아파트,127.054365,37.589058
30,[616 623 635 667],6014,떡전교사거리.동대문노인복지관,127.052109,37.586498
31,[623 633 640 667 677],6021,청량리미주아파트.동대문세무서,127.048395,37.58278
32,[633 640 677],6015,청량리역환승센타,127.045431,37.580403
33,[601 630 633 660 677],6022,청량리.청과물도매시장,127.040712,37.578782
34,[ 601  614  615  659  660  676 4110],6024,제기동역.서울약령시,127.035334,37.578196
