Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,45650,46150,45100,45850,132468,0.014380530973451267,,
2020-10-06,45400,46950,45350,46650,162658,0.017448200654307522,,
2020-10-07,46850,47600,46150,47400,150284,0.016077170418006492,,
2020-10-08,47450,47700,46500,46700,167411,-0.014767932489451518,,
2020-10-12,47300,47300,46000,46200,128626,-0.010706638115631661,,
2020-10-13,45600,46550,45050,45400,164025,-0.017316017316017285,,
2020-10-14,45600,45750,45050,45100,143539,-0.0066079295154185536,,
2020-10-15,44800,45300,44350,44400,169070,-0.01552106430155209,,
2020-10-16,44650,44800,44350,44450,77940,0.0011261261261261701,,
2020-10-19,45550,45550,44450,45050,144033,0.013498312710911176,,
2020-10-20,45300,45450,44850,45300,127364,0.005549389567147678,,
2020-10-21,45000,45700,45000,45700,92220,0.008830022075055233,,
2020-10-22,45700,47350,45150,47350,235613,0.03610503282275701,,
2020-10-23,47450,48050,46850,48000,199167,0.01372756071805692,,
2020-10-26,47500,48250,47100,47150,101828,-0.017708333333333326,,
2020-10-27,46500,47300,45650,46050,172417,-0.02332979851537642,,
2020-10-28,45500,46350,45300,46250,78686,0.004343105320304019,,
2020-10-29,45900,45950,45000,45200,112512,-0.022702702702702693,,
2020-10-30,45200,45200,44250,44250,180047,-0.021017699115044253,,
2020-11-02,44750,45500,44500,45100,97040,0.019209039548022666,45877.5,
2020-11-03,44950,46450,44800,46350,132417,0.027716186252771724,45902.5,
2020-11-04,46800,46950,45050,45500,153288,-0.01833872707659112,45845.0,
2020-11-05,45400,46050,45200,45900,92684,0.00879120879120876,45770.0,
2020-11-06,46000,46100,45250,45500,99277,-0.008714596949891074,45710.0,
2020-11-09,45700,46300,45400,46000,141171,0.01098901098901095,45700.0,
2020-11-10,46200,47700,46200,47200,309436,0.026086956521739202,45790.0,
2020-11-11,47050,48200,47050,48200,248562,0.021186440677966045,45945.0,
2020-11-12,47700,47950,46600,47050,253361,-0.023858921161825752,46077.5,
2020-11-13,46600,46850,46050,46300,158331,-0.015940488841657774,46170.0,
2020-11-16,46400,47400,46200,46800,199044,0.010799136069114423,46257.5,
2020-11-17,46600,46950,45500,45550,271844,-0.026709401709401726,46270.0,
2020-11-18,45350,45850,45200,45800,201916,0.005488474204171201,46275.0,
2020-11-19,45800,45800,45100,45550,256567,-0.00545851528384278,46185.0,
2020-11-20,45450,45850,45250,45650,197508,0.002195389681668436,46067.5,
2020-11-23,45850,46450,45650,46450,237765,0.017524644030668224,46032.5,
2020-11-24,46450,46750,46000,46500,292469,0.0010764262648008671,46055.0,
