Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,18600,19000,18200,18900,182963,0.016129032258064502,,
2020-10-06,19050,19400,18700,19000,146799,0.005291005291005346,,
2020-10-07,18950,20350,18550,20100,611830,0.05789473684210522,,
2020-10-08,20400,21550,20350,21250,1140740,0.05721393034825861,,
2020-10-12,21400,21450,20300,20600,452679,-0.030588235294117694,,
2020-10-13,20700,21100,20450,20800,301771,0.009708737864077666,,
2020-10-14,20950,21950,20800,21000,910313,0.009615384615384581,,
2020-10-15,20900,21150,19750,20200,365531,-0.03809523809523807,,
2020-10-16,20300,20950,19600,20500,346782,0.014851485148514865,,
2020-10-19,20850,21100,19750,20650,322981,0.007317073170731714,,
2020-10-20,20650,21000,19700,20250,357733,-0.01937046004842613,,
2020-10-21,20300,20300,19350,19750,235633,-0.024691358024691357,,
2020-10-22,19750,20200,18650,18650,318957,-0.05569620253164553,,
2020-10-23,18800,19150,18500,18500,129630,-0.008042895442359255,,
2020-10-26,18400,18700,17200,17300,460891,-0.06486486486486487,,
2020-10-27,17050,18150,16700,17200,564962,-0.005780346820809301,,
2020-10-28,17200,18350,17100,18300,367726,0.06395348837209291,,
2020-10-29,17800,18650,17650,18600,262042,0.016393442622950838,,
2020-10-30,18500,18800,17750,17850,209476,-0.040322580645161255,,
2020-11-02,17850,18400,17750,18150,113662,0.01680672268907557,19377.5,
2020-11-03,18150,19350,18150,19200,303784,0.05785123966942152,19392.5,
2020-11-04,19250,19650,18750,19500,181320,0.015625,19417.5,
2020-11-05,19900,19900,19050,19500,201457,0.0,19387.5,
2020-11-06,19600,19700,18750,18900,213230,-0.03076923076923077,19270.0,
2020-11-09,19000,19400,18850,18950,220074,0.002645502645502562,19187.5,
2020-11-10,19050,19250,18650,19000,161700,0.0026385224274405594,19097.5,
2020-11-11,19050,19050,18300,18800,181754,-0.010526315789473717,18987.5,
2020-11-12,19000,19250,18650,19000,140743,0.010638297872340496,18927.5,
2020-11-13,18800,19200,18400,19200,230220,0.010526315789473717,18862.5,
2020-11-16,19500,20450,19100,19300,970241,0.005208333333333259,18795.0,
2020-11-17,19400,19400,18200,18500,579760,-0.041450777202072575,18707.5,
2020-11-18,18550,18550,18050,18250,181416,-0.013513513513513487,18632.5,
2020-11-19,18250,18950,18200,18700,171041,0.024657534246575352,18635.0,
2020-11-20,18750,19400,18550,19300,288090,0.03208556149732611,18675.0,
2020-11-23,19200,19450,18850,19350,276463,0.002590673575129543,18777.5,
2020-11-24,19350,19700,19150,19350,317076,0.0,18885.0,
2020-11-25,19600,19700,18500,18850,334292,-0.025839793281653756,18912.5,
2020-11-26,18850,19400,18600,19350,234958,0.02652519893899208,18950.0,
2020-11-27,19300,20450,19300,20000,702780,0.03359173126614978,19057.5,
2020-11-30,20150,20400,19550,19750,342513,-0.012499999999999956,19137.5,
2020-12-01,19800,20050,19350,19400,179060,-0.017721518987341756,19147.5,
2020-12-02,19600,20350,19450,20050,553217,0.03350515463917536,19175.0,
2020-12-03,20250,20300,19550,19900,283381,-0.007481296758104716,19195.0,
2020-12-04,19950,19950,19300,19500,242031,-0.02010050251256279,19225.0,
2020-12-07,19500,19550,18950,19200,196278,-0.01538461538461533,19237.5,
2020-12-08,19250,19700,19000,19250,219204,0.0026041666666667407,19250.0,
2020-12-09,19450,21650,19300,21000,1582046,0.09090909090909083,19360.0,
2020-12-10,20850,23850,20800,23300,2215258,0.10952380952380958,19575.0,
