Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,19950,20850,19900,20650,117975,0.027363184079602032,,
2020-10-06,21250,21850,21150,21550,285217,0.04358353510895885,,
2020-10-07,21350,21700,21100,21500,94075,-0.002320185614849146,,
2020-10-08,21550,21750,20800,20800,264913,-0.032558139534883734,,
2020-10-12,21100,21150,20600,20950,110558,0.007211538461538547,,
2020-10-13,21050,21050,19700,20400,155057,-0.026252983293556076,,
2020-10-14,20450,20500,19800,19800,133409,-0.02941176470588236,,
2020-10-15,19850,20000,19150,19450,121274,-0.017676767676767624,,
2020-10-16,19550,19700,18850,19300,113939,-0.007712082262210762,,
2020-10-19,19450,19600,18800,18800,98974,-0.025906735751295318,,
2020-10-20,18650,19500,18450,19500,115629,0.037234042553191404,,
2020-10-21,19600,19600,19200,19350,45443,-0.007692307692307665,,
2020-10-22,19050,19150,18700,18800,101359,-0.028423772609819098,,
2020-10-23,18900,19000,18650,18800,46601,0.0,,
2020-10-26,19000,19000,17950,18100,120796,-0.037234042553191515,,
2020-10-27,18000,18450,17750,18300,62610,0.011049723756906049,,
2020-10-28,18250,18900,18250,18750,49429,0.024590163934426146,,
2020-10-29,18150,18750,18100,18750,51909,0.0,,
2020-10-30,18750,18750,18200,18200,47299,-0.029333333333333322,,
2020-11-02,18050,19050,18050,18800,55041,0.03296703296703307,19527.5,
2020-11-03,18850,19350,18850,19200,65126,0.02127659574468077,19455.0,
2020-11-04,19500,19600,19000,19250,70332,0.0026041666666667407,19340.0,
2020-11-05,19400,20050,19300,19900,108466,0.033766233766233666,19260.0,
2020-11-06,20200,20200,19600,19750,65842,-0.007537688442211032,19207.5,
2020-11-09,19850,20450,19850,20300,128874,0.02784810126582271,19175.0,
2020-11-10,20350,20400,19800,20000,91107,-0.014778325123152691,19155.0,
2020-11-11,20000,20000,19550,19750,65140,-0.012499999999999956,19152.5,
2020-11-12,19950,19950,19350,19600,95029,-0.0075949367088608,19160.0,
2020-11-13,19550,19800,19100,19700,80167,0.005102040816326481,19180.0,
2020-11-16,19900,19900,19650,19700,75719,0.0,19225.0,
2020-11-17,19700,19700,18850,18900,195823,-0.040609137055837574,19195.0,
2020-11-18,18900,19400,18850,19000,136194,0.005291005291005346,19177.5,
2020-11-19,19100,19200,18800,19000,68479,0.0,19187.5,
2020-11-20,19050,19100,18700,19000,61528,0.0,19197.5,
2020-11-23,18900,19100,18700,18850,96643,-0.007894736842105288,19235.0,
2020-11-24,18900,19950,18900,19750,274414,0.04774535809018565,19307.5,
2020-11-25,20050,20100,19100,19300,171120,-0.02278481012658229,19335.0,
2020-11-26,19450,19550,19150,19250,78308,-0.002590673575129543,19360.0,
2020-11-27,19300,20200,19250,20000,162670,0.03896103896103886,19450.0,
2020-11-30,20150,20300,19800,20050,132155,0.0024999999999999467,19512.5,
2020-12-01,20000,21000,19850,20850,444106,0.03990024937655856,19595.0,
2020-12-02,21350,21700,21200,21400,505155,0.026378896882494063,19702.5,
2020-12-03,21650,21750,21050,21350,205523,-0.002336448598130869,19775.0,
2020-12-04,21350,21600,20800,21000,255225,-0.016393442622950838,19837.5,
2020-12-07,21000,21050,20250,20750,143809,-0.011904761904761862,19860.0,
2020-12-08,20750,21500,20500,20800,198548,0.002409638554216942,19900.0,
2020-12-09,20900,24000,20750,22950,2544003,0.10336538461538458,20060.0,
2020-12-10,22550,23550,22150,23000,699959,0.002178649237472685,20230.0,
2020-12-11,23150,23200,22400,22800,394264,-0.008695652173912993,20385.0,
2020-12-14,22650,22750,21900,22100,323783,-0.030701754385964897,20505.0,
2020-12-15,21900,22150,21450,21800,310801,-0.013574660633484115,20650.0,
2020-12-16,21900,22600,21450,22250,585350,0.020642201834862428,20812.5,
2020-12-17,22350,23100,22250,22650,394469,0.01797752808988773,20995.0,
2020-12-18,22800,24150,22350,24050,923503,0.06181015452538641,21247.5,
2020-12-21,24050,24900,23550,24650,703251,0.02494802494802495,21537.5,
2020-12-22,24650,24650,23100,23500,575729,-0.04665314401622722,21725.0,
2020-12-23,23500,24050,22800,23450,292949,-0.0021276595744680327,21932.5,
2020-12-24,23450,23800,23300,23550,160380,0.004264392324093924,22147.5,
2020-12-28,23700,23700,22950,23150,216120,-0.01698513800424628,22305.0,
2020-12-29,23250,23550,22900,23400,149373,0.010799136069114423,22472.5,20504.166666666668
2020-12-30,23400,24200,23150,23850,211845,0.019230769230769162,22622.5,20557.5
2021-01-04,24450,25950,24100,25500,692114,0.0691823899371069,22827.5,20623.333333333332
2021-01-05,25500,25700,24450,25000,369704,-0.019607843137254943,23010.0,20681.666666666668
2021-01-06,25050,25250,24250,24650,304597,-0.014000000000000012,23192.5,20745.833333333332
2021-01-07,24650,25100,24500,24700,200096,0.0020283975659229903,23390.0,20808.333333333332
2021-01-08,25000,25150,24300,24450,235476,-0.010121457489878583,23572.5,20875.833333333332
2021-01-11,24800,25400,23600,24050,659760,-0.01635991820040905,23627.5,20946.666666666668
2021-01-12,23800,24350,23400,23800,212401,-0.01039501039501034,23667.5,21019.166666666668
2021-01-13,24050,24250,23650,23750,157207,-0.0021008403361344463,23715.0,21093.333333333332
2021-01-14,23750,24250,23650,24100,134309,0.01473684210526316,23815.0,21181.666666666668
2021-01-15,24100,24400,23300,23400,194664,-0.02904564315352698,23895.0,21246.666666666668
2021-01-18,23300,23300,22350,22600,246890,-0.03418803418803418,23912.5,21300.833333333332
2021-01-19,23000,23800,23000,23500,248753,0.03982300884955747,23955.0,21379.166666666668
2021-01-20,24000,24000,23350,23650,161420,0.006382978723404209,23935.0,21460.0
2021-01-21,23900,24450,23650,23950,202740,0.012684989429175397,23900.0,21557.5
2021-01-22,23950,24300,23700,24100,162677,0.006263048016701411,23930.0,21654.166666666668
2021-01-25,24100,24150,23850,24050,135996,-0.0020746887966804906,23960.0,21742.5
2021-01-26,24150,24150,23450,23450,143734,-0.02494802494802495,23955.0,21820.833333333332
2021-01-27,23450,23650,23150,23150,86911,-0.01279317697228144,23955.0,21903.333333333332
2021-01-28,22900,23100,22500,22600,161799,-0.023758099352051865,23915.0,21966.666666666668
2021-01-29,22750,22900,21500,21800,186828,-0.03539823008849563,23812.5,22010.0
