Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,22900,23200,22850,23050,913018,0.004357298474945592,,
2020-10-06,23050,23100,22900,22900,653542,-0.006507592190889366,,
2020-10-07,22850,23000,22700,22950,809046,0.0021834061135370675,,
2020-10-08,23050,23100,22900,22950,1030057,0.0,,
2020-10-12,23050,23150,22950,23000,702583,0.002178649237472685,,
2020-10-13,23000,23150,22950,23150,706823,0.006521739130434856,,
2020-10-14,23100,23100,22900,22950,729787,-0.008639308855291628,,
2020-10-15,22900,23050,22800,22850,824682,-0.004357298474945481,,
2020-10-16,22900,23050,22800,22900,756149,0.002188183807439792,,
2020-10-19,22950,23200,22950,23100,919986,0.008733624454148492,,
2020-10-20,23050,23200,22900,23050,709217,-0.0021645021645021467,,
2020-10-21,23050,23200,22950,23100,760078,0.002169197396963085,,
2020-10-22,23100,23150,22900,22900,1106551,-0.008658008658008698,,
2020-10-23,23000,23150,22950,23150,737105,0.01091703056768556,,
2020-10-26,23100,23150,22900,22950,880951,-0.008639308855291628,,
2020-10-27,22850,23050,22750,22950,657666,0.0,,
2020-10-28,22900,22900,22750,22850,1007315,-0.004357298474945481,,
2020-10-29,22700,22800,22550,22600,923405,-0.01094091903719907,,
2020-10-30,22600,22600,22000,22100,1422532,-0.02212389380530977,,
2020-11-02,22150,22450,22150,22350,644429,0.011312217194570096,22890.0,
2020-11-03,22300,22700,22300,22650,567462,0.01342281879194629,22870.0,
2020-11-04,22850,22950,22650,22850,763995,0.008830022075055233,22867.5,
2020-11-05,22900,22900,22750,22900,970787,0.002188183807439792,22865.0,
2020-11-06,23000,23100,22850,22900,1151739,0.0,22862.5,
2020-11-09,23150,23350,23100,23100,1260321,0.008733624454148492,22867.5,
2020-11-10,23250,23300,23000,23150,935574,0.0021645021645022577,22867.5,
2020-11-11,23150,23800,23100,23650,1709063,0.021598272138228847,22902.5,
2020-11-12,23750,23800,23500,23600,1344804,-0.0021141649048626032,22940.0,
2020-11-13,23550,23650,23350,23500,809874,-0.004237288135593209,22970.0,
2020-11-16,23550,23700,23450,23500,1084496,0.0,22990.0,
2020-11-17,23500,23700,23450,23450,947127,-0.0021276595744680327,23010.0,
2020-11-18,23450,23600,23300,23400,1024244,-0.002132196162046962,23025.0,
2020-11-19,23350,23500,23250,23500,778990,0.004273504273504258,23055.0,
2020-11-20,23450,23650,23400,23500,792030,0.0,23072.5,
2020-11-23,23500,23650,23450,23650,999246,0.006382978723404209,23107.5,
2020-11-24,23700,23850,23650,23750,1105343,0.0042283298097252064,23147.5,
2020-11-25,23950,24050,23850,23950,1741902,0.008421052631578885,23202.5,
2020-11-26,23950,24100,23850,24100,975473,0.006263048016701411,23277.5,
2020-11-27,24250,24450,24100,24200,1188832,0.004149377593360981,23382.5,
2020-11-30,24300,24400,24150,24250,1035866,0.0020661157024792765,23477.5,
2020-12-01,24250,24300,24100,24250,778045,0.0,23557.5,
2020-12-02,24300,24450,24150,24300,1054786,0.0020618556701030855,23630.0,
2020-12-03,24350,24450,24200,24350,891525,0.002057613168724215,23702.5,
2020-12-04,24400,24550,24300,24400,1118373,0.002053388090349051,23777.5,
2020-12-07,24350,24400,23950,24150,1256798,-0.010245901639344246,23830.0,
