Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,32850,32850,31700,32150,67020,0.0,,
2020-10-06,32150,32200,31850,32100,54050,-0.0015552099533436836,,
2020-10-07,32100,32200,31600,32100,66880,0.0,,
2020-10-08,32150,32200,31600,31850,79125,-0.007788161993769416,,
2020-10-12,31950,32000,31500,31750,60736,-0.0031397174254317317,,
2020-10-13,31750,32000,31200,31400,84839,-0.011023622047244053,,
2020-10-14,31400,31550,30850,30900,92409,-0.015923566878980888,,
2020-10-15,30900,31000,30000,30400,64957,-0.016181229773462813,,
2020-10-16,30500,30600,29850,29950,76817,-0.014802631578947345,,
2020-10-19,30150,30600,30000,30400,59798,0.015025041736226985,,
2020-10-20,30200,30450,29400,29500,97137,-0.02960526315789469,,
2020-10-21,29550,29950,29250,29600,59286,0.003389830508474523,,
2020-10-22,29800,30050,29250,30000,41193,0.013513513513513598,,
2020-10-23,30000,30150,29600,30000,58463,0.0,,
2020-10-26,29850,30100,29700,29950,33556,-0.0016666666666667052,,
2020-10-27,29500,29850,28850,28900,131634,-0.035058430717863076,,
2020-10-28,28450,29000,28400,28900,56769,0.0,,
2020-10-29,28500,28650,28200,28550,61656,-0.01211072664359858,,
2020-10-30,28850,28850,28000,28050,58868,-0.017513134851138368,,
2020-11-02,28350,28350,27900,28050,52837,0.0,30225.0,
2020-11-03,28000,28900,27950,28300,82176,0.00891265597147961,30032.5,
2020-11-04,28550,28800,28350,28650,56637,0.012367491166077826,29860.0,
2020-11-05,28750,29700,28700,29500,72791,0.029668411867364686,29730.0,
2020-11-06,29950,30050,29550,29550,91061,0.0016949152542373724,29615.0,
2020-11-09,29650,29850,29100,29250,95956,-0.010152284263959421,29490.0,
2020-11-10,29400,29800,28950,29650,85270,0.013675213675213627,29402.5,
2020-11-11,29700,30300,29500,30200,93716,0.018549747048903775,29367.5,
2020-11-12,30050,30050,29500,29600,97806,-0.019867549668874163,29327.5,
2020-11-13,29600,29750,29250,29600,58445,0.0,29310.0,
2020-11-16,29650,30150,29450,29900,91655,0.010135135135135087,29285.0,
2020-11-17,29900,29950,29500,29600,72414,-0.010033444816053505,29290.0,
2020-11-18,29600,30000,29250,29850,58631,0.008445945945946054,29302.5,
2020-11-19,29950,30000,29600,29850,36828,0.0,29295.0,
2020-11-20,29900,30100,29750,29950,72181,0.003350083752093891,29292.5,
2020-11-23,30100,30100,29500,29950,71599,0.0,29292.5,
2020-11-24,30100,30150,29850,29950,55648,0.0,29345.0,
2020-11-25,30000,30200,29750,29800,108292,-0.005008347245408995,29390.0,
2020-11-26,29650,30050,29650,29950,39030,0.005033557046979942,29460.0,
2020-11-27,30000,30050,29750,30000,28880,0.0016694490818029983,29557.5,
2020-11-30,30350,30350,29850,30300,82377,0.010000000000000009,29670.0,
2020-12-01,30300,30300,29900,29900,77997,-0.01320132013201325,29750.0,
2020-12-02,29950,30200,29050,29200,175500,-0.02341137123745818,29777.5,
2020-12-03,29300,29450,29000,29100,95206,-0.003424657534246589,29757.5,
2020-12-04,29100,29400,28950,29150,94014,0.0017182130584192379,29737.5,
2020-12-07,29150,29150,28800,28950,70338,-0.006861063464837058,29722.5,
2020-12-08,29000,29100,28650,28650,79073,-0.010362694300518172,29672.5,
2020-12-09,28700,29350,28700,29050,68966,0.013961605584642323,29615.0,
2020-12-10,29000,29250,28750,29000,97020,-0.0017211703958691649,29585.0,
2020-12-11,29000,29450,28850,29050,85076,0.0017241379310344307,29557.5,
2020-12-14,29400,29400,29050,29250,58608,0.0068846815834766595,29525.0,
2020-12-15,29300,29550,29150,29500,76618,0.008547008547008517,29520.0,
2020-12-16,29650,29650,29250,29450,69202,-0.0016949152542372614,29500.0,
2020-12-17,29450,29550,29000,29050,93715,-0.01358234295415961,29460.0,
2020-12-18,29000,30250,29000,30050,198271,0.03442340791738374,29465.0,
2020-12-21,30500,30500,29700,29950,110346,-0.0033277870216306127,29465.0,
2020-12-22,30000,30000,29250,29250,78330,-0.023372287145242088,29430.0,
2020-12-23,29350,30300,29250,30100,167033,0.029059829059828957,29445.0,
2020-12-24,30350,30600,30050,30250,102061,0.004983388704318914,29460.0,
2020-12-28,30250,30550,30200,30550,108627,0.009917355371900749,29487.5,
2020-12-29,30350,30450,29900,30150,77642,-0.013093289689034338,29480.0,29791.666666666668
2020-12-30,30150,30800,29950,30500,140777,0.011608623548922115,29510.0,29764.166666666668
2021-01-04,30600,30750,30100,30700,116063,0.006557377049180246,29585.0,29740.833333333332
2021-01-05,30650,31150,30400,31100,135770,0.013029315960912058,29685.0,29724.166666666668
2021-01-06,31350,31600,30400,30400,204480,-0.022508038585209,29747.5,29700.0
2021-01-07,30550,30800,30050,30100,204494,-0.009868421052631526,29805.0,29672.5
2021-01-08,30300,31850,30200,31200,470306,0.03654485049833878,29932.5,29669.166666666668
2021-01-11,31650,33000,30900,32000,543499,0.02564102564102555,30080.0,29687.5
2021-01-12,32200,32300,31500,32250,200245,0.0078125,30242.5,29718.333333333332
2021-01-13,32350,33250,32000,32450,260144,0.006201550387596955,30412.5,29760.0
2021-01-14,32150,33200,31950,33000,166448,0.016949152542372836,30600.0,29803.333333333332
2021-01-15,33000,33300,32300,32850,174037,-0.004545454545454519,30767.5,29859.166666666668
2021-01-18,32900,35250,32850,34100,567462,0.03805175038051756,31000.0,29934.166666666668
2021-01-19,35000,36100,34500,35950,446834,0.05425219941348969,31345.0,30033.333333333332
2021-01-20,36350,39650,35050,38600,694759,0.07371349095966617,31772.5,30176.666666666668
2021-01-21,39750,42700,39050,42700,857066,0.10621761658031081,32410.0,30389.166666666668
2021-01-22,43100,43200,40700,41050,428904,-0.03864168618266983,33000.0,30591.666666666668
2021-01-25,41200,41800,39800,40600,366583,-0.010962241169305775,33525.0,30786.666666666668
2021-01-26,40250,41400,39400,40500,353343,-0.0024630541871921707,34037.5,30985.833333333332
2021-01-27,40500,40850,38600,38850,285380,-0.040740740740740744,34452.5,31165.833333333332
2021-01-28,37950,38500,37550,37550,208176,-0.03346203346203347,34822.5,31324.166666666668
2021-01-29,38050,39000,36100,37150,261099,-0.010652463382157085,35155.0,31471.666666666668
2021-02-01,36800,38550,35700,37900,213745,0.020188425302826385,35515.0,31625.833333333332
2021-02-02,39100,40150,38100,38700,238582,0.02110817941952514,35895.0,31779.166666666668
2021-02-03,39000,39300,38250,39000,142519,0.007751937984496138,36325.0,31936.666666666668
2021-02-04,39300,43800,38850,43600,1423563,0.11794871794871797,37000.0,32175.833333333332
2021-02-05,43600,46350,42750,45350,970739,0.04013761467889898,37707.5,32437.5
2021-02-08,45350,47050,42800,42850,534918,-0.055126791620727644,38250.0,32648.333333333332
2021-02-09,42950,43800,41800,42200,278714,-0.01516919486581092,38747.5,32858.333333333336
2021-02-10,42300,43700,41850,43050,317435,0.020142180094786744,39277.5,33082.5
2021-02-15,43450,43450,41900,42750,216029,-0.006968641114982632,39765.0,33296.666666666664
2021-02-16,42700,42900,41450,41600,202821,-0.026900584795321647,40202.5,33496.666666666664
