Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,61800,62100,60800,61500,4995,0.008196721311475308,,
2020-10-06,61500,62800,61300,61900,7114,0.006504065040650486,,
2020-10-07,61900,62300,61500,62200,3573,0.004846526655896577,,
2020-10-08,62200,62600,61900,62000,5232,-0.003215434083601254,,
2020-10-12,63300,63300,62200,62600,6439,0.00967741935483879,,
2020-10-13,62300,62700,62000,62400,4445,-0.0031948881789137795,,
2020-10-14,62000,62900,60700,61500,8648,-0.014423076923076872,,
2020-10-15,61100,61900,60900,61100,4781,-0.006504065040650375,,
2020-10-16,61200,62400,60900,61000,5224,-0.0016366612111292644,,
2020-10-19,61600,63700,61500,62400,17160,0.022950819672131084,,
2020-10-20,62400,66900,62300,66900,82630,0.07211538461538458,,
2020-10-21,68500,68500,66200,67900,44400,0.014947683109117982,,
2020-10-22,68000,69100,66700,68500,26420,0.008836524300441795,,
2020-10-23,68100,69100,67500,68600,16871,0.0014598540145984717,,
2020-10-26,69300,72200,68800,71600,74735,0.0437317784256559,,
2020-10-27,71100,71600,66800,69100,39068,-0.03491620111731841,,
2020-10-28,67700,69000,66200,67900,21199,-0.01736613603473225,,
2020-10-29,67400,67500,65400,65700,21822,-0.032400589101620025,,
2020-10-30,66000,66000,63400,63400,15009,-0.03500761035007616,,
2020-11-02,63400,66300,63400,66000,12577,0.04100946372239744,64710.0,
2020-11-03,65800,68800,65800,68600,20160,0.039393939393939315,65065.0,
2020-11-04,68500,69300,67500,67800,10960,-0.011661807580174877,65360.0,
2020-11-05,68200,68900,67800,68700,10850,0.01327433628318575,65685.0,
2020-11-06,68700,68800,67600,68300,7596,-0.005822416302765698,66000.0,
2020-11-09,68300,69600,68300,69100,11929,0.01171303074670571,66325.0,
2020-11-10,71000,71000,68300,68500,14248,-0.00868306801736618,66630.0,
2020-11-11,72000,73300,70400,70900,53962,0.035036496350364876,67100.0,
2020-11-12,70900,71900,69500,70000,19968,-0.012693935119887145,67545.0,
2020-11-13,69600,70500,69300,69900,9099,-0.0014285714285714457,67990.0,
2020-11-16,70200,72900,70200,72900,37843,0.0429184549356223,68515.0,
2020-11-17,73700,76000,73500,74800,42090,0.026063100137174278,68910.0,
2020-11-18,74800,77100,74400,76900,43496,0.02807486631016043,69360.0,
2020-11-19,76900,78800,75900,77900,40502,0.013003901170351106,69830.0,
2020-11-20,77300,78500,77000,77900,19557,0.0,70295.0,
2020-11-23,77900,78100,74800,74900,39251,-0.038510911424903704,70460.0,
2020-11-24,75000,76000,74400,75600,19685,0.009345794392523255,70785.0,
2020-11-25,75200,75300,72500,73400,52208,-0.02910052910052907,71060.0,
2020-11-26,74000,74000,71900,72200,23087,-0.016348773841961872,71385.0,
2020-11-27,71900,73700,70900,73700,17242,0.020775623268697974,71900.0,
2020-11-30,73700,74800,70500,70500,40086,-0.04341926729986434,72125.0,
2020-12-01,71400,73200,71300,73200,25814,0.038297872340425476,72355.0,
2020-12-02,73400,75100,73400,74300,27872,0.015027322404371546,72680.0,
2020-12-03,74900,75000,74100,74500,19456,0.0026917900403768957,72970.0,
2020-12-04,74300,74300,72700,73400,24676,-0.014765100671140896,73225.0,
2020-12-07,73800,73800,71300,72100,21609,-0.017711171662125325,73375.0,
2020-12-08,72100,72600,71000,71400,12293,-0.009708737864077666,73520.0,
2020-12-09,71500,72500,71500,71800,11951,0.0056022408963585235,73565.0,
2020-12-10,72000,72300,71100,71500,17851,-0.004178272980501441,73640.0,
2020-12-11,71500,73600,71500,73000,28911,0.020979020979021046,73795.0,
2020-12-14,73200,73400,72200,72200,17988,-0.010958904109588996,73760.0,
2020-12-15,72100,72200,71600,72000,10020,-0.0027700831024930483,73620.0,
2020-12-16,72500,72700,71500,71600,16434,-0.005555555555555536,73355.0,
2020-12-17,71600,71800,70300,70600,26919,-0.013966480446927387,72990.0,
2020-12-18,71300,71500,70900,70900,18687,0.004249291784702569,72640.0,
2020-12-21,71400,71400,70700,71400,18524,0.007052186177715081,72465.0,
2020-12-22,71000,71000,70500,70600,11394,-0.011204481792717047,72215.0,
2020-12-23,70600,71100,69700,69900,12557,-0.009915014164305958,72040.0,
2020-12-24,69900,71200,69900,71200,14562,0.01859799713876975,71990.0,
2020-12-28,71200,72000,69900,71900,32179,0.00983146067415741,71900.0,
2020-12-29,72000,72700,70300,72500,25852,0.008344923504867818,72000.0,69611.66666666667
2020-12-30,72600,72700,71400,72000,25922,-0.006896551724137945,71940.0,69786.66666666667
2021-01-04,72000,72000,70000,70300,37824,-0.023611111111111138,71740.0,69926.66666666667
2021-01-05,70500,72300,70500,72000,48686,0.024182076813655806,71615.0,70090.0
2021-01-06,72500,73100,71400,71400,36800,-0.008333333333333304,71515.0,70246.66666666667
2021-01-07,71600,73400,71600,72500,33487,0.01540616246498594,71535.0,70411.66666666667
2021-01-08,72500,73000,71100,71800,44632,-0.0096551724137931,71555.0,70568.33333333333
2021-01-11,71900,72000,70000,70400,42775,-0.01949860724233987,71485.0,70716.66666666667
2021-01-12,73000,75900,72600,74500,162912,0.058238636363636465,71635.0,70940.0
2021-01-13,76100,76700,75100,75300,75006,0.010738255033557076,71750.0,71178.33333333333
2021-01-14,75900,76100,74400,75300,38090,0.0,71905.0,71393.33333333333
2021-01-15,75700,76400,73400,74500,40752,-0.010624169986719778,72030.0,71520.0
2021-01-18,74400,75800,73100,73300,43099,-0.016107382550335614,72115.0,71610.0
2021-01-19,74000,74500,73000,74100,23799,0.01091405184174632,72290.0,71703.33333333333
2021-01-20,74100,74100,72900,73500,23628,-0.0080971659919028,72420.0,71785.0
2021-01-21,73600,75000,73600,74000,24391,0.006802721088435382,72550.0,71825.0
2021-01-22,74000,74700,72700,74400,23547,0.00540540540540535,72740.0,71913.33333333333
2021-01-25,75200,77000,74500,76100,43704,0.02284946236559149,73050.0,72050.0
2021-01-26,76300,76800,73700,74100,36674,-0.026281208935611033,73195.0,72190.0
2021-01-27,74200,75000,73300,73300,19296,-0.010796221322537103,73265.0,72355.0
2021-01-28,72500,72500,71200,71500,28579,-0.024556616643929052,73215.0,72446.66666666667
2021-01-29,71600,71700,68900,70000,39081,-0.020979020979020935,73115.0,72470.0
2021-02-01,70000,70000,68100,69600,19951,-0.005714285714285672,73080.0,72500.0
2021-02-02,70000,71100,69100,70500,16202,0.012931034482758674,73005.0,72530.0
2021-02-03,70800,71000,70000,70700,16750,0.0028368794326241176,72970.0,72570.0
2021-02-04,70700,70800,69900,70100,11281,-0.008486562942008447,72850.0,72586.66666666667
2021-02-05,71600,71600,70300,70800,10733,0.009985734664764712,72800.0,72625.0
2021-02-08,71000,72800,70800,72700,24366,0.026836158192090398,72915.0,72655.0
2021-02-09,72700,72900,72200,72300,12522,-0.005502063273727598,72805.0,72693.33333333333
2021-02-10,72400,72700,71100,71500,18077,-0.011065006915629283,72615.0,72720.0
2021-02-15,72200,74000,71900,73300,28053,0.025174825174825166,72515.0,72726.66666666667
2021-02-16,74000,74000,72600,73100,14068,-0.0027285129604365244,72445.0,72698.33333333333
2021-02-17,73000,73800,72300,73800,21410,0.009575923392612928,72470.0,72646.66666666667
2021-02-18,74000,74300,73300,74000,20324,0.0027100271002709064,72465.0,72581.66666666667
2021-02-19,74100,74300,71800,73100,19687,-0.012162162162162149,72445.0,72501.66666666667
2021-02-22,73100,73600,72000,72500,17914,-0.008207934336525335,72370.0,72461.66666666667
2021-02-23,72400,72700,71500,72400,14211,-0.0013793103448276334,72270.0,72408.33333333333
2021-02-24,72900,72900,70400,70600,16113,-0.024861878453038666,71995.0,72361.66666666667
