Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,10700,10800,10550,10700,468566,0.0046948356807512415,,
2020-10-06,10900,11000,10550,10700,623129,0.0,,
2020-10-07,10550,10700,10500,10650,578814,-0.004672897196261627,,
2020-10-08,10950,11000,10650,10750,817697,0.009389671361502261,,
2020-10-12,10950,11150,10800,11000,700537,0.023255813953488413,,
2020-10-13,11000,11100,10900,11050,421526,0.00454545454545463,,
2020-10-14,11000,11000,10750,10750,419652,-0.02714932126696834,,
2020-10-15,10700,10800,10350,10550,559877,-0.018604651162790753,,
2020-10-16,10550,10650,10200,10350,394463,-0.018957345971563955,,
2020-10-19,10400,10450,10150,10200,323249,-0.01449275362318836,,
2020-10-20,10150,10400,10100,10400,369454,0.019607843137254832,,
2020-10-21,10450,10500,10300,10500,253083,0.009615384615384581,,
2020-10-22,10450,10850,10350,10500,530944,0.0,,
2020-10-23,10600,10850,10500,10550,405749,0.004761904761904745,,
2020-10-26,10600,10600,10000,10000,484541,-0.05213270142180093,,
2020-10-27,9850,10150,9790,9970,406077,-0.0030000000000000027,,
2020-10-28,9970,10200,9970,10150,270608,0.01805416248746239,,
2020-10-29,9940,10100,9910,10100,285494,-0.0049261083743842304,,
2020-10-30,10050,10100,9900,9910,340166,-0.01881188118811883,,
2020-11-02,9980,10000,9870,9920,348936,0.0010090817356205317,10435.0,
2020-11-03,9950,10100,9950,10000,408687,0.008064516129032251,10400.0,
2020-11-04,10150,10800,9990,10650,1346050,0.06499999999999995,10397.5,
2020-11-05,10850,10950,10550,10800,694921,0.014084507042253502,10405.0,
2020-11-06,12200,12300,11550,11700,4318957,0.08333333333333326,10452.5,
2020-11-09,11750,11800,11150,11250,2019564,-0.038461538461538436,10465.0,
2020-11-10,11600,11850,11250,11450,2355274,0.01777777777777767,10485.0,
2020-11-11,11500,11650,10850,11000,1701098,-0.0393013100436681,10497.5,
2020-11-12,11000,11100,10650,10750,904389,-0.022727272727272707,10507.5,
2020-11-13,10650,10900,10550,10900,555039,0.013953488372093092,10535.0,
2020-11-16,10950,11250,10900,11250,799833,0.032110091743119185,10587.5,
2020-11-17,11200,11200,10750,10900,1024063,-0.03111111111111109,10612.5,
2020-11-18,10850,11000,10700,10750,607352,-0.013761467889908285,10625.0,
2020-11-19,10700,10750,10350,10500,998665,-0.023255813953488413,10625.0,
2020-11-20,10400,10500,10300,10450,861389,-0.004761904761904745,10620.0,
2020-11-23,10500,10600,10300,10500,716947,0.004784688995215225,10645.0,
2020-11-24,10550,10750,10500,10650,766000,0.014285714285714235,10679.0,
2020-11-25,10800,10900,10450,10600,943644,-0.0046948356807511304,10701.5,
2020-11-26,10600,10600,10400,10500,494348,-0.009433962264150941,10721.5,
2020-11-27,10500,10550,10350,10550,433524,0.004761904761904745,10753.5,
2020-11-30,10650,10700,10550,10600,501547,0.004739336492890933,10787.5,
2020-12-01,10650,10850,10600,10750,718774,0.014150943396226356,10825.0,
2020-12-02,10650,10750,10550,10650,642178,-0.009302325581395321,10825.0,
2020-12-03,10700,10750,10500,10550,512788,-0.009389671361502372,10812.5,
2020-12-04,10600,10600,10450,10500,543009,-0.004739336492891044,10752.5,
2020-12-07,10500,10550,10300,10400,479662,-0.00952380952380949,10710.0,
2020-12-08,10450,10450,10300,10300,521325,-0.009615384615384581,10652.5,
2020-12-09,10350,10550,10300,10500,518705,0.01941747572815533,10627.5,
2020-12-10,10400,10500,10350,10400,456517,-0.00952380952380949,10610.0,
