Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,91000,91300,89500,89700,39181,-0.0033333333333332993,,
2020-10-06,90000,90400,88500,88800,49433,-0.010033444816053505,,
2020-10-07,89700,89700,88000,88600,38210,-0.0022522522522522292,,
2020-10-08,89000,89300,88500,88700,26737,0.0011286681715576563,,
2020-10-12,89200,89300,88200,88600,67544,-0.0011273957158962622,,
2020-10-13,88800,89000,88100,88700,24782,0.0011286681715576563,,
2020-10-14,88500,89200,88200,88200,24862,-0.005636978579481422,,
2020-10-15,88000,88500,86200,86900,51464,-0.01473922902494329,,
2020-10-16,86600,87300,86400,86900,23156,0.0,,
2020-10-19,87200,89300,87000,88500,50324,0.018411967779056404,,
2020-10-20,88100,88500,87200,88000,23459,-0.005649717514124242,,
2020-10-21,88000,89200,87800,88900,35756,0.010227272727272751,,
2020-10-22,88400,88900,88000,88400,19915,-0.0056242969628796935,,
2020-10-23,89000,89200,88100,88800,28017,0.004524886877828038,,
2020-10-26,88600,88700,87900,88000,23071,-0.009009009009009028,,
2020-10-27,88000,88100,87300,88100,16247,0.001136363636363713,,
2020-10-28,87500,88300,86800,87900,15963,-0.002270147559591429,,
2020-10-29,87400,87500,86400,87000,23523,-0.010238907849829393,,
2020-10-30,86600,87000,85600,85900,25477,-0.012643678160919491,,
2020-11-02,86000,86600,85600,86500,13554,0.006984866123399325,88055.0,
2020-11-03,86300,87400,86300,87100,18108,0.006936416184971206,87925.0,
2020-11-04,87200,88800,87200,87900,33875,0.009184845005740572,87880.0,
2020-11-05,88100,88500,87500,88300,21078,0.004550625711035261,87865.0,
2020-11-06,88000,88700,87600,88400,16080,0.0011325028312569874,87850.0,
2020-11-09,88900,88900,88000,88500,39985,0.0011312217194570096,87845.0,
2020-11-10,89000,89800,88600,89000,36680,0.005649717514124353,87860.0,
2020-11-11,89100,91400,88700,90500,68901,0.016853932584269593,87975.0,
2020-11-12,90500,92100,89900,91300,45469,0.008839779005524795,88195.0,
2020-11-13,91400,91500,88700,90000,54999,-0.014238773274917849,88350.0,
2020-11-16,90100,90900,89400,90000,42394,0.0,88425.0,
2020-11-17,91400,97800,91200,96700,197154,0.07444444444444454,88860.0,
2020-11-18,97600,98500,95400,97100,75333,0.004136504653567741,89270.0,
2020-11-19,96800,97300,95900,96900,56507,-0.002059732234809486,89695.0,
2020-11-20,97300,101000,97100,99800,95106,0.029927760577915352,90245.0,
2020-11-23,99800,99800,98000,98700,63655,-0.011022044088176308,90780.0,
2020-11-24,98800,101500,98300,100000,64896,0.01317122593718345,91375.0,
2020-11-25,100500,101000,96600,97900,64789,-0.02100000000000002,91875.0,
2020-11-26,97100,98800,96500,98600,41622,0.007150153217568844,92455.0,
2020-11-27,99600,99800,97800,98400,443258,-0.0020283975659228792,93080.0,
2020-11-30,98500,99400,97500,99400,43644,0.010162601626016343,93725.0,
2020-12-01,99400,100000,98600,98800,44479,-0.006036217303822977,94310.0,
2020-12-02,98800,98900,98100,98700,22433,-0.0010121457489878916,94850.0,
2020-12-03,98200,100500,97900,99300,48835,0.006079027355623046,95400.0,
2020-12-04,99000,101500,98800,101500,79737,0.022155085599194324,96055.0,
2020-12-07,102000,106000,100000,103500,94152,0.019704433497536922,96805.0,
2020-12-08,103500,106000,103000,104000,71020,0.004830917874396157,97555.0,
2020-12-09,104000,108000,104000,108000,70322,0.03846153846153855,98430.0,
2020-12-10,108000,112500,106000,112000,104393,0.03703703703703698,99465.0,
2020-12-11,113500,113500,111000,113500,51263,0.013392857142857206,100640.0,
2020-12-14,113000,114000,110000,114000,55375,0.004405286343612369,101840.0,
2020-12-15,114000,114500,110500,111000,37856,-0.02631578947368418,102555.0,
2020-12-16,110000,113000,109500,109500,38802,-0.013513513513513487,103175.0,
2020-12-17,110000,111000,107000,107500,59012,-0.0182648401826484,103705.0,
2020-12-18,108500,110000,107500,110000,40199,0.023255813953488413,104215.0,
2020-12-21,109000,109500,107000,108000,23206,-0.018181818181818188,104680.0,
2020-12-22,107000,110500,106500,107000,52531,-0.0092592592592593,105030.0,
2020-12-23,110000,113500,109000,111500,61964,0.0420560747663552,105710.0,
2020-12-24,111500,113000,110500,111500,28607,0.0,106355.0,
2020-12-28,111500,111500,108500,110000,57850,-0.013452914798206317,106935.0,
2020-12-29,109000,109500,107500,109500,20869,-0.004545454545454519,107440.0,96406.66666666667
2020-12-30,109500,109500,107500,108500,29568,-0.0091324200913242,107925.0,96720.0
2021-01-04,108500,109000,105000,107000,63780,-0.01382488479262678,108340.0,97023.33333333333
2021-01-05,107000,107000,104000,106000,55110,-0.009345794392523366,108675.0,97313.33333333333
2021-01-06,106000,112500,105000,108000,102583,0.018867924528301883,109000.0,97635.0
2021-01-07,109500,110000,107500,108500,69470,0.004629629629629539,109250.0,97966.66666666667
2021-01-08,109000,110000,107500,109000,64680,0.004608294930875667,109500.0,98305.0
2021-01-11,110500,114000,108000,112500,123962,0.032110091743119185,109725.0,98710.0
2021-01-12,113000,119500,112000,117500,145227,0.04444444444444451,110000.0,99220.0
2021-01-13,119500,123500,118500,121000,109497,0.029787234042553123,110375.0,99788.33333333333
2021-01-14,122500,128000,121500,128000,99492,0.05785123966942152,111075.0,100446.66666666667
2021-01-15,129500,130000,123000,123500,64424,-0.03515625,111700.0,101038.33333333333
2021-01-18,122500,124500,119000,121000,61440,-0.020242914979757054,112275.0,101573.33333333333
2021-01-19,121500,124500,119500,123500,32118,0.02066115702479343,113075.0,102158.33333333333
2021-01-20,123500,123500,120500,122000,34412,-0.012145748987854255,113675.0,102711.66666666667
2021-01-21,121000,126500,121000,125000,41815,0.024590163934426146,114525.0,103328.33333333333
2021-01-22,125000,126000,122500,125000,35599,0.0,115425.0,103943.33333333333
2021-01-25,127000,127000,123000,125000,29925,0.0,116100.0,104561.66666666667
2021-01-26,125000,125500,122500,124500,33855,-0.0040000000000000036,116750.0,105186.66666666667
2021-01-27,124500,125500,123000,125000,32998,0.004016064257028162,117500.0,105838.33333333333
2021-01-28,124000,124000,119000,122500,43335,-0.020000000000000018,118150.0,106438.33333333333
2021-01-29,123000,123500,116000,116000,50054,-0.05306122448979589,118525.0,106920.0
2021-02-01,116000,121000,114500,118500,27969,0.02155172413793105,119100.0,107430.0
2021-02-02,122000,127000,119500,126000,55843,0.06329113924050622,120100.0,108058.33333333333
2021-02-03,127500,131000,126500,128500,60226,0.01984126984126977,121125.0,108726.66666666667
2021-02-04,128500,129500,125000,127500,30782,-0.0077821011673151474,122075.0,109376.66666666667
2021-02-05,127500,127500,124000,126000,34583,-0.0117647058823529,122925.0,109993.33333333333
2021-02-08,128000,132000,126000,131500,67109,0.04365079365079372,123875.0,110676.66666666667
2021-02-09,132500,132500,128500,129000,47776,-0.019011406844106515,124450.0,111305.0
2021-02-10,129500,129500,126000,128000,29124,-0.007751937984496138,124800.0,111938.33333333333
2021-02-15,128500,130000,126000,128000,28062,0.0,124800.0,112571.66666666667
2021-02-16,128500,129000,124500,125000,52329,-0.0234375,124875.0,113043.33333333333
2021-02-17,125000,126000,123000,125500,21021,0.0040000000000000036,125100.0,113516.66666666667
2021-02-18,125500,125500,123500,124000,17588,-0.01195219123505975,125125.0,113968.33333333333
2021-02-19,122500,123500,119000,123000,30525,-0.008064516129032251,125175.0,114355.0
2021-02-22,123000,124000,121000,122500,17269,-0.004065040650406471,125050.0,114751.66666666667
2021-02-23,120000,123500,120000,122500,22815,0.0,124925.0,115126.66666666667
2021-02-24,124000,124000,118000,119500,27669,-0.024489795918367308,124650.0,115486.66666666667
2021-02-25,119500,120500,118000,118500,38134,-0.008368200836820106,124350.0,115818.33333333333
2021-02-26,116000,118000,113000,114500,41936,-0.03375527426160341,123825.0,116086.66666666667
2021-03-02,116000,118000,112500,114000,28091,-0.004366812227074246,123400.0,116330.0
2021-03-03,116000,123500,116000,122000,58145,0.07017543859649122,123700.0,116716.66666666667
2021-03-04,120500,127500,119500,126500,60091,0.03688524590163933,124100.0,117180.0
2021-03-05,126500,129000,123500,125500,34931,-0.007905138339920903,124075.0,117616.66666666667
2021-03-08,127000,129000,123500,124000,35234,-0.01195219123505975,123850.0,117991.66666666667
2021-03-09,125000,126500,121500,124500,23971,0.0040322580645162365,123700.0,118341.66666666667
2021-03-10,124500,125500,121000,121000,17167,-0.028112449799196804,123450.0,118625.0
2021-03-11,120000,123000,119000,121000,24350,0.0,122925.0,118841.66666666667
2021-03-12,121500,122500,120000,121500,16660,0.004132231404958775,122550.0,119000.0
2021-03-15,122000,122500,119500,121500,19913,0.0,122225.0,119133.33333333333
2021-03-16,122000,125500,121500,123500,17996,0.016460905349794164,122000.0,119291.66666666667
2021-03-17,124000,125000,123000,125000,17074,0.012145748987854255,122000.0,119525.0
2021-03-18,125500,125500,123000,123500,16081,-0.01200000000000001,121900.0,119758.33333333333
2021-03-19,121500,123000,120000,121000,19687,-0.020242914979757054,121750.0,119983.33333333333
2021-03-22,121000,122500,121000,121500,13064,0.004132231404958775,121675.0,120175.0
2021-03-23,122500,123500,120500,122500,24126,0.008230452674897082,121675.0,120416.66666666667
2021-03-24,122500,125000,120500,123000,30865,0.004081632653061273,121700.0,120683.33333333333
2021-03-25,124000,128000,123000,127000,70420,0.03252032520325199,122075.0,120941.66666666667
2021-03-26,127000,129000,126500,127000,32272,0.0,122500.0,121200.0
2021-03-29,131500,141000,129000,139000,175285,0.09448818897637801,123725.0,121683.33333333333
2021-03-30,139000,140000,135000,136000,39196,-0.021582733812949617,124825.0,122125.0
2021-03-31,135000,137500,134000,136500,35285,0.003676470588235281,125550.0,122591.66666666667
2021-04-01,135000,136500,132500,134000,30220,-0.01831501831501836,125925.0,123041.66666666667
2021-04-02,133500,134500,131500,132000,22764,-0.014925373134328401,126250.0,123475.0
2021-04-05,132500,137500,129500,137000,41074,0.037878787878787845,126900.0,123958.33333333333
2021-04-06,136500,141500,136000,138500,30701,0.010948905109489093,127600.0,124458.33333333333
2021-04-07,137000,138500,134000,135000,21655,-0.02527075812274371,128300.0,124891.66666666667
2021-04-08,136000,136000,132000,133000,27547,-0.014814814814814836,128900.0,125233.33333333333
2021-04-09,133000,135000,132000,132500,19255,-0.003759398496240629,129450.0,125483.33333333333
2021-04-12,132500,135500,132000,133000,15772,0.0037735849056603765,130025.0,125683.33333333333
2021-04-13,133000,136500,132500,135500,27348,0.018796992481203034,130625.0,125808.33333333333
2021-04-14,135500,137000,134000,136500,17125,0.007380073800737907,131200.0,126025.0
2021-04-15,136000,136500,132000,133000,29501,-0.02564102564102566,131675.0,126225.0
2021-04-16,133000,133000,130500,131500,23201,-0.011278195488721776,132200.0,126358.33333333333
2021-04-19,131500,133500,130000,132000,17172,0.0038022813688212143,132725.0,126525.0
2021-04-20,132000,135000,132000,133500,19020,0.011363636363636465,133275.0,126666.66666666667
2021-04-21,132500,141500,132500,141000,94114,0.05617977528089879,134175.0,126933.33333333333
2021-04-22,141000,141000,138000,138000,24477,-0.021276595744680882,134725.0,127150.0
