Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,29350,30850,29350,30450,74134,0.0410256410256411,,
2020-10-06,30700,31350,30100,30550,57584,0.003284072249589487,,
2020-10-07,30600,31700,30550,30800,72783,0.008183306055646433,,
2020-10-08,30950,31800,30850,31750,113975,0.030844155844155896,,
2020-10-12,32300,34900,31950,33900,248827,0.06771653543307088,,
2020-10-13,33750,34050,32800,33350,100703,-0.016224188790560423,,
2020-10-14,33450,34550,33150,33650,108947,0.008995502248875464,,
2020-10-15,33500,34600,32800,34000,120354,0.010401188707280795,,
2020-10-16,34250,34550,33500,34500,91157,0.014705882352941124,,
2020-10-19,34550,35600,34500,35300,149643,0.023188405797101463,,
2020-10-20,35050,35600,34500,35600,113526,0.008498583569405138,,
2020-10-21,35200,36300,35100,36100,142098,0.014044943820224809,,
2020-10-22,36550,37250,35800,37100,299126,0.027700831024930705,,
2020-10-23,36800,37550,36800,36850,122653,-0.006738544474393482,,
2020-10-26,36900,37250,35650,36800,116267,-0.0013568521031207537,,
2020-10-27,36700,36950,35600,36050,121367,-0.020380434782608647,,
2020-10-28,35750,36550,35500,36550,60489,0.01386962552011095,,
2020-10-29,36200,36550,35750,36300,63859,-0.0068399452804377425,,
2020-10-30,35750,35900,34650,34650,114696,-0.045454545454545414,,
2020-11-02,34550,35850,34550,35800,42340,0.03318903318903321,34502.5,
2020-11-03,35600,36550,35600,36250,66170,0.012569832402234526,34792.5,
2020-11-04,36250,36450,35400,35850,77083,-0.011034482758620734,35057.5,
2020-11-05,36250,36600,35850,36500,85337,0.018131101813110284,35342.5,
2020-11-06,36550,36650,35700,36350,74440,-0.004109589041095929,35572.5,
2020-11-09,36050,36500,36000,36100,62510,-0.00687757909215958,35682.5,
2020-11-10,36500,37700,36100,37450,195038,0.037396121883656486,35887.5,
2020-11-11,37450,40500,36950,39900,269174,0.06542056074766345,36200.0,
2020-11-12,39650,40200,38900,39100,124558,-0.020050125313283207,36455.0,
2020-11-13,39000,39400,37700,39050,128042,-0.0012787723785165905,36682.5,
2020-11-16,39050,40100,38650,39450,98685,0.010243277848911658,36890.0,
2020-11-17,39400,39700,38650,38850,62524,-0.01520912547528519,37052.5,
2020-11-18,39050,40250,38400,39350,96903,0.01287001287001277,37215.0,
2020-11-19,39100,40150,39000,39850,96353,0.01270648030495547,37352.5,
2020-11-20,40000,40800,39700,40250,106688,0.010037641154328814,37522.5,
2020-11-23,40350,40900,39700,39950,103542,-0.007453416149068359,37680.0,
2020-11-24,39900,40000,38500,38750,142700,-0.030037546933667114,37815.0,
2020-11-25,38600,38900,37350,37800,143943,-0.024516129032258083,37877.5,
2020-11-26,37800,38350,37350,38050,68521,0.006613756613756516,37965.0,
2020-11-27,38450,39000,37700,38600,60747,0.014454664914586024,38162.5,
