Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,3245,3345,3235,3335,2798184,0.027734976887519247,,
2020-10-06,3340,3345,3260,3280,2039297,-0.016491754122938573,,
2020-10-07,3275,3290,3235,3290,1196811,0.0030487804878047697,,
2020-10-08,3300,3310,3260,3285,1918138,-0.001519756838905817,,
2020-10-12,3305,3315,3265,3285,1822889,0.0,,
2020-10-13,3290,3305,3270,3290,1164167,0.0015220700152207556,,
2020-10-14,3280,3295,3255,3265,1190768,-0.0075987841945288626,,
2020-10-15,3255,3265,3205,3250,1736109,-0.004594180704441064,,
2020-10-16,3255,3265,3220,3250,1280982,0.0,,
2020-10-19,3260,3290,3260,3270,1739176,0.006153846153846176,,
2020-10-20,3265,3280,3210,3260,1421506,-0.003058103975535187,,
2020-10-21,3255,3340,3250,3340,2443026,0.024539877300613577,,
2020-10-22,3330,3485,3295,3450,6812140,0.03293413173652704,,
2020-10-23,3465,3485,3405,3475,2973710,0.007246376811594235,,
2020-10-26,3470,3470,3370,3385,2154790,-0.025899280575539585,,
2020-10-27,3360,3365,3280,3335,1747918,-0.01477104874446089,,
2020-10-28,3305,3405,3290,3405,1407199,0.020989505247376306,,
2020-10-29,3320,3395,3315,3390,1825420,-0.004405286343612369,,
2020-10-30,3385,3385,3275,3290,1748258,-0.029498525073746285,,
2020-11-02,3300,3340,3300,3320,1015524,0.00911854103343468,3322.5,
2020-11-03,3340,3380,3335,3365,1359767,0.013554216867469826,3324.0,
2020-11-04,3390,3395,3340,3350,1055237,-0.004457652303120341,3327.5,
2020-11-05,3420,3480,3375,3475,3143819,0.03731343283582089,3336.75,
2020-11-06,3500,3500,3435,3455,2294881,-0.0057553956834532904,3345.25,
2020-11-09,3465,3510,3465,3485,2087575,0.00868306801736618,3355.25,
2020-11-10,3535,3585,3495,3570,3754744,0.024390243902439046,3369.25,
2020-11-11,3550,3670,3550,3655,5138336,0.023809523809523725,3388.75,
2020-11-12,3650,3670,3585,3630,3256605,-0.0068399452804377425,3407.75,
2020-11-13,3620,3650,3560,3575,2548241,-0.015151515151515138,3424.0,
2020-11-16,3600,3775,3590,3740,5973480,0.04615384615384621,3447.5,
2020-11-17,3765,3765,3670,3685,2847643,-0.014705882352941124,3468.75,
2020-11-18,3690,3745,3680,3720,2095448,0.009497964721845387,3487.75,
2020-11-19,3700,3735,3655,3735,1959191,0.0040322580645162365,3502.0,
2020-11-20,3725,3745,3705,3745,1713427,0.0026773761713521083,3515.5,
2020-11-23,3730,3840,3695,3820,3718304,0.020026702269692942,3537.25,
2020-11-24,3850,3850,3765,3800,3151919,-0.005235602094240788,3560.5,
2020-11-25,3800,3885,3730,3800,4775105,0.0,3580.25,
2020-11-26,3800,3815,3750,3815,2013694,0.003947368421052699,3601.5,
2020-11-27,3815,3815,3740,3750,2429113,-0.017038007863695914,3624.5,
2020-11-30,3750,3770,3650,3690,3782816,-0.016000000000000014,3643.0,
2020-12-01,3690,3760,3675,3755,2032458,0.017615176151761558,3662.5,
2020-12-02,3760,3785,3730,3745,1998432,-0.0026631158455392434,3682.25,
2020-12-03,3740,3745,3700,3735,1869818,-0.002670226969292422,3695.25,
2020-12-04,3740,3810,3710,3765,3249625,0.008032128514056325,3710.75,
2020-12-07,3780,3785,3710,3770,2348510,0.0013280212483399723,3725.0,
2020-12-08,3790,3790,3720,3740,1512322,-0.007957559681697646,3733.5,
2020-12-09,3740,3780,3735,3775,1779350,0.009358288770053402,3739.5,
2020-12-10,3770,3800,3730,3800,2663993,0.0066225165562914245,3748.0,
2020-12-11,3810,3910,3805,3895,4552977,0.02499999999999991,3764.0,
2020-12-14,3910,3915,3865,3870,2356773,-0.006418485237484006,3770.5,
2020-12-15,3865,3880,3815,3850,2452950,-0.0051679586563307955,3778.75,
2020-12-16,3880,3890,3850,3885,1909412,0.009090909090909038,3787.0,
2020-12-17,3890,3895,3845,3865,1731267,-0.005148005148005175,3793.5,
2020-12-18,3865,3880,3825,3835,2359806,-0.0077619663648124115,3798.0,
2020-12-21,3825,3855,3815,3845,1756715,0.0026075619295957697,3799.25,
2020-12-22,3835,3850,3785,3795,2016966,-0.013003901170351106,3799.0,
2020-12-23,3810,3825,3760,3815,1634639,0.005270092226614009,3799.75,
2020-12-24,3825,3890,3820,3885,3416567,0.0183486238532109,3803.25,
2020-12-28,3900,4055,3890,3970,11951134,0.02187902187902191,3814.25,
2020-12-29,3840,3840,3650,3675,8987901,-0.0743073047858942,3813.5,3593.0
2020-12-30,3680,3680,3605,3665,4387424,-0.0027210884353741083,3809.0,3598.5
2021-01-04,3665,3670,3575,3615,3662400,-0.013642564802182844,3802.5,3604.0833333333335
2021-01-05,3600,3710,3575,3710,4486527,0.026279391424619547,3801.25,3611.0833333333335
2021-01-06,3735,3900,3710,3735,8810223,0.006738544474393482,3799.75,3618.5833333333335
2021-01-07,3815,3830,3755,3770,4363976,0.009370816599732157,3799.75,3626.6666666666665
2021-01-08,3820,3820,3705,3760,5831205,-0.0026525198938992522,3800.75,3634.5
2021-01-11,3780,4015,3745,3840,14783143,0.02127659574468077,3804.0,3644.0833333333335
2021-01-12,3865,3870,3735,3810,5709240,-0.0078125,3804.5,3653.4166666666665
2021-01-13,3835,3840,3785,3815,3363889,0.001312335958005173,3800.5,3662.8333333333335
2021-01-14,3805,3815,3770,3780,2904147,-0.00917431192660545,3796.0,3671.3333333333335
2021-01-15,3800,3835,3680,3685,3515682,-0.025132275132275117,3787.75,3678.4166666666665
2021-01-18,3645,3650,3570,3600,2610780,-0.023066485753052923,3773.5,3682.75
2021-01-19,3620,3680,3605,3640,2075937,0.011111111111111072,3762.25,3685.9166666666665
2021-01-20,3675,3675,3540,3565,4045790,-0.020604395604395642,3748.75,3687.4166666666665
2021-01-21,3575,3590,3550,3565,2331682,0.0,3734.75,3690.4166666666665
2021-01-22,3570,3580,3510,3540,2544844,-0.007012622720897643,3722.0,3693.8333333333335
2021-01-25,3550,3615,3510,3600,2359663,0.016949152542372836,3711.25,3697.0833333333335
2021-01-26,3605,3605,3505,3530,2701070,-0.019444444444444486,3693.5,3699.4166666666665
2021-01-27,3555,3570,3515,3555,1818949,0.007082152974504208,3672.75,3703.8333333333335
2021-01-28,3505,3540,3485,3535,2380127,-0.005625879043600568,3665.75,3707.4166666666665
2021-01-29,3555,3660,3510,3525,4283833,-0.0028288543140028155,3658.75,3710.0833333333335
2021-02-01,3535,3595,3515,3585,2253258,0.017021276595744705,3657.25,3714.0
2021-02-02,3680,3685,3580,3610,5237593,0.0069735006973501434,3652.25,3716.25
2021-02-03,3645,3720,3625,3715,3936065,0.02908587257617734,3651.25,3720.5833333333335
2021-02-04,3720,3720,3635,3645,2044176,-0.018842530282637937,3645.0,3723.25
2021-02-05,3675,3725,3635,3725,1909343,0.021947873799725626,3643.25,3725.8333333333335
2021-02-08,3735,3800,3715,3790,3624074,0.01744966442953011,3640.75,3728.0833333333335
2021-02-09,3795,3825,3790,3805,2865548,0.003957783641160839,3640.5,3731.0
2021-02-10,3805,3820,3770,3795,2328095,-0.0026281208935611255,3639.5,3734.6666666666665
2021-02-15,3820,3835,3795,3815,1740776,0.005270092226614009,3641.25,3735.9166666666665
2021-02-16,3815,3830,3795,3810,1688184,-0.001310615989515096,3647.5,3738.0
2021-02-17,3815,3820,3755,3820,1767341,0.002624671916010568,3658.5,3739.6666666666665
2021-02-18,3800,3835,3790,3790,1973223,-0.007853403141361293,3666.0,3740.5833333333335
2021-02-19,3780,3800,3715,3790,1939342,0.0,3677.25,3741.3333333333335
2021-02-22,3820,3840,3790,3790,2171280,0.0,3688.5,3740.8333333333335
2021-02-23,3765,3825,3760,3805,1735681,0.003957783641160839,3701.75,3740.9166666666665
2021-02-24,3815,3820,3710,3745,2027087,-0.015768725361366642,3709.0,3740.0
2021-02-25,3775,3805,3755,3785,1366698,0.010680907877169465,3721.75,3739.5
2021-02-26,3735,3780,3695,3760,2461783,-0.006605019815059454,3732.0,3739.6666666666665
2021-03-02,3810,3865,3800,3835,3023003,0.019946808510638236,3747.0,3742.0833333333335
2021-03-03,3835,3950,3805,3945,4072137,0.028683181225554133,3768.0,3745.25
2021-03-04,3900,4020,3895,4020,4368770,0.019011406844106515,3789.75,3749.8333333333335
2021-03-05,3990,4050,3955,4050,3144246,0.00746268656716409,3811.75,3755.0833333333335
2021-03-08,4060,4145,4040,4105,4000713,0.013580246913580174,3831.25,3760.75
2021-03-09,4135,4190,4000,4105,4889095,0.0,3854.25,3766.3333333333335
2021-03-10,4115,4120,4000,4095,2515325,-0.0024360535931789995,3872.75,3772.25
2021-03-11,4125,4265,4095,4235,4110331,0.03418803418803429,3895.0,3779.9166666666665
2021-03-12,4245,4290,4120,4255,2644656,0.0047225501770955525,3917.5,3787.5
2021-03-15,4255,4370,4245,4370,3493653,0.027027027027026973,3946.25,3795.4166666666665
2021-03-16,4370,4410,4350,4400,2097289,0.006864988558352492,3975.5,3804.25
2021-03-17,4400,4400,4280,4365,2079788,-0.007954545454545436,4003.25,3812.8333333333335
2021-03-18,4380,4390,4285,4335,2637642,-0.0068728522336769515,4029.0,3820.3333333333335
2021-03-19,4410,4485,4370,4485,7310343,0.03460207612456756,4063.75,3830.6666666666665
2021-03-22,4460,4520,4455,4520,2276647,0.0078037904124861335,4100.25,3842.0833333333335
2021-03-23,4520,4540,4435,4455,1954270,-0.014380530973451378,4133.5,3852.25
2021-03-24,4415,4435,4345,4360,2622475,-0.021324354657688005,4161.25,3861.6666666666665
2021-03-25,4340,4365,4265,4320,2334107,-0.00917431192660545,4190.0,3870.0833333333335
2021-03-26,4310,4405,4305,4370,1553328,0.011574074074074181,4219.25,3878.1666666666665
2021-03-29,4375,4390,4310,4365,1397531,-0.0011441647597254523,4249.5,3884.75
2021-03-30,4370,4435,4370,4420,1726229,0.012600229095074411,4278.75,3897.1666666666665
2021-03-31,4420,4615,4405,4610,4074105,0.042986425339366585,4312.0,3912.9166666666665
2021-04-01,4585,4625,4560,4580,1819768,-0.006507592190889366,4340.0,3929.0
2021-04-02,4610,4620,4505,4510,1383815,-0.015283842794759805,4363.0,3942.3333333333335
2021-04-05,4495,4495,4420,4480,1032976,-0.006651884700665134,4381.75,3954.75
2021-04-06,4420,4485,4395,4465,2066115,-0.0033482142857143016,4399.75,3966.3333333333335
2021-04-07,4480,4800,4475,4620,7161450,0.034714445688689866,4426.0,3980.6666666666665
2021-04-08,4635,4675,4580,4610,1788750,-0.0021645021645021467,4444.75,3993.5
2021-04-09,4610,4645,4575,4600,1197862,-0.002169197396963085,4462.0,4006.6666666666665
2021-04-12,4605,4630,4565,4600,1376763,0.0,4473.5,4019.75
2021-04-13,4625,4625,4550,4575,1675567,-0.005434782608695676,4482.25,4033.0
2021-04-14,4570,4620,4535,4605,1356618,0.006557377049180246,4494.25,4048.3333333333335
2021-04-15,4595,4620,4590,4610,1033596,0.0010857763300760048,4508.0,4065.1666666666665
2021-04-16,4610,4685,4595,4665,1623778,0.01193058568329719,4517.0,4082.25
2021-04-19,4665,4680,4635,4640,1435631,-0.005359056806002127,4523.0,4100.166666666667
2021-04-20,4625,4730,4615,4675,1573532,0.007543103448275801,4534.0,4118.666666666667
2021-04-21,4665,4685,4635,4680,1647759,0.0010695187165774556,4550.0,4137.666666666667
2021-04-22,4685,4740,4680,4685,1483483,0.0010683760683760646,4568.25,4155.75
2021-04-23,4680,4740,4650,4705,1295343,0.004268943436499528,4585.0,4175.333333333333
2021-04-26,4735,4865,4715,4865,2833493,0.0340063761955367,4610.0,4197.166666666667
2021-04-27,4855,4910,4805,4895,1723920,0.006166495375128367,4633.75,4219.833333333333
2021-04-28,4920,4925,4830,4835,1838267,-0.012257405515832431,4645.0,4241.666666666667
2021-04-29,4820,4865,4705,4710,1749186,-0.02585315408479838,4651.5,4260.416666666667
2021-04-30,4710,4855,4710,4830,2097440,0.02547770700636942,4667.5,4280.75
2021-05-03,4830,4835,4655,4690,2257018,-0.02898550724637683,4678.0,4297.0
2021-05-04,4690,4730,4615,4690,1626594,0.0,4689.25,4314.416666666667
2021-05-06,4700,4900,4630,4895,2143595,0.04371002132196167,4703.0,4333.916666666667
2021-05-07,4910,4930,4850,4905,1629788,0.0020429009193054792,4717.75,4352.5
2021-05-10,4945,5050,4930,5020,2875382,0.023445463812436396,4738.75,4372.75
2021-05-11,5000,5010,4905,4960,2586951,-0.01195219123505975,4756.75,4392.166666666667
2021-05-12,4955,4970,4840,4870,2889253,-0.01814516129032262,4771.5,4409.75
2021-05-13,4765,4905,4750,4830,2622117,-0.008213552361396315,4782.75,4426.75
2021-05-14,4835,4910,4810,4880,1972095,0.010351966873705987,4796.25,4444.416666666667
2021-05-17,4680,4680,4165,4205,16356571,-0.1383196721311475,4773.25,4451.333333333333
2021-05-18,4190,4370,4180,4345,5722963,0.03329369797859694,4758.5,4460.583333333333
2021-05-20,4320,4345,4205,4260,4852310,-0.019562715765247374,4737.75,4468.416666666667
2021-05-21,4280,4345,4270,4275,2586607,0.0035211267605634866,4717.5,4476.25
2021-05-24,4285,4550,4280,4455,6155259,0.042105263157894646,4706.0,4488.083333333333
2021-05-25,4475,4500,4380,4460,3100408,0.001122334455667895,4693.75,4499.333333333333
2021-05-26,4450,4530,4420,4485,2581994,0.005605381165919354,4674.75,4511.416666666667
2021-05-27,4490,4525,4470,4525,4260560,0.008918617614269708,4656.25,4522.916666666667
2021-05-28,4525,4530,4465,4470,2087905,-0.012154696132596676,4638.0,4531.666666666667
2021-05-31,4465,4500,4375,4490,2214213,0.004474272930648837,4627.0,4539.5
2021-06-01,4490,4590,4475,4580,2503930,0.020044543429844186,4614.5,4548.333333333333
2021-06-02,4565,4605,4545,4575,1824969,-0.0010917030567685337,4608.75,4556.166666666667
2021-06-03,4575,4615,4545,4555,1918402,-0.0043715846994535346,4602.0,4563.666666666667
2021-06-04,4520,4585,4495,4550,1594316,-0.001097694840834218,4584.75,4571.25
2021-06-07,4535,4540,4460,4480,1882303,-0.01538461538461533,4563.5,4575.333333333333
2021-06-08,4440,4510,4440,4480,1455038,0.0,4536.5,4579.083333333333
2021-06-09,4480,4500,4405,4405,1578227,-0.016741071428571397,4508.75,4579.666666666667
2021-06-10,4405,4445,4360,4410,2158205,0.0011350737797957144,4485.75,4579.833333333333
2021-06-11,4410,4420,4330,4345,2386763,-0.01473922902494329,4461.5,4579.5
2021-06-14,4340,4350,4270,4295,1973887,-0.011507479861910253,4432.25,4578.833333333333
2021-06-15,4280,4320,4275,4320,2278922,0.005820721769499437,4438.0,4576.083333333333
2021-06-16,4295,4420,4290,4420,2017563,0.02314814814814814,4441.75,4574.416666666667
2021-06-17,4395,4415,4350,4375,1610012,-0.010180995475113086,4447.5,4573.083333333333
2021-06-18,4400,4520,4365,4460,2774113,0.01942857142857135,4456.75,4574.75
2021-06-21,4430,4440,4370,4405,1549669,-0.012331838565022402,4454.25,4576.166666666667
2021-06-22,4425,4525,4425,4515,1533994,0.02497162315550505,4457.0,4578.583333333333
2021-06-23,4525,4530,4470,4475,1129040,-0.008859357696566983,4456.5,4580.416666666667
2021-06-24,4440,4510,4420,4510,1366924,0.007821229050279266,4455.75,4581.916666666667
2021-06-25,4610,4715,4595,4675,4001440,0.03658536585365857,4466.0,4583.0
2021-06-28,4680,4720,4610,4695,1486583,0.004278074866310266,4476.25,4584.916666666667
2021-06-29,4695,4700,4605,4665,1449072,-0.006389776357827448,4480.5,4587.5
2021-06-30,4665,4750,4645,4735,2015634,0.015005359056806,4488.5,4591.75
2021-07-01,4740,4755,4690,4690,1454002,-0.009503695881731833,4495.25,4595.5
2021-07-02,4690,4735,4665,4735,1261818,0.009594882729211163,4504.5,4597.416666666667
2021-07-05,4755,4765,4710,4720,955940,-0.0031678986272439813,4516.5,4599.25
2021-07-06,4750,4840,4720,4820,1455822,0.021186440677966045,4533.5,4602.916666666667
2021-07-07,4750,4840,4750,4815,1512201,-0.0010373443983402453,4554.0,4606.5
2021-07-08,4805,4900,4805,4830,2037442,0.0031152647975076775,4575.0,4610.75
2021-07-09,4790,4795,4625,4650,2361594,-0.037267080745341574,4590.25,4611.5
2021-07-12,4690,4820,4690,4795,1678094,0.031182795698924792,4615.25,4614.583333333333
2021-07-13,4860,4885,4830,4870,1833232,0.01564129301355588,4642.75,4618.0
2021-07-14,4820,4825,4765,4785,1167257,-0.017453798767967155,4661.0,4620.416666666667
2021-07-15,4785,4900,4785,4885,1700910,0.020898641588296796,4686.5,4623.916666666667
2021-07-16,4830,4885,4800,4870,1211775,-0.0030706243602866,4707.0,4627.083333333333
2021-07-19,4805,4850,4805,4810,955691,-0.012320328542094416,4727.25,4629.166666666667
2021-07-20,4740,4790,4730,4775,1049027,-0.007276507276507305,4740.25,4630.333333333333
2021-07-21,4790,4850,4790,4805,1204629,0.006282722513089034,4756.75,4629.333333333333
