Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,100000,103500,99600,103000,42796,0.035175879396984966,,
2020-10-06,103000,105000,103000,104000,26193,0.009708737864077666,,
2020-10-07,103000,105500,102500,104000,29525,0.0,,
2020-10-08,104000,105000,103500,104500,23376,0.004807692307692291,,
2020-10-12,105000,105000,101500,102000,45585,-0.02392344497607657,,
2020-10-13,102500,102500,100000,101000,28729,-0.009803921568627416,,
2020-10-14,100000,102500,100000,100500,24976,-0.004950495049504955,,
2020-10-15,101000,101000,99500,100000,23116,-0.00497512437810943,,
2020-10-16,99400,100500,98100,100500,33316,0.004999999999999893,,
2020-10-19,100500,101000,99800,100500,21385,0.0,,
2020-10-20,100000,100000,98000,99000,38094,-0.014925373134328401,,
2020-10-21,99500,104000,99200,101000,53770,0.02020202020202011,,
2020-10-22,102500,102500,99500,99500,19799,-0.014851485148514865,,
2020-10-23,99700,100500,98700,99100,27263,-0.004020100502512558,,
2020-10-26,99100,99500,96300,96300,49315,-0.028254288597376442,,
2020-10-27,96300,97700,95600,97400,32359,0.011422637590861928,,
2020-10-28,96000,98000,96000,97900,14092,0.005133470225872738,,
2020-10-29,96000,98400,96000,98300,18226,0.004085801838610736,,
2020-10-30,98000,98500,95400,96400,33461,-0.019328585961342792,,
2020-11-02,96500,96800,95100,96000,16740,-0.004149377593360981,100045.0,
2020-11-03,96000,97000,95700,96100,20375,0.0010416666666666075,99700.0,
2020-11-04,96600,102500,96500,102000,78476,0.06139438085327775,99600.0,
2020-11-05,102500,102500,99900,102000,29555,0.0,99500.0,
2020-11-06,102000,103500,101000,101500,34969,-0.004901960784313708,99350.0,
2020-11-09,101500,104000,101500,102500,21267,0.009852216748768461,99375.0,
2020-11-10,102500,103000,99700,99900,49292,-0.025365853658536608,99320.0,
2020-11-11,100000,101000,99300,100000,28609,0.0010010010010010895,99295.0,
2020-11-12,100000,100500,99400,99400,19802,-0.006000000000000005,99265.0,
2020-11-13,99400,100500,99300,100500,15726,0.01106639839034207,99265.0,
2020-11-16,102000,102000,98900,99800,76342,-0.006965174129353269,99230.0,
2020-11-17,100500,100500,99500,99900,21122,0.0010020040080160886,99275.0,
2020-11-18,100000,100500,99100,99400,36419,-0.005005005005005003,99195.0,
2020-11-19,99600,100500,98900,99600,31194,0.002012072434607548,99200.0,
2020-11-20,99700,99900,99100,99600,31651,0.0,99225.0,
2020-11-23,99900,101000,99600,99900,89830,0.003012048192771122,99405.0,
2020-11-24,100500,101000,99700,99900,49740,0.0,99530.0,
