Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,6062,6178,6024,6102,116324,0.007928642220019766,,
2020-10-06,6110,6110,5984,6072,98923,-0.004916420845624381,,
2020-10-07,6072,6090,5975,6062,76348,-0.0016469038208168918,,
2020-10-08,6042,6120,5984,6062,79196,0.0,,
2020-10-12,6014,6158,5984,6130,84475,0.011217419993401423,,
2020-10-13,6130,6226,6052,6168,128600,0.006199021207177857,,
2020-10-14,6130,6196,6062,6072,108177,-0.015564202334630295,,
2020-10-15,6072,6082,5956,6024,136318,-0.007905138339920903,,
2020-10-16,6072,6072,5888,5899,154570,-0.020750332005312067,,
2020-10-19,5918,6100,5908,5986,123380,0.014748262417358937,,
2020-10-20,6014,6024,5860,5996,122450,0.0016705646508519134,,
2020-10-21,5994,6100,5918,6072,102065,0.012675116744496284,,
2020-10-22,5984,6072,5936,5956,80512,-0.01910408432147559,,
2020-10-23,5975,6014,5908,5966,62256,0.00167897918065818,,
2020-10-26,5946,5975,5878,5918,85385,-0.008045591686221876,,
2020-10-27,5860,5994,5840,5880,131531,-0.006421088205474823,,
2020-10-28,5850,5994,5830,5996,146403,0.019727891156462674,,
2020-10-29,5918,6004,5830,5976,144078,-0.0033355570380253496,,
2020-10-30,5927,6004,5860,5860,88671,-0.019410977242302563,,
2020-11-02,5840,5927,5840,5870,54055,0.0017064846416381396,6003.35,
2020-11-03,5927,5994,5898,5996,59160,0.02146507666098807,5998.05,
2020-11-04,6014,6042,5869,5966,151254,-0.0050033355570380245,5992.75,
2020-11-05,6062,6139,5966,6102,144577,0.022795843110962055,5994.75,
2020-11-06,6072,6158,5956,5966,150509,-0.022287774500163837,5989.95,
2020-11-09,6052,6360,5975,6102,249194,0.022795843110962055,5988.55,
2020-11-10,6496,6506,6294,6420,528064,0.05211406096361859,6001.15,
2020-11-11,6418,6428,6254,6400,159910,-0.0031152647975077885,6017.55,
2020-11-12,6428,6448,6245,6314,123464,-0.013437499999999991,6032.05,
2020-11-13,6332,6351,6139,6256,112829,-0.009185936015204343,6049.9,
2020-11-16,6342,6360,6216,6294,108769,0.006074168797953972,6065.3,
2020-11-17,6360,6400,6188,6266,111958,-0.004448681283762301,6078.8,
2020-11-18,6264,6380,6206,6372,115318,0.016916693265240923,6093.8,
2020-11-19,6264,6409,6188,6390,187514,0.0028248587570620654,6115.5,
2020-11-20,6390,6698,6360,6632,475156,0.037871674491392726,6148.8,
2020-11-23,6630,6775,6572,6690,316842,0.008745476477683978,6187.4,
2020-11-24,6746,6746,6582,6680,165098,-0.001494768310911776,6227.4,
2020-11-25,6766,6766,6554,6602,282391,-0.011676646706586857,6257.7,
2020-11-26,6563,6785,6486,6728,289641,0.019085125719478846,6295.3,
2020-11-27,6688,6766,6650,6728,153037,0.0,6338.7,
2020-11-30,6756,6775,6621,6728,199422,0.0,6381.6,
2020-12-01,6698,6756,6640,6709,170479,-0.0028240190249703145,6417.25,
2020-12-02,6746,6814,6679,6728,192676,0.0028320166939932445,6455.35,
2020-12-03,6698,6756,6602,6632,185549,-0.014268727705113005,6481.85,
2020-12-04,6698,6698,6284,6554,278013,-0.011761158021712959,6511.25,
2020-12-07,6554,6554,6409,6506,233061,-0.00732377174244736,6531.45,
2020-12-08,6476,6650,6448,6506,212752,0.0,6535.75,
2020-12-09,6515,6640,6486,6622,410669,0.01782969566553949,6546.85,
2020-12-10,6602,6939,6515,6872,804193,0.03775294472968893,6574.75,
2020-12-11,6872,7555,6843,7325,2509598,0.06591967403958088,6628.2,
2020-12-14,7170,7295,7016,7046,794529,-0.038088737201365186,6665.8,
2020-12-15,7045,7055,6891,6979,310440,-0.009508941243258628,6701.45,
2020-12-16,6978,7219,6939,7094,364745,0.016478005444906074,6737.55,
2020-12-17,7122,7199,7016,7027,216599,-0.00944460107132783,6769.4,
2020-12-18,6987,7132,6920,7133,262841,0.01508467340259001,6794.45,
2020-12-21,7141,7199,6949,7162,346807,0.0040656105425487254,6818.05,
2020-12-22,7315,7373,7055,7085,696443,-0.010751186819324188,6838.3,
2020-12-23,7064,7247,7026,7133,298005,0.006774876499647142,6864.85,
2020-12-24,7113,7421,7113,7335,649712,0.028319080330856616,6895.2,
2020-12-28,7344,7681,7267,7605,683587,0.036809815950920255,6939.05,
