Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,13000,14450,12950,14400,1139440,0.10769230769230775,,
2020-10-06,14350,14650,14050,14500,815230,0.00694444444444442,,
2020-10-07,14250,14800,14200,14550,486201,0.0034482758620688614,,
2020-10-08,14750,15350,14500,15250,1270130,0.04810996563573888,,
2020-10-12,15700,15850,15200,15300,885855,0.003278688524590123,,
2020-10-13,15500,15500,14600,14900,536207,-0.02614379084967322,,
2020-10-14,14850,15200,14650,14800,436107,-0.006711409395973145,,
2020-10-15,14650,14900,14250,14500,410348,-0.020270270270270285,,
2020-10-16,14600,14650,13950,14200,306734,-0.020689655172413834,,
2020-10-19,14400,14800,14200,14250,323501,0.0035211267605634866,,
2020-10-20,14100,14950,14050,14950,576564,0.04912280701754379,,
2020-10-21,14900,15350,14750,15200,476036,0.01672240802675584,,
2020-10-22,15200,15550,14950,15000,489182,-0.013157894736842146,,
2020-10-23,15250,15300,14500,15000,369331,0.0,,
2020-10-26,15200,15200,14600,14650,376505,-0.023333333333333317,,
2020-10-27,14350,14750,14150,14450,253096,-0.013651877133105783,,
2020-10-28,14350,15050,14250,15000,478441,0.03806228373702414,,
2020-10-29,14650,14950,14500,14800,328759,-0.013333333333333308,,
2020-10-30,14850,15300,14100,14200,896167,-0.04054054054054057,,
2020-11-02,14200,14300,14000,14250,275473,0.0035211267605634866,14707.5,
2020-11-03,14300,14700,14300,14500,326154,0.01754385964912286,14712.5,
2020-11-04,14650,14850,14300,14450,252344,-0.0034482758620689724,14710.0,
2020-11-05,14650,14650,14350,14450,270013,0.0,14705.0,
2020-11-06,14500,14600,14100,14200,294002,-0.01730103806228378,14652.5,
2020-11-09,14250,15000,14150,14800,581147,0.04225352112676051,14627.5,
2020-11-10,14900,14900,14400,14500,264326,-0.020270270270270285,14607.5,
2020-11-11,14550,14700,14350,14550,250384,0.0034482758620688614,14595.0,
2020-11-12,14600,14600,14300,14350,219301,-0.013745704467353903,14587.5,
2020-11-13,14300,14450,14050,14050,241921,-0.020905923344947785,14580.0,
2020-11-16,14150,14250,14000,14150,253489,0.007117437722419906,14575.0,
2020-11-17,14200,14300,14050,14050,175507,-0.007067137809187329,14530.0,
2020-11-18,14100,14200,14000,14100,171143,0.003558718861210064,14475.0,
2020-11-19,14100,14100,13650,13900,303231,-0.014184397163120588,14420.0,
2020-11-20,13900,14250,13800,14250,253043,0.02517985611510798,14382.5,
