Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,35750,35900,33900,33900,665026,-0.05307262569832405,,
2020-10-06,34100,34150,33600,33850,249437,-0.001474926253687281,,
2020-10-07,33850,34500,33800,33950,295110,0.002954209748892156,,
2020-10-08,34200,34300,33350,33350,309612,-0.0176730486008837,,
2020-10-12,33800,34100,33300,33400,237128,0.0014992503748125774,,
2020-10-13,33850,34450,33450,34300,380709,0.026946107784431073,,
2020-10-14,34400,34500,33750,34150,248647,-0.004373177842565634,,
2020-10-15,34300,34500,31600,31850,877740,-0.06734992679355778,,
2020-10-16,31900,32000,30100,30850,420493,-0.031397174254317095,,
2020-10-19,30900,31250,30300,30400,302876,-0.014586709886547866,,
2020-10-20,30350,30700,29700,30400,279273,0.0,,
2020-10-21,30200,31500,30200,31200,253967,0.026315789473684292,,
2020-10-22,30900,30950,29850,29850,305358,-0.043269230769230727,,
2020-10-23,29850,30150,29200,29600,302855,-0.008375209380234505,,
2020-10-26,29650,29950,28500,28750,329081,-0.028716216216216228,,
2020-10-27,28750,29350,28200,29000,239344,0.008695652173912993,,
2020-10-28,28750,30100,28500,30100,227947,0.037931034482758585,,
2020-10-29,29200,29950,28950,29800,228125,-0.009966777408637828,,
2020-10-30,29600,29800,28750,28800,192877,-0.03355704697986572,,
2020-11-02,28600,29500,28600,29250,107342,0.015625,31337.5,
2020-11-03,29350,30200,29250,29650,220906,0.013675213675213627,31125.0,
2020-11-04,30200,30350,29450,30000,210148,0.01180438448566612,30932.5,
2020-11-05,30150,31600,30150,31050,353168,0.03499999999999992,30787.5,
2020-11-06,31350,31400,30150,30350,249737,-0.02254428341384862,30637.5,
2020-11-09,30750,31100,30450,30650,237487,0.009884678747940745,30500.0,
2020-11-10,31900,32000,31150,31600,320477,0.030995106035889064,30365.0,
2020-11-11,31750,32350,31000,31650,338901,0.0015822784810126667,30240.0,
2020-11-12,31850,32500,31700,32200,396559,0.017377567140600236,30257.5,
