Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,8600,8730,8550,8650,1627541,0.008158508158508049,,
2020-10-06,8640,8700,8500,8500,1396053,-0.017341040462427793,,
2020-10-07,8570,8670,8430,8670,1185924,0.020000000000000018,,
2020-10-08,8670,8750,8600,8660,1754142,-0.0011534025374856371,,
2020-10-12,8680,8710,8630,8710,1167198,0.005773672055427337,,
2020-10-13,8750,8760,8640,8690,1222174,-0.0022962112514350874,,
2020-10-14,8660,8710,8520,8560,1378069,-0.014959723820483273,,
2020-10-15,8510,8540,8450,8470,1294093,-0.010514018691588745,,
2020-10-16,8400,8510,8400,8410,1794370,-0.00708382526564344,,
2020-10-19,8480,8700,8480,8600,2289098,0.022592152199762294,,
2020-10-20,8540,8640,8480,8570,1411564,-0.0034883720930232176,,
2020-10-21,8560,8700,8530,8700,1731288,0.015169194865811031,,
2020-10-22,8690,8900,8650,8880,3198811,0.020689655172413834,,
2020-10-23,8980,9240,8970,9220,3248517,0.03828828828828823,,
2020-10-26,9270,9280,9050,9130,2255177,-0.009761388286334105,,
2020-10-27,9030,9040,8760,8830,3478736,-0.03285870755750275,,
2020-10-28,8690,9060,8680,9060,2200171,0.026047565118912708,,
2020-10-29,8830,9070,8810,9010,2064091,-0.0055187637969095205,,
2020-10-30,9000,9070,8880,8890,2372661,-0.013318534961154316,,
2020-11-02,8890,9240,8880,9230,1909739,0.038245219347581516,8772.0,
2020-11-03,9260,9350,9180,9310,2070668,0.008667388949079147,8805.0,
2020-11-04,9400,9410,9210,9300,1947299,-0.0010741138560687036,8845.0,
2020-11-05,9340,9480,9210,9480,2091838,0.019354838709677358,8885.5,
2020-11-06,9430,9530,9430,9520,1361278,0.00421940928270037,8928.5,
2020-11-09,9540,9680,9540,9610,1207812,0.009453781512605008,8973.5,
2020-11-10,10000,10000,9630,9860,2734226,0.026014568158168494,9032.0,
2020-11-11,9850,10200,9840,10100,2554346,0.024340770791074995,9109.0,
2020-11-12,10000,10100,9910,9950,2548266,-0.014851485148514865,9183.0,
2020-11-13,9850,9950,9750,9770,1687723,-0.018090452261306567,9251.0,
2020-11-16,9840,10050,9810,9890,2487395,0.0122824974411464,9315.5,
2020-11-17,9910,10100,9860,9910,1877732,0.002022244691607611,9382.5,
2020-11-18,9900,10000,9870,10000,1164944,0.00908173562058523,9447.5,
2020-11-19,9930,9940,9840,9900,1479302,-0.010000000000000009,9498.5,
2020-11-20,9850,9990,9840,9970,1627193,0.007070707070707005,9536.0,
2020-11-23,9970,10150,9900,10050,1874230,0.008024072216650024,9582.0,
