Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,6000,6100,5790,5900,1107818,0.012006861063464935,,
2020-10-06,6000,6030,5770,6020,828484,0.02033898305084736,,
2020-10-07,6000,6590,5920,6350,6391488,0.054817275747508276,,
2020-10-08,6350,6460,6200,6350,1262942,0.0,,
2020-10-12,6360,6650,6210,6650,2205072,0.04724409448818889,,
2020-10-13,6730,6800,6350,6420,2184258,-0.0345864661654135,,
2020-10-14,6380,6390,6050,6170,1323753,-0.0389408099688473,,
2020-10-15,6110,6160,5770,5840,1177357,-0.05348460291734203,,
2020-10-16,5870,6020,5610,5790,943397,-0.008561643835616417,,
2020-10-19,5750,6050,5700,5880,478969,0.015544041450777257,,
2020-10-20,5860,5980,5640,5930,630294,0.008503401360544283,,
2020-10-21,5890,6300,5890,6200,1640739,0.045531197301855064,,
2020-10-22,6220,6320,5960,6010,797961,-0.030645161290322576,,
2020-10-23,6070,6110,5840,6020,568959,0.0016638935108153063,,
2020-10-26,5940,5980,5600,5630,897530,-0.06478405315614622,,
2020-10-27,5590,5720,5470,5650,518989,0.003552397868561208,,
2020-10-28,5600,5850,5530,5840,732427,0.03362831858407089,,
2020-10-29,5630,5800,5610,5800,478230,-0.006849315068493178,,
2020-10-30,5800,5800,5460,5500,519799,-0.051724137931034475,,
2020-11-02,5500,5630,5360,5600,205868,0.018181818181818077,5977.5,
2020-11-03,5600,5790,5600,5720,277123,0.021428571428571352,5968.5,
2020-11-04,5800,5800,5660,5700,259882,-0.0034965034965035446,5952.5,
2020-11-05,5780,6060,5690,6040,853297,0.05964912280701751,5937.0,
2020-11-06,6040,6160,5920,6040,591628,0.0,5921.5,
2020-11-09,6100,6280,6040,6250,677267,0.0347682119205297,5901.5,
2020-11-10,6210,6320,6110,6240,381075,-0.0016000000000000458,5892.5,
2020-11-11,6240,6310,6110,6300,431921,0.009615384615384581,5899.0,
2020-11-12,6300,6310,6150,6240,280323,-0.00952380952380949,5919.0,
2020-11-13,6250,6420,6130,6250,698124,0.0016025641025640969,5942.0,
2020-11-16,6250,6250,6010,6040,588676,-0.03359999999999996,5950.0,
2020-11-17,6060,6090,5770,5880,708296,-0.026490066225165587,5947.5,
2020-11-18,5860,5940,5760,5920,275856,0.006802721088435382,5933.5,
2020-11-19,6300,6770,6130,6140,7323016,0.03716216216216206,5940.0,
2020-11-20,6140,6210,6060,6090,709440,-0.008143322475570036,5943.5,
2020-11-23,6110,6150,6020,6050,601807,-0.006568144499178974,5964.5,
2020-11-24,6080,6230,6050,6210,700816,0.026446280991735627,5992.5,
2020-11-25,6250,6250,5940,6080,626884,-0.020933977455716568,6004.5,
2020-11-26,6040,6130,6000,6110,345144,0.004934210526315708,6020.0,
2020-11-27,6110,6930,6050,6740,8798398,0.10310965630114577,6082.0,
2020-11-30,6650,6690,6510,6520,1553789,-0.03264094955489616,6128.0,
2020-12-01,6460,6580,6400,6430,1088782,-0.013803680981595123,6163.5,
2020-12-02,6400,6890,6400,6890,2544539,0.07153965785381033,6223.0,
2020-12-03,6840,7370,6740,7210,3115644,0.046444121915820036,6281.5,
2020-12-04,7200,7310,6950,7220,1073486,0.001386962552011095,6340.5,
2020-12-07,7150,7220,6900,7100,703458,-0.0166204986149584,6383.0,
2020-12-08,7030,7190,6860,6910,681020,-0.026760563380281654,6416.5,
2020-12-09,6930,7130,6870,6970,621923,0.00868306801736618,6450.0,
2020-12-10,6970,7160,6850,6950,835953,-0.0028694404591105283,6485.5,
2020-12-11,7020,7060,6870,6910,329099,-0.0057553956834532904,6518.5,
