Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,14100,14250,13800,14150,248381,0.0035460992907800915,,
2020-10-06,14250,14400,13900,14050,254644,-0.007067137809187329,,
2020-10-07,13900,14050,13750,14050,198982,0.0,,
2020-10-08,14200,15100,14000,15100,1017250,0.07473309608540935,,
2020-10-12,15500,15550,15050,15350,696051,0.01655629139072845,,
2020-10-13,15450,15450,14750,14950,393455,-0.026058631921824116,,
2020-10-14,14900,15000,14500,14550,359484,-0.026755852842809347,,
2020-10-15,14550,14650,14000,14200,351125,-0.02405498281786944,,
2020-10-16,14300,14750,14150,14400,340929,0.014084507042253502,,
2020-10-19,14550,14750,13950,13950,203092,-0.03125,,
2020-10-20,13700,14300,13500,14300,356884,0.02508960573476693,,
2020-10-21,14400,14400,13950,14100,172830,-0.013986013986013957,,
2020-10-22,13950,14300,13550,13650,248520,-0.03191489361702127,,
2020-10-23,13850,13950,13400,13600,205974,-0.00366300366300365,,
2020-10-26,13600,13800,12850,13000,366426,-0.044117647058823484,,
2020-10-27,12800,13350,12700,12950,267016,-0.0038461538461538325,,
2020-10-28,12850,13500,12850,13450,199937,0.03861003861003853,,
2020-10-29,13050,13550,13000,13500,178015,0.0037174721189590088,,
2020-10-30,13550,13700,13200,13200,181897,-0.022222222222222254,,
2020-11-02,13300,13600,12950,13100,327068,-0.007575757575757569,13980.0,
2020-11-03,13250,13650,13200,13600,306047,0.03816793893129766,13952.5,
2020-11-04,13850,14500,13400,14400,695403,0.05882352941176472,13970.0,
2020-11-05,14800,15450,14600,15100,1278664,0.04861111111111116,14022.5,
2020-11-06,15300,15950,15100,15400,1438344,0.019867549668874274,14037.5,
2020-11-09,15950,16000,15250,15500,798880,0.006493506493506551,14045.0,
2020-11-10,15500,15500,14800,14900,744246,-0.03870967741935483,14042.5,
2020-11-11,15100,15650,14500,14750,1449743,-0.010067114093959773,14052.5,
2020-11-12,14850,15100,14400,14450,650394,-0.02033898305084747,14065.0,
2020-11-13,14300,14750,14100,14600,389754,0.01038062283737018,14075.0,
2020-11-16,14600,14800,14400,14600,466018,0.0,14107.5,
2020-11-17,14700,14800,14400,14600,331275,0.0,14122.5,
2020-11-18,14700,15150,14700,14950,808719,0.023972602739726012,14165.0,
2020-11-19,14850,14950,14550,14700,444041,-0.01672240802675584,14217.5,
2020-11-20,14650,14850,14500,14600,375056,-0.006802721088435382,14267.5,
2020-11-23,14700,14700,14400,14500,380420,-0.006849315068493178,14342.5,
2020-11-24,14600,14650,14400,14550,413707,0.0034482758620688614,14422.5,
2020-11-25,14750,14800,14100,14200,562033,-0.02405498281786944,14460.0,
2020-11-26,14250,14300,13950,14250,283314,0.0035211267605634866,14497.5,
2020-11-27,14450,15250,14400,14950,1566886,0.04912280701754379,14585.0,
2020-11-30,15400,15450,15100,15200,1194887,0.01672240802675584,14690.0,
2020-12-01,15400,15600,15100,15300,754708,0.006578947368421018,14775.0,
2020-12-02,15550,15600,15200,15500,683023,0.013071895424836555,14830.0,
2020-12-03,15400,15950,14950,15850,1439268,0.022580645161290214,14867.5,
2020-12-04,15950,16100,15500,15500,929964,-0.02208201892744477,14872.5,
2020-12-07,15350,15550,15050,15400,704646,-0.006451612903225823,14867.5,
2020-12-08,15650,16050,15300,15300,1069157,-0.00649350649350644,14887.5,
2020-12-09,15500,18500,15200,17250,17641217,0.12745098039215685,15012.5,
2020-12-10,16500,16850,15950,16650,3258319,-0.034782608695652195,15122.5,
2020-12-11,16650,16800,16250,16400,1299345,-0.01501501501501501,15212.5,
2020-12-14,16350,16500,15850,16000,908023,-0.024390243902439046,15282.5,
2020-12-15,16050,16500,15900,16500,1011483,0.03125,15377.5,
2020-12-16,16900,17950,16350,17750,6563325,0.07575757575757569,15517.5,
2020-12-17,18000,19750,17650,19150,9920849,0.07887323943661961,15740.0,
2020-12-18,19350,19550,18500,18750,3198233,-0.02088772845953002,15947.5,
