Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,23100,23150,22750,23050,197519,0.010964912280701844,,
2020-10-06,23000,23150,22800,22900,294305,-0.006507592190889366,,
2020-10-07,22850,23100,22650,23000,207644,0.004366812227074135,,
2020-10-08,23050,23200,22900,23000,270274,0.0,,
2020-10-12,23100,23100,22850,22900,237271,-0.004347826086956497,,
2020-10-13,23000,23000,22750,22800,206282,-0.004366812227074246,,
2020-10-14,22800,22850,22700,22700,224816,-0.004385964912280715,,
2020-10-15,22700,22800,22300,22400,339960,-0.013215859030836996,,
2020-10-16,22450,22600,22250,22350,249912,-0.0022321428571429047,,
2020-10-19,22300,22850,22300,22600,275718,0.01118568232662187,,
2020-10-20,22750,22850,22450,22600,209510,0.0,,
2020-10-21,22650,22800,22500,22800,176633,0.008849557522123908,,
2020-10-22,22850,23150,22600,23050,442874,0.010964912280701844,,
2020-10-23,23150,23150,22800,22900,189816,-0.006507592190889366,,
2020-10-26,22900,22950,22700,22700,199241,-0.008733624454148492,,
2020-10-27,22600,22700,22400,22400,277656,-0.013215859030836996,,
2020-10-28,22450,22500,22350,22450,152909,0.0022321428571427937,,
2020-10-29,22200,22250,22000,22150,276877,-0.013363028953229383,,
2020-10-30,22200,22250,21800,21800,315549,-0.015801354401805856,,
2020-11-02,22000,22100,21800,21850,145949,0.002293577981651307,22620.0,
2020-11-03,21900,22250,21900,22150,192631,0.013729977116704761,22575.0,
2020-11-04,22300,22450,22150,22150,224284,0.0,22537.5,
2020-11-05,22300,22850,22200,22850,315861,0.03160270880361171,22530.0,
2020-11-06,22700,22900,22550,22750,178581,-0.004376367614879695,22517.5,
2020-11-09,22750,23100,22750,23000,266420,0.01098901098901095,22522.5,
2020-11-10,23700,23750,23050,23200,534507,0.008695652173912993,22542.5,
2020-11-11,23250,24700,23250,24700,1759417,0.06465517241379315,22642.5,
2020-11-12,24650,24650,23700,23900,877639,-0.03238866396761131,22717.5,
2020-11-13,23750,23800,23300,23700,427962,-0.008368200836820106,22785.0,
2020-11-16,23850,24200,23600,23900,549791,0.00843881856540074,22850.0,
2020-11-17,24100,24450,23950,24000,607986,0.004184100418409997,22920.0,
2020-11-18,23950,24150,23800,23950,361006,-0.002083333333333326,22977.5,
2020-11-19,23950,23950,23600,23850,340214,-0.0041753653444676075,23017.5,
2020-11-20,23850,24500,23600,24350,505832,0.020964360587002018,23090.0,
2020-11-23,24450,25100,24200,25000,862798,0.026694045174537884,23205.0,
2020-11-24,25300,25500,24850,24950,679271,-0.0020000000000000018,23332.5,
2020-11-25,25200,25200,24300,24550,562636,-0.01603206412825653,23437.5,
2020-11-26,24600,24650,24050,24200,378825,-0.014256619144602856,23540.0,
2020-11-27,24050,24100,23800,23950,351983,-0.010330578512396715,23647.5,
2020-11-30,24250,24300,23250,23250,851681,-0.029227557411273475,23717.5,
2020-12-01,23550,24100,23500,24100,305385,0.03655913978494629,23815.0,
2020-12-02,24050,24350,23800,24350,370106,0.010373443983402453,23925.0,
2020-12-03,24200,24350,24000,24300,292226,-0.002053388090349051,23997.5,
2020-12-04,24300,24550,24050,24150,394134,-0.006172839506172867,24067.5,
2020-12-07,24100,24100,23500,23750,437244,-0.0165631469979296,24105.0,
2020-12-08,23750,23800,23500,23500,313963,-0.010526315789473717,24120.0,
2020-12-09,23600,24050,23500,23950,406706,0.01914893617021285,24082.5,
2020-12-10,23700,24350,23550,24000,624047,0.0020876826722338038,24087.5,
2020-12-11,24200,25500,24200,25100,1849269,0.04583333333333339,24157.5,
2020-12-14,25100,25100,24400,24800,681451,-0.01195219123505975,24202.5,
2020-12-15,24800,25650,24600,25150,986173,0.014112903225806495,24260.0,
2020-12-16,25550,26150,25200,25650,1604813,0.01988071570576544,24345.0,
2020-12-17,25900,26000,25350,25550,600657,-0.003898635477582846,24430.0,
2020-12-18,26150,26750,25800,25950,1257573,0.015655577299412915,24510.0,
2020-12-21,26000,26050,25250,25950,620077,0.0,24557.5,
2020-12-22,25750,25800,24800,25050,575718,-0.034682080924855474,24562.5,
2020-12-23,25200,25450,24750,25100,403161,0.001996007984031989,24590.0,
2020-12-24,25100,25500,25000,25250,446038,0.005976095617529875,24642.5,
2020-12-28,25100,26000,25000,25500,892918,0.00990099009900991,24720.0,
2020-12-29,25600,25600,25100,25200,488993,-0.0117647058823529,24817.5,23718.333333333332
2020-12-30,25250,25850,25100,25800,556665,0.023809523809523725,24902.5,23764.166666666668
2021-01-04,26100,27250,25900,26900,1568992,0.04263565891472876,25030.0,23830.833333333332
2021-01-05,26950,27800,26550,27800,1469994,0.03345724907063197,25205.0,23910.833333333332
2021-01-06,28500,29600,28150,28750,2958761,0.03417266187050361,25435.0,24006.666666666668
2021-01-07,28850,29150,28300,28300,1116410,-0.01565217391304352,25662.5,24096.666666666668
2021-01-08,28500,28650,27800,28150,1345166,-0.005300353356890497,25895.0,24185.833333333332
2021-01-11,28400,28400,26600,27200,1679849,-0.03374777975133214,26057.5,24260.833333333332
2021-01-12,27150,27500,26550,27100,922066,-0.003676470588235281,26212.5,24339.166666666668
2021-01-13,27350,27950,27250,27500,698696,0.014760147601476037,26332.5,24425.0
2021-01-14,27650,27750,27250,27300,562266,-0.0072727272727273196,26457.5,24503.333333333332
2021-01-15,27700,28250,27600,27750,1206303,0.016483516483516425,26587.5,24589.166666666668
2021-01-18,27950,30400,27800,29700,4369224,0.07027027027027022,26790.0,24704.166666666668
2021-01-19,30500,30850,29550,30050,2337315,0.011784511784511675,27015.0,24820.833333333332
2021-01-20,30400,32700,29850,31600,3814580,0.0515806988352745,27297.5,24965.833333333332
2021-01-21,32000,32400,31150,31750,2270049,0.004746835443038,27587.5,25116.666666666668
2021-01-22,32300,32350,30750,31000,1606782,-0.023622047244094446,27885.0,25260.0
2021-01-25,31700,33700,31700,32850,2295295,0.05967741935483861,28272.5,25433.333333333332
2021-01-26,33050,34200,32150,33300,2208515,0.013698630136986356,28675.0,25619.166666666668
