Date,Open,High,Low,Close,Volume,Change,20,60
2020-10-05,2865,2900,2830,2865,276345,0.0,,
2020-10-06,2875,2965,2875,2935,392139,0.024432809773123898,,
2020-10-07,2930,2935,2750,2880,252679,-0.01873935264054516,,
2020-10-08,2890,2910,2860,2880,205734,0.0,,
2020-10-12,2910,2910,2800,2830,264588,-0.01736111111111116,,
2020-10-13,2860,2870,2800,2835,176793,0.0017667844522968323,,
2020-10-14,2835,2850,2770,2785,368392,-0.01763668430335097,,
2020-10-15,2790,2815,2735,2770,217143,-0.0053859964093356805,,
2020-10-16,2750,2795,2695,2735,261323,-0.012635379061371799,,
2020-10-19,2735,2815,2730,2785,180755,0.018281535648994485,,
2020-10-20,2785,2810,2745,2780,94893,-0.0017953321364452268,,
2020-10-21,2815,2815,2770,2800,118459,0.007194244604316502,,
2020-10-22,2820,2850,2780,2840,242340,0.014285714285714235,,
2020-10-23,2870,3185,2845,2935,6212473,0.03345070422535201,,
2020-10-26,2960,3020,2905,3000,926933,0.022146507666098714,,
2020-10-27,2985,3040,2860,2900,759877,-0.033333333333333326,,
2020-10-28,2885,2950,2825,2890,359636,-0.0034482758620689724,,
2020-10-29,2800,2850,2785,2835,459302,-0.01903114186851207,,
2020-10-30,2830,2835,2765,2790,308680,-0.015873015873015928,,
2020-11-02,2835,2845,2780,2835,121298,0.016129032258064502,2845.25,
2020-11-03,2875,2895,2830,2890,189535,0.01940035273368612,2846.5,
2020-11-04,2915,2915,2825,2840,295066,-0.01730103806228378,2841.75,
2020-11-05,2845,2885,2820,2855,269762,0.005281690140845008,2840.5,
2020-11-06,2855,2865,2810,2830,163808,-0.008756567425569184,2838.0,
2020-11-09,2860,2915,2835,2850,424891,0.007067137809187329,2839.0,
2020-11-10,2900,3035,2865,3015,1531942,0.05789473684210522,2848.0,
2020-11-11,3010,3065,2965,3015,688745,0.0,2859.5,
2020-11-12,3020,3020,2910,2910,586125,-0.03482587064676612,2866.5,
2020-11-13,2990,2990,2890,2915,737428,0.0017182130584192379,2875.5,
2020-11-16,2940,3050,2925,3010,1207455,0.032590051457976,2886.75,
2020-11-17,3030,3035,2935,2950,587405,-0.019933554817275767,2895.25,
2020-11-18,2945,3015,2945,2990,476255,0.013559322033898313,2904.75,
2020-11-19,2990,2995,2930,2965,272450,-0.00836120401337792,2911.0,
2020-11-20,2965,2985,2930,2960,326410,-0.001686340640809414,2912.25,
2020-11-23,2985,3045,2965,3040,1005654,0.027027027027026973,2914.25,
2020-11-24,3070,3860,3065,3605,23181584,0.1858552631578947,2949.5,
2020-11-25,3490,3930,3460,3605,11077336,0.0,2985.25,
2020-11-26,3580,3740,3480,3655,3587591,0.01386962552011095,3026.25,
2020-11-27,3700,4000,3690,3880,5979527,0.061559507523939905,3080.75,
2020-11-30,3875,4050,3685,3900,4117744,0.005154639175257714,3134.0,
2020-12-01,3905,4035,3880,3985,2145465,0.021794871794871717,3188.75,
2020-12-02,4130,4575,4070,4375,12478826,0.09786700125470515,3265.5,
2020-12-03,4380,4470,4145,4350,3469107,-0.005714285714285672,3340.25,
2020-12-04,4360,4550,4330,4475,3459124,0.028735632183908066,3422.5,
2020-12-07,4515,4700,4365,4490,2461729,0.003351955307262511,3504.5,
2020-12-08,4425,4480,4245,4260,1970921,-0.05122494432071267,3566.75,
2020-12-09,4310,4390,4200,4210,1575129,-0.011737089201877882,3626.5,
2020-12-10,4095,4270,3920,3985,3980326,-0.05344418052256528,3680.25,
2020-12-11,4020,4140,3930,4110,2506810,0.031367628607277265,3740.0,
2020-12-14,4170,4355,4075,4185,3254146,0.018248175182481674,3798.75,
2020-12-15,4255,4350,4185,4220,2051543,0.008363201911588902,3862.25,
2020-12-16,4230,4255,4050,4145,2266127,-0.017772511848341277,3920.0,
2020-12-17,4145,4245,4000,4040,1652811,-0.02533172496984315,3973.75,
2020-12-18,4050,4090,3970,3970,1124894,-0.017326732673267342,4024.25,
2020-12-21,3960,3960,3745,3905,1460369,-0.016372795969773257,4067.5,
2020-12-22,3880,3940,3800,3815,1011930,-0.023047375160051176,4078.0,
2020-12-23,3840,3900,3685,3710,1132272,-0.02752293577981646,4083.25,
2020-12-24,3745,3750,3650,3705,793632,-0.0013477088948786742,4085.75,
2020-12-28,3675,3705,3575,3615,844492,-0.02429149797570851,4072.5,
2020-12-29,3650,3695,3595,3680,625344,0.017980636237897585,4061.5,3346.9166666666665
2020-12-30,3680,3915,3650,3835,1175304,0.04211956521739135,4054.0,3363.0833333333335
2021-01-04,3835,3840,3465,3500,2449836,-0.08735332464146028,4010.25,3372.5
2021-01-05,3435,3590,3400,3590,1214150,0.0257142857142858,3972.25,3384.3333333333335
2021-01-06,3620,3640,3545,3600,1094847,0.0027855153203342198,3928.5,3396.3333333333335
2021-01-07,3695,4270,3630,3880,18129607,0.07777777777777772,3898.0,3413.8333333333335
2021-01-08,3915,4040,3750,3820,3422589,-0.015463917525773141,3876.0,3430.25
2021-01-11,3880,3980,3650,3735,2205483,-0.022251308900523514,3852.25,3446.0833333333335
2021-01-12,3660,3795,3515,3595,1172857,-0.03748326639892907,3832.75,3459.8333333333335
2021-01-13,3605,3940,3600,3800,3000260,0.057023643949930536,3817.25,3477.5833333333335
2021-01-14,3825,3975,3825,3920,2207344,0.03157894736842115,3804.0,3496.5
2021-01-15,3940,3975,3795,3805,1044004,-0.029336734693877542,3783.25,3513.5833333333335
2021-01-18,3725,3750,3625,3635,699428,-0.0446780551905388,3757.75,3527.5
2021-01-19,3635,3680,3580,3625,726745,-0.0027510316368638543,3737.0,3540.5833333333335
2021-01-20,3640,3665,3535,3585,634377,-0.011034482758620734,3717.75,3551.4166666666665
