,1to2,2to1,id,주소2,지역,위도,경도,rate,category,diff
357,89652.0,104923.0,502.0,뚝섬유원지역 1번출구 앞,광진구,37.53186,127.067192,0.46075806244378775,neutral,15271.0
96,91083.0,88480.0,207.0,여의나루역 1번출구 앞,영등포구,37.526989,126.932098,0.5072481524590255,neutral,2603.0
1836,79342.0,77987.0,2715.0,마곡나루역 2번 출구 ,강서구,37.566883,126.827683,0.5043062626724889,neutral,1355.0
897,70870.0,70842.0,1210.0,롯데월드타워(잠실역2번출구 쪽),송파구,37.513126,127.10096,0.5000987919159986,neutral,28.0
1473,66149.0,68048.0,2102.0,봉림교 교통섬,관악구,37.48423,126.926392,0.49292458102640146,neutral,1899.0
847,57912.0,58322.0,1153.0,"발산역 1번, 9번 인근 대여소",강서구,37.55891,126.838097,0.49823631639623517,neutral,410.0
1516,54619.0,57349.0,2177.0,신대방역 2번 출구,관악구,37.487129,126.913017,0.48780901686196054,neutral,2730.0
48,47646.0,56734.0,152.0,마포구민체육센터 앞,마포구,37.55661,126.898018,0.4564667560835409,neutral,9088.0
2026,53187.0,56220.0,3533.0,건대입구역 사거리(롯데백화점),광진구,37.539139,127.070618,0.48613891250102825,neutral,3033.0
98,52192.0,55029.0,210.0,IFC몰,영등포구,37.526066,126.925537,0.4867703155165499,neutral,2837.0
564,50719.0,54369.0,770.0,목동역5번출구 교통정보센터 앞,양천구,37.525715,126.864868,0.4826336023142509,neutral,3650.0
1823,54715.0,52453.0,2701.0,마곡나루역 5번출구 뒤편,강서구,37.565201,126.827316,0.5105535234398327,neutral,2262.0
133,52648.0,52171.0,247.0,당산역 10번출구 앞,영등포구,37.533688,126.902107,0.5022753508428816,neutral,477.0
846,51342.0,51642.0,1152.0,마곡역교차로,강서구,37.558666,126.826614,0.49854346306222325,neutral,300.0
156,46968.0,51589.0,272.0,당산육갑문,영등포구,37.535339,126.903679,0.47655671337398664,neutral,4621.0
850,49898.0,51018.0,1158.0,가양역 8번출구,강서구,37.561035,126.854813,0.49445083039359466,neutral,1120.0
425,46699.0,50487.0,583.0,청계천 생태교실 앞,성동구,37.56797028,127.0468903,0.4805115963204577,neutral,3788.0
424,46699.0,50487.0,583.0,청계천 생태교실 앞,성동구,37.56797,127.04689,0.4805115963204577,neutral,3788.0
1350,49971.0,49799.0,1906.0,신도림역 1번 출구 앞,구로구,37.50972,126.890099,0.5008619825598878,neutral,172.0
1354,47925.0,48096.0,1911.0,구로디지털단지역 앞,구로구,37.48494,126.901321,0.49910956978161025,neutral,171.0
409,41141.0,47446.0,565.0,옥수역 3번출구,성동구,37.541363,127.017662,0.46441351439827516,neutral,6305.0
117,46929.0,46878.0,230.0,영등포구청역 1번출구,영등포구,37.524635,126.896217,0.5002718347244876,neutral,51.0
972,40269.0,45441.0,1308.0,안암로터리 버스정류장 앞,성북구,37.582592,127.028976,0.4698284914245712,neutral,5172.0
825,44882.0,45370.0,1124.0,발산역 6번 출구 뒤,강서구,37.557968,126.838287,0.497296458804237,neutral,488.0
1786,45233.0,45016.0,2622.0,올림픽공원역 3번출구,송파구,37.516258,127.130592,0.5012022293875832,neutral,217.0
1512,41934.0,44317.0,2173.0,당곡사거리,관악구,37.48975,126.927467,0.48618566741255176,neutral,2383.0
559,41705.0,43638.0,765.0,오목교역 3번출구,양천구,37.524776,126.875481,0.4886751110225795,neutral,1933.0
157,40620.0,43473.0,274.0,영등포역지하쇼핑센타 5번출구,영등포구,37.516651,126.90799,0.4830366380079198,neutral,2853.0
1848,49368.0,43375.0,2728.0,마곡나루역 3번 출구,강서구,37.565804,126.828079,0.5323097160971717,neutral,5993.0
474,41221.0,43325.0,646.0,장한평역 1번출구 (국민은행앞),동대문구,37.561867,127.064377,0.4875570695242826,neutral,2104.0
509,37585.0,41547.0,703.0,오목교역 7번출구 앞,양천구,37.524063,126.87558,0.47496587979578425,neutral,3962.0
1185,38009.0,40400.0,1637.0,KT 노원점 건물 앞,노원구,37.654701,127.0634,0.48475302580060964,neutral,2391.0
1171,36063.0,40153.0,1608.0,공릉역 1번 출구 앞,노원구,37.626614,127.072754,0.4731683635981946,neutral,4090.0
1519,40754.0,39890.0,2183.0,동방1교,관악구,37.471828,126.933922,0.5053568771390308,neutral,864.0
1544,38999.0,39634.0,2219.0,"고속터미널역 8-1번, 8-2번 출구 사이",서초구,37.506199,127.003944,0.4959622550328742,neutral,635.0
654,34415.0,39103.0,907.0,CJ 드림시티,은평구,37.599491,126.916862,0.4681166517043445,neutral,4688.0
1784,37561.0,39055.0,2620.0,송파나루역 4번 출구옆,송파구,37.509979,127.112312,0.490250078312624,neutral,1494.0
1577,32270.0,38504.0,2262.0,한신16차아파트 119동 앞,서초구,37.516598,127.00959,0.45595840280328936,neutral,6234.0
2009,34281.0,37982.0,3511.0,응봉역 1번출구,성동구,37.55125,127.035103,0.47439215089326486,neutral,3701.0
723,29778.0,37851.0,996.0,응암역 1번출구,은평구,37.598606,126.915405,0.44031406645078297,몰리는 지역,8073.0
731,37714.0,37645.0,1009.0,천호역4번출구(현대백화점),강동구,37.538658,127.124214,0.5004578086227259,neutral,69.0
898,36388.0,37535.0,1211.0,방이삼거리,송파구,37.512104,127.10778,0.4922419274109546,neutral,1147.0
843,36812.0,36907.0,1149.0,신방화역환승주차장,강서구,37.567284,126.818275,0.4993556613627423,neutral,95.0
826,34719.0,36428.0,1125.0,명덕고교입구(영종빌딩),강서구,37.552914,126.836571,0.4879896552208807,neutral,1709.0
962,35514.0,35724.0,1295.0,잠실역 8번출구,송파구,37.513962,127.100304,0.49852606754821865,neutral,210.0
1913,34544.0,35715.0,3010.0,홍대입구역 3번출구,마포구,37.558296,126.925385,0.49166654805790005,neutral,1171.0
581,35486.0,35601.0,792.0,목동트라팰리스 웨스턴에비뉴,양천구,37.525372,126.870926,0.49919113199319143,neutral,115.0
439,31306.0,35068.0,602.0,장안동 사거리,동대문구,37.572174,127.071388,0.47166058999005633,neutral,3762.0
431,35027.0,34975.0,589.0,성수역3번출구,성동구,37.544159,127.056656,0.5003714179594869,neutral,52.0
633,33284.0,34684.0,853.0,용산역 맞은편,용산구,37.528568,126.965691,0.4897010357815443,neutral,1400.0
1838,30058.0,34643.0,2717.0,LG유플러스 마곡사옥,강서구,37.561337,126.833901,0.46456778102347723,neutral,4585.0
91,33273.0,34526.0,202.0,국민일보 앞,영등포구,37.528816,126.92453,0.4907594507293618,neutral,1253.0
362,32883.0,34393.0,509.0,이마트 버스정류소 옆,성동구,37.539654,127.052589,0.48877757298293595,neutral,1510.0
115,32128.0,34378.0,228.0,선유도역 3번출구 앞,영등포구,37.53846,126.894508,0.4830842330015337,neutral,2250.0
768,33241.0,34171.0,1050.0,둔촌역 3번 출입구,강동구,37.526695,127.135529,0.49310211831721357,neutral,930.0
1381,33959.0,33980.0,1961.0,신도림테크노근린공원,구로구,37.508194,126.891304,0.4998454495944892,neutral,21.0
852,33812.0,33960.0,1160.0,양천향교역 7번출구앞,강서구,37.56768,126.840897,0.4989081036416219,neutral,148.0
